time,Denver,pts.away,score,pts.home,New York
6:28.0,N. Jokic misses 2-pt shot from 21 ft,,93-102,,
6:27.0,Offensive rebound by P. Millsap,,93-102,,
6:27.0,,,93-102,,Personal foul by K. Porzingis (drawn by P. Millsap)
6:13.0,J. Murray makes 2-pt shot from 10 ft,2,95-102,,
6:03.0,Personal foul by W. Chandler (drawn by T. Hardaway),,95-102,,
5:58.0,,,95-102,,Offensive foul by K. Porzingis (drawn by G. Harris)
5:58.0,,,95-102,,Turnover by K. Porzingis (offensive foul)
5:51.0,Turnover by J. Murray (bad pass),,95-102,,
5:35.0,,,95-104,2,K. Porzingis makes 2-pt shot from 13 ft
5:20.0,N. Jokic makes 2-pt shot from 14 ft (assist by G. Harris),2,97-104,,
5:00.0,,,97-104,,K. Porzingis misses 2-pt shot from 9 ft
4:57.0,Defensive rebound by W. Chandler,,97-104,,
4:46.0,W. Chandler misses 3-pt shot from 26 ft,,97-104,,
4:43.0,,,97-104,,Defensive rebound by E. Kanter
4:27.0,,,97-104,,E. Kanter misses 2-pt shot from 6 ft
4:25.0,Defensive rebound by N. Jokic,,97-104,,
4:14.0,N. Jokic makes 3-pt shot from 26 ft (assist by W. Chandler),3,100-104,,
3:56.0,,,100-104,,C. Lee misses 2-pt shot from 9 ft
3:53.0,,,100-104,,Offensive rebound by K. Porzingis
3:53.0,,,100-104,,K. Porzingis misses 2-pt shot at rim
3:53.0,,,100-104,,Offensive rebound by Team
3:53.0,,,100-104,,K. O'Quinn enters the game for E. Kanter
3:46.0,,,100-104,,T. Hardaway misses 3-pt shot from 23 ft
3:40.0,Defensive rebound by W. Chandler,,100-104,,
3:32.0,J. Murray misses 3-pt shot from 25 ft,,100-104,,
3:28.0,,,100-104,,Defensive rebound by K. Porzingis
3:11.0,,,100-104,,K. Porzingis misses 3-pt shot from 25 ft
3:10.0,Defensive rebound by Team,,100-104,,
3:10.0,,,100-104,,Loose ball foul by K. O'Quinn (drawn by W. Chandler)
3:10.0,W. Chandler makes free throw 1 of 2,1,101-104,,
3:10.0,W. Chandler makes free throw 2 of 2,1,102-104,,
3:06.0,,,102-104,,New York full timeout
2:50.0,,,102-104,,K. Porzingis misses 2-pt shot from 3 ft
2:50.0,,,102-104,,Offensive rebound by K. O'Quinn
2:50.0,Personal foul by G. Harris (drawn by K. O'Quinn),,102-104,,
2:40.0,,,102-106,2,J. Jack makes 2-pt shot from 22 ft (assist by K. Porzingis)
2:20.0,P. Millsap misses 2-pt shot from 2 ft (block by K. O'Quinn),,102-106,,
2:17.0,,,102-106,,Defensive rebound by K. Porzingis
2:05.0,,,102-106,,Shooting foul by P. Millsap (drawn by C. Lee)
2:05.0,,,102-107,1,C. Lee makes free throw 1 of 2
2:05.0,,,102-108,1,C. Lee makes free throw 2 of 2
1:56.0,N. Jokic misses 3-pt shot from 26 ft,,102-108,,
1:53.0,Offensive rebound by J. Murray,,102-108,,
1:53.0,J. Murray makes 2-pt shot at rim,2,104-108,,
1:29.0,,,104-110,2,K. Porzingis makes 2-pt shot from 15 ft
1:29.0,Denver full timeout,,104-110,,
1:23.0,G. Harris misses 2-pt shot from 6 ft (block by K. Porzingis),,104-110,,
1:19.0,Offensive rebound by N. Jokic,,104-110,,
1:19.0,J. Murray makes 2-pt shot from 18 ft,2,106-110,,
1:01.0,,,106-110,,K. Porzingis misses 2-pt shot from 12 ft
0:57.0,Defensive rebound by G. Harris,,106-110,,
0:53.0,G. Harris misses 3-pt shot from 30 ft,,106-110,,
0:50.0,,,106-110,,Defensive rebound by K. O'Quinn
0:34.0,,,106-110,,Turnover by J. Jack (lost ball; steal by W. Chandler)
0:28.0,Turnover by W. Chandler (lost ball; steal by T. Hardaway),,106-110,,
0:28.0,Personal foul by G. Harris (drawn by T. Hardaway),,106-110,,
0:25.0,Personal take foul by P. Millsap (drawn by T. Hardaway),,106-110,,
0:25.0,W. Barton enters the game for P. Millsap,,106-110,,
0:25.0,,,106-111,1,T. Hardaway makes free throw 1 of 2
0:25.0,,,106-112,1,T. Hardaway makes free throw 2 of 2
0:25.0,Denver full timeout,,106-112,,
0:25.0,,,106-112,,F. Ntilikina enters the game for K. O'Quinn
0:21.0,,,106-112,,Personal foul by F. Ntilikina (drawn by N. Jokic)
0:21.0,N. Jokic makes free throw 1 of 2,1,107-112,,
0:21.0,,,107-112,,K. O'Quinn enters the game for F. Ntilikina
0:21.0,N. Jokic misses free throw 2 of 2,,107-112,,
0:19.0,,,107-112,,Defensive rebound by K. Porzingis
0:19.0,Personal foul by G. Harris (drawn by K. Porzingis),,107-112,,
0:19.0,,,107-113,1,K. Porzingis makes free throw 1 of 2
0:19.0,,,107-113,,F. Ntilikina enters the game for K. O'Quinn
0:19.0,,,107-114,1,K. Porzingis makes free throw 2 of 2
0:03.0,N. Jokic makes 3-pt shot from 25 ft,3,110-114,,
0:03.0,,,110-114,,New York full timeout
0:03.0,,,110-114,,K. O'Quinn enters the game for F. Ntilikina
0:02.0,Personal take foul by W. Barton (drawn by K. Porzingis),,110-114,,
0:02.0,,,110-115,1,K. Porzingis makes free throw 1 of 2
0:02.0,,,110-116,1,K. Porzingis makes free throw 2 of 2
