time,Memphis,pts.away,score,pts.home,Utah
2:01.0,,,93-104,,D. Favors misses free throw 2 of 2
1:59.0,Defensive rebound by I. Rabb,,93-104,,
1:48.0,M. Brooks misses 2-pt shot from 3 ft,,93-104,,
1:46.0,,,93-104,,Defensive rebound by J. Ingles
1:33.0,,,93-104,,D. Favors misses 2-pt shot from 3 ft (block by I. Rabb)
1:32.0,,,93-104,,Turnover by D. Favors (turnover)
1:32.0,,,93-104,,Offensive rebound by Team
1:16.0,M. Brooks makes 2-pt shot from 2 ft,2,95-104,,
1:02.0,,,95-107,3,R. O'Neale makes 3-pt shot from 22 ft (assist by J. Ingles)
0:51.0,I. Rabb misses 2-pt shot from 15 ft,,95-107,,
0:48.0,,,95-107,,Defensive rebound by D. Exum
0:37.0,,,95-107,,R. O'Neale misses 3-pt shot from 22 ft
0:33.0,Defensive rebound by I. Rabb,,95-107,,
0:23.0,M. Brooks misses 2-pt shot from 22 ft,,95-107,,
0:21.0,Offensive rebound by Team,,95-107,,
0:21.0,,,95-107,,Loose ball foul by R. O'Neale (drawn by M. Brooks)
0:21.0,M. Brooks makes free throw 1 of 2,1,96-107,,
0:21.0,M. Brooks makes free throw 2 of 2,1,97-107,,
