time,Dallas,pts.away,score,pts.home,Detroit
4:11.0,,,101-103,,R. Jackson misses 2-pt shot from 5 ft (block by K. Collinsworth)
4:09.0,Jump ball: R. Jackson vs. K. Collinsworth (D. Finney-Smith gains possession),,,,Jump ball: R. Jackson vs. K. Collinsworth (D. Finney-Smith gains possession)
4:09.0,Defensive rebound by Team,,101-103,,
3:49.0,D. Finney-Smith misses 2-pt shot from 16 ft,,101-103,,
3:46.0,Offensive rebound by J. Motley,,101-103,,
3:33.0,,,101-103,,Personal foul by A. Tolliver (drawn by J. Jones)
3:30.0,J. Motley makes 2-pt shot from 5 ft (assist by D. Finney-Smith),2,103-103,,
3:02.0,,,103-105,2,R. Jackson makes 2-pt shot from 5 ft
2:34.0,J. Motley makes 2-pt shot from 3 ft (assist by D. Finney-Smith),2,105-105,,
2:15.0,,,105-108,3,L. Galloway makes 3-pt shot from 26 ft (assist by R. Jackson)
1:55.0,D. Finney-Smith misses 2-pt shot from 13 ft (block by S. Johnson),,105-108,,
1:51.0,Offensive rebound by D. Finney-Smith,,105-108,,
1:49.0,A. Harrison misses 3-pt shot from 25 ft,,105-108,,
1:47.0,,,105-108,,Defensive rebound by S. Johnson
1:29.0,,,105-110,2,R. Jackson makes 2-pt shot from 12 ft
1:29.0,Dallas full timeout,,105-110,,
1:11.0,Offensive charge foul by A. Harrison (drawn by A. Tolliver),,105-110,,
1:11.0,Turnover by A. Harrison (offensive foul),,105-110,,
0:52.0,,,105-112,2,R. Jackson makes 2-pt shot from 18 ft
0:47.0,K. Collinsworth misses 2-pt shot from 14 ft,,105-112,,
0:44.0,,,105-112,,Defensive rebound by A. Drummond
0:40.0,Personal foul by D. Finney-Smith (drawn by S. Johnson),,105-112,,
0:32.0,Personal foul by A. Harrison (drawn by L. Galloway),,105-112,,
0:32.0,,,105-113,1,L. Galloway makes free throw 1 of 2
0:32.0,,,105-113,,L. Galloway misses free throw 2 of 2
0:29.0,Defensive rebound by J. Jones,,105-113,,
0:22.0,Shooting foul by S. Johnson (drawn by J. Jones),,105-113,,
0:22.0,J. Jones misses free throw 1 of 2,,105-113,,
0:22.0,Offensive rebound by Team,,105-113,,
0:22.0,J. Jones misses free throw 2 of 2,,105-113,,
0:21.0,,,105-113,,Defensive rebound by A. Drummond
0:19.0,Personal foul by D. Finney-Smith (drawn by A. Drummond),,105-113,,
0:19.0,,,105-113,,A. Drummond misses free throw 1 of 2
0:19.0,,,105-113,,Offensive rebound by Team
0:19.0,,,105-113,,A. Drummond misses free throw 2 of 2
0:17.0,Defensive rebound by D. Finney-Smith,,105-113,,
0:10.0,A. Harrison misses 3-pt shot from 28 ft,,105-113,,
0:06.0,,,105-113,,Defensive rebound by A. Drummond
0:01.0,,,105-113,,Turnover by A. Drummond (lost ball; steal by J. Jones)
0:00.0,Shooting foul by A. Drummond (drawn by J. Jones),,105-113,,
0:00.0,J. Jones makes free throw 1 of 2,1,106-113,,
0:00.0,J. Jones misses free throw 2 of 2,,106-113,,
0:00.0,,,106-113,,Defensive rebound by S. Johnson
