time,Detroit,pts.away,score,pts.home,Miami
3:35.0,,,89-101,,H. Whiteside misses 2-pt shot from 4 ft
3:30.0,,,89-101,,Offensive rebound by H. Whiteside
3:29.0,,,89-101,,H. Whiteside misses 2-pt shot from 6 ft
3:29.0,Defensive rebound by R. Bullock,,89-101,,
3:25.0,R. Bullock misses 2-pt shot from 6 ft,,89-101,,
3:24.0,Offensive rebound by J. Ennis,,89-101,,
3:22.0,J. Ennis misses 2-pt shot from 2 ft,,89-101,,
3:22.0,Offensive rebound by R. Bullock,,89-101,,
3:21.0,Shooting foul by H. Whiteside (drawn by R. Bullock),,89-101,,
3:21.0,R. Bullock makes free throw 1 of 2,1,90-101,,
3:21.0,R. Bullock makes free throw 2 of 2,1,91-101,,
3:21.0,,,91-101,,Miami full timeout
3:21.0,,,91-101,,D. Wade enters the game for J. Winslow
3:07.0,,,91-101,,D. Wade misses 2-pt shot from 21 ft
3:00.0,,,91-101,,Offensive rebound by H. Whiteside
3:00.0,,,91-101,,H. Whiteside misses 2-pt shot at rim
2:59.0,Defensive rebound by R. Bullock,,91-101,,
2:57.0,B. Griffin misses 2-pt shot from 3 ft,,91-101,,
2:54.0,Offensive rebound by R. Bullock,,91-101,,
2:49.0,I. Smith misses 3-pt shot from 22 ft,,91-101,,
2:46.0,,,91-101,,Defensive rebound by H. Whiteside
2:26.0,,,91-101,,Turnover by Team (shot clock)
2:26.0,D. Buycks enters the game for I. Smith,,91-101,,
2:16.0,R. Bullock misses 2-pt shot from 5 ft (block by H. Whiteside),,91-101,,
2:15.0,,,91-101,,Defensive rebound by H. Whiteside
2:07.0,Personal foul by J. Ennis (drawn by D. Wade),,91-101,,
2:07.0,,,91-101,,D. Wade misses free throw 1 of 2
2:07.0,,,91-101,,Offensive rebound by Team
2:07.0,,,91-102,1,D. Wade makes free throw 2 of 2
1:56.0,Turnover by D. Buycks (bad pass; steal by J. Johnson),,91-102,,
1:55.0,,,91-104,2,J. Johnson makes 2-pt shot from 3 ft
1:55.0,Detroit full timeout,,91-104,,
1:46.0,Turnover by D. Buycks (step out of bounds),,91-104,,
1:29.0,,,91-104,,Turnover by D. Wade (lost ball; steal by R. Bullock)
1:22.0,Jump ball: H. Whiteside vs. A. Drummond (D. Buycks gains possession),,,,Jump ball: H. Whiteside vs. A. Drummond (D. Buycks gains possession)
1:17.0,D. Buycks makes 2-pt shot from 3 ft,2,93-104,,
1:16.0,Personal foul by R. Bullock (drawn by D. Wade),,93-104,,
1:16.0,,,93-104,,D. Wade misses free throw 1 of 2
1:16.0,,,93-104,,Offensive rebound by Team
1:16.0,I. Smith enters the game for D. Buycks,,93-104,,
1:16.0,,,93-105,1,D. Wade makes free throw 2 of 2
1:04.0,B. Griffin makes 2-pt shot from 17 ft,2,95-105,,
0:57.0,,,95-105,,Miami full timeout
0:57.0,,,95-105,,K. Olynyk enters the game for H. Whiteside
0:56.0,Personal foul by I. Smith (drawn by J. Johnson),,95-105,,
0:56.0,,,95-105,,J. Johnson misses free throw 1 of 2
0:56.0,,,95-105,,Offensive rebound by Team
0:56.0,,,95-105,,J. Winslow enters the game for G. Dragic
0:56.0,,,95-105,,H. Whiteside enters the game for K. Olynyk
0:56.0,,,95-105,,J. Johnson misses free throw 2 of 2
0:53.0,Defensive rebound by R. Bullock,,95-105,,
0:43.0,Turnover by I. Smith (lost ball; steal by J. Richardson),,95-105,,
0:39.0,,,95-105,,J. Richardson misses 2-pt shot from 4 ft
0:37.0,,,95-105,,Offensive rebound by D. Wade
0:36.0,Personal foul by J. Ennis (drawn by J. Johnson),,95-105,,
0:36.0,,,95-105,,J. Johnson misses free throw 1 of 2
0:36.0,,,95-105,,Offensive rebound by Team
0:36.0,A. Tolliver enters the game for A. Drummond,,95-105,,
0:36.0,L. Galloway enters the game for B. Griffin,,95-105,,
0:36.0,E. Moreland enters the game for R. Bullock,,95-105,,
0:36.0,,,95-105,,J. Johnson misses free throw 2 of 2
0:33.0,Defensive rebound by J. Ennis,,95-105,,
0:28.0,,,95-105,,Personal foul by J. Johnson (drawn by E. Moreland)
0:28.0,E. Moreland misses free throw 1 of 2,,95-105,,
0:28.0,Offensive rebound by Team,,95-105,,
0:28.0,,,95-105,,G. Dragic enters the game for J. Winslow
0:28.0,E. Moreland makes free throw 2 of 2,1,96-105,,
0:04.0,,,96-105,,Turnover by Team (shot clock)
