time,LA Lakers,pts.away,score,pts.home,Atlanta
10:40.0,,,100-78,,I. Taylor misses free throw 1 of 2
10:40.0,,,100-78,,Offensive rebound by Team
10:40.0,J. Hart enters the game for K. Caldwell-Pope,,100-78,,
10:40.0,,,100-79,1,I. Taylor makes free throw 2 of 2
10:24.0,I. Zubac misses 2-pt shot from 1 ft,,100-79,,
10:22.0,,,100-79,,Defensive rebound by J. Collins
10:19.0,,,100-79,,Turnover by I. Taylor (lost ball; steal by L. Ball)
10:14.0,K. Kuzma misses 2-pt shot from 10 ft,,100-79,,
10:09.0,Offensive rebound by I. Zubac,,100-79,,
10:09.0,I. Zubac makes 2-pt shot at rim,2,102-79,,
9:57.0,,,102-81,2,T. Waller-Prince makes 2-pt shot from 4 ft
9:43.0,I. Zubac makes 2-pt shot from 1 ft (assist by I. Thomas),2,104-81,,
9:15.0,,,104-81,,Turnover by Team (shot clock)
9:15.0,,,104-81,,D. Dedmon enters the game for J. Collins
8:55.0,K. Kuzma misses 2-pt shot from 17 ft,,104-81,,
8:53.0,,,104-81,,Defensive rebound by Team
8:40.0,,,104-83,2,I. Taylor makes 2-pt shot from 7 ft
8:40.0,,,104-83,,Shooting foul by I. Thomas (drawn by I. Taylor)
8:40.0,,,104-84,1,I. Taylor makes free throw 1 of 1
8:30.0,Turnover by I. Zubac (bad pass),,104-84,,
8:17.0,,,104-86,2,I. Taylor makes 2-pt shot from 1 ft (assist by D. Dedmon)
7:58.0,I. Thomas makes 2-pt shot from 1 ft,2,106-86,,
7:36.0,,,106-86,,I. Taylor misses 2-pt shot from 13 ft
7:29.0,Defensive rebound by L. Ball,,106-86,,
7:28.0,J. Hart misses 3-pt shot from 22 ft,,106-86,,
7:21.0,,,106-86,,Defensive rebound by T. Dorsey
7:19.0,,,106-86,,T. Dorsey misses 3-pt shot from 25 ft
7:13.0,Defensive rebound by L. Ball,,106-86,,
7:03.0,I. Zubac makes 2-pt shot from 15 ft (assist by I. Thomas),2,108-86,,
6:44.0,,,108-86,,Shooting foul by L. Ball (drawn by K. Bazemore)
6:44.0,,,108-86,,Atlanta full timeout
6:44.0,,,108-86,,A. White enters the game for T. Dorsey
6:44.0,,,108-86,,M. Muscala enters the game for I. Taylor
6:44.0,,,108-87,1,K. Bazemore makes free throw 1 of 2
6:44.0,,,108-88,1,K. Bazemore makes free throw 2 of 2
6:31.0,Turnover by I. Zubac (turnover),,108-88,,
6:18.0,,,108-88,,K. Bazemore misses 2-pt shot from 16 ft
6:15.0,Defensive rebound by J. Hart,,108-88,,
6:05.0,J. Hart makes 3-pt shot from 25 ft (assist by L. Ball),3,111-88,,
5:44.0,,,111-88,,A. White misses 3-pt shot from 25 ft
5:40.0,Defensive rebound by L. Ball,,111-88,,
5:38.0,I. Thomas misses 3-pt shot from 24 ft,,111-88,,
5:38.0,Offensive rebound by I. Thomas,,111-88,,
5:30.0,I. Thomas makes 2-pt shot from 2 ft,2,113-88,,
5:23.0,,,113-91,3,T. Waller-Prince makes 3-pt shot from 24 ft
5:08.0,J. Hart misses 3-pt shot from 24 ft,,113-91,,
5:05.0,,,113-91,,Defensive rebound by M. Muscala
5:00.0,Shooting block foul by I. Zubac (drawn by K. Bazemore),,113-91,,
5:00.0,,,113-91,,K. Bazemore misses free throw 1 of 2
5:00.0,,,113-91,,Offensive rebound by Team
5:00.0,,,113-91,,M. Plumlee enters the game for D. Dedmon
5:00.0,T. Ennis enters the game for L. Ball,,113-91,,
5:00.0,K. Caldwell-Pope enters the game for I. Thomas,,113-91,,
5:00.0,,,113-92,1,K. Bazemore makes free throw 2 of 2
4:52.0,J. Hart makes 3-pt shot from 24 ft,3,116-92,,
4:43.0,,,116-92,,Shooting foul by J. Hart (drawn by T. Waller-Prince)
4:43.0,,,116-93,1,T. Waller-Prince makes free throw 1 of 2
4:43.0,,,116-93,,J. Magette enters the game for K. Bazemore
4:43.0,,,116-94,1,T. Waller-Prince makes free throw 2 of 2
4:26.0,T. Ennis makes 2-pt shot from 7 ft,2,118-94,,
4:10.0,,,118-94,,Turnover by T. Waller-Prince (lost ball; steal by K. Kuzma)
4:05.0,K. Kuzma misses 3-pt shot from 24 ft,,118-94,,
4:02.0,,,118-94,,Defensive rebound by J. Magette
3:55.0,,,118-96,2,A. White makes 2-pt shot from 5 ft (assist by J. Magette)
3:55.0,,,118-96,,Shooting foul by I. Zubac (drawn by A. White)
3:55.0,,,118-96,,I. Taylor enters the game for T. Waller-Prince
3:55.0,,,118-96,,A. White misses free throw 1 of 1
3:52.0,Defensive rebound by K. Kuzma,,118-96,,
3:33.0,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by T. Ennis),2,120-96,,
3:16.0,,,120-96,,A. White misses 3-pt shot from 25 ft
3:13.0,Defensive rebound by T. Ennis,,120-96,,
3:08.0,Turnover by T. Ennis (bad pass; steal by M. Muscala),,120-96,,
2:58.0,,,120-98,2,M. Muscala makes 2-pt shot from 12 ft (assist by I. Taylor)
2:39.0,T. Ennis misses 2-pt shot from 20 ft,,120-98,,
2:36.0,,,120-98,,Defensive rebound by M. Muscala
2:29.0,,,120-98,,Offensive charge foul by M. Muscala (drawn by T. Ennis)
2:29.0,,,120-98,,Turnover by M. Muscala (offensive foul)
2:29.0,,,120-98,,Atlanta full timeout
2:25.0,Turnover by I. Zubac (bad pass; steal by J. Magette),,120-98,,
2:22.0,,,120-100,2,I. Taylor makes 2-pt shot from 1 ft (assist by J. Magette)
2:02.0,Turnover by T. Ennis (step out of bounds),,120-100,,
1:53.0,,,120-102,2,M. Muscala makes 2-pt shot from 8 ft (assist by J. Magette)
1:42.0,J. Hart misses 2-pt shot from 12 ft,,120-102,,
1:35.0,,,120-102,,Defensive rebound by M. Muscala
1:33.0,,,120-102,,J. Magette misses 3-pt shot from 27 ft
1:33.0,Defensive rebound by K. Kuzma,,120-102,,
1:22.0,K. Kuzma misses 2-pt shot from 3 ft,,120-102,,
1:19.0,,,120-102,,Defensive rebound by A. White
1:10.0,,,120-102,,M. Muscala misses 3-pt shot from 23 ft
1:07.0,Defensive rebound by K. Kuzma,,120-102,,
0:54.0,Turnover by T. Ennis (bad pass; steal by M. Plumlee),,120-102,,
0:48.0,,,120-104,2,A. White makes 2-pt shot at rim (assist by J. Magette)
0:33.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by T. Ennis),3,123-104,,
0:15.0,,,123-104,,M. Muscala misses 3-pt shot from 25 ft
0:12.0,Defensive rebound by K. Caldwell-Pope,,123-104,,
