time,Miami,pts.away,score,pts.home,Detroit
2:24.0,,,97-107,,Shooting foul by J. Richardson (drawn by L. Kennard)
2:24.0,,,97-107,,A. Tolliver enters the game for A. Drummond
2:24.0,T. Johnson enters the game for H. Whiteside,,97-107,,
2:24.0,,,97-107,,L. Kennard misses free throw 1 of 1
2:21.0,Defensive rebound by T. Johnson,,97-107,,
2:08.0,Turnover by D. Waiters (lost ball; steal by A. Bradley),,97-107,,
2:07.0,Personal foul by T. Johnson (drawn by A. Bradley),,97-107,,
2:07.0,,,97-108,1,A. Bradley makes free throw 1 of 2
2:07.0,,,97-109,1,A. Bradley makes free throw 2 of 2
1:49.0,J. Richardson makes 3-pt shot from 26 ft (assist by G. Dragic),3,100-109,,
1:33.0,,,100-109,,Turnover by R. Jackson (traveling)
1:19.0,Shooting foul by R. Jackson (drawn by G. Dragic),,100-109,,
1:19.0,G. Dragic makes free throw 1 of 2,1,101-109,,
1:19.0,G. Dragic makes free throw 2 of 2,1,102-109,,
1:07.0,,,102-109,,A. Bradley misses 2-pt shot from 6 ft
1:05.0,Defensive rebound by J. Richardson,,102-109,,
1:00.0,J. Richardson misses 2-pt shot from 10 ft,,102-109,,
0:58.0,,,102-109,,Defensive rebound by R. Jackson
0:44.0,,,102-109,,R. Jackson misses 2-pt shot from 2 ft (block by T. Johnson)
0:44.0,,,102-109,,Offensive rebound by A. Bradley
0:44.0,,,102-111,2,A. Bradley makes 2-pt shot from 2 ft
0:44.0,,,102-111,,Shooting foul by T. Johnson (drawn by A. Bradley)
0:44.0,,,102-112,1,A. Bradley makes free throw 1 of 1
0:44.0,Miami full timeout,,102-112,,
0:40.0,,,102-112,,Personal foul by L. Kennard (drawn by J. Johnson)
0:40.0,J. Johnson misses free throw 1 of 2,,102-112,,
0:40.0,Offensive rebound by Team,,102-112,,
0:40.0,J. Johnson makes free throw 2 of 2,1,103-112,,
0:15.0,,,103-112,,R. Jackson misses 3-pt shot from 25 ft
0:12.0,,,103-112,,Offensive rebound by A. Tolliver
