time,Dallas,pts.away,score,pts.home,Philadelphia
3:37.0,Offensive rebound by D. Powell,,84-101,,
3:33.0,Shooting foul by R. Covington (drawn by D. Powell),,84-101,,
3:33.0,D. Powell makes free throw 1 of 2,1,85-101,,
3:33.0,D. Powell makes free throw 2 of 2,1,86-101,,
3:10.0,,,86-101,,R. Covington misses 3-pt shot from 27 ft
3:05.0,,,86-101,,Offensive rebound by B. Simmons
3:04.0,,,86-103,2,B. Simmons makes 2-pt shot from 1 ft
2:47.0,Turnover by Y. Ferrell (bad pass; steal by B. Simmons),,86-103,,
2:41.0,,,86-106,3,R. Covington makes 3-pt shot from 22 ft (assist by J. Redick)
2:26.0,D. McDermott makes 2-pt shot from 11 ft (assist by D. Smith),2,88-106,,
2:24.0,,,88-106,,Philadelphia full timeout
2:24.0,,,88-106,,T. McConnell enters the game for J. Redick
2:24.0,,,88-106,,J. Anderson enters the game for M. Belinelli
2:24.0,,,88-106,,M. Fultz enters the game for B. Simmons
2:24.0,,,88-106,,F. Korkmaz enters the game for R. Covington
2:00.0,,,88-106,,F. Korkmaz misses 2-pt shot from 14 ft (block by D. McDermott)
1:56.0,Defensive rebound by D. McDermott,,88-106,,
1:50.0,Y. Ferrell makes 3-pt shot from 26 ft (assist by D. Smith),3,91-106,,
1:34.0,,,91-106,,J. Anderson misses 3-pt shot from 26 ft
1:32.0,Defensive rebound by D. Powell,,91-106,,
1:21.0,D. Powell makes 2-pt shot at rim (assist by D. Smith),2,93-106,,
1:09.0,,,93-109,3,J. Anderson makes 3-pt shot from 26 ft (assist by M. Fultz)
0:53.0,H. Barnes makes 2-pt shot at rim (assist by D. Smith),2,95-109,,
0:32.0,,,95-109,,F. Korkmaz misses 3-pt shot from 27 ft
0:29.0,,,95-109,,Offensive rebound by J. Anderson
0:28.0,,,95-109,,Turnover by Team (shot clock)
0:13.0,H. Barnes makes 2-pt shot from 2 ft,2,97-109,,
