time,Memphis,pts.away,score,pts.home,Portland
4:03.0,,,93-103,,E. Turner misses 3-pt shot from 25 ft
3:59.0,,,93-103,,Offensive rebound by J. Nurkic
3:43.0,,,93-103,,J. Nurkic misses 2-pt shot from 8 ft
3:39.0,Defensive rebound by I. Rabb,,93-103,,
3:21.0,M. Teague makes 2-pt shot from 1 ft,2,95-103,,
3:04.0,,,95-105,2,D. Lillard makes 2-pt shot from 1 ft
2:46.0,M. Teague misses 2-pt shot from 11 ft,,95-105,,
2:44.0,,,95-105,,Defensive rebound by J. Nurkic
2:25.0,,,95-105,,Shooting foul by B. McLemore (drawn by J. Nurkic)
2:25.0,,,95-106,1,J. Nurkic makes free throw 1 of 2
2:25.0,,,95-107,1,J. Nurkic makes free throw 2 of 2
2:15.0,D. Brooks misses 3-pt shot from 27 ft,,95-107,,
2:10.0,,,95-107,,Defensive rebound by A. Aminu
1:49.0,,,95-110,3,E. Turner makes 3-pt shot from 24 ft (assist by C. McCollum)
1:32.0,D. Brooks misses 2-pt shot from 1 ft,,95-110,,
1:30.0,,,95-110,,Defensive rebound by A. Aminu
1:12.0,,,95-113,3,A. Aminu makes 3-pt shot from 25 ft (assist by D. Lillard)
1:05.0,,,95-113,,Personal take foul by C. McCollum (drawn by D. Brooks)
1:05.0,,,95-113,,P. Connaughton enters the game for E. Turner
1:05.0,,,95-113,,W. Baldwin enters the game for D. Lillard
1:05.0,,,95-113,,Z. Collins enters the game for A. Aminu
1:05.0,,,95-113,,J. Layman enters the game for C. McCollum
1:05.0,,,95-113,,C. Swanigan enters the game for J. Nurkic
0:54.0,D. Brooks misses 2-pt shot from 1 ft,,95-113,,
0:53.0,,,95-113,,Defensive rebound by C. Swanigan
0:42.0,,,95-113,,Offensive foul by C. Swanigan (drawn by I. Rabb)
0:42.0,,,95-113,,Turnover by C. Swanigan (offensive foul)
0:27.0,J. Martin makes 3-pt shot from 23 ft (assist by D. Brooks),3,98-113,,
0:02.0,,,98-113,,Turnover by Team (shot clock)
0:00.0,D. Brooks misses 3-pt shot from 26 ft,,98-113,,
0:00.0,Offensive rebound by Team,,98-113,,
