time,Chicago,pts.away,score,pts.home,Toronto
5:12.0,L. Markkanen enters the game for D. Nwaba,,81-102,,
4:58.0,,,81-102,,Shooting foul by D. Valentine (drawn by K. Lowry)
4:58.0,,,81-103,1,K. Lowry makes free throw 1 of 3
4:58.0,,,81-104,1,K. Lowry makes free throw 2 of 3
4:58.0,,,81-104,,P. Siakam enters the game for C. Miles
4:58.0,,,81-104,,D. DeRozan enters the game for O. Anunoby
4:58.0,Q. Pondexter enters the game for P. Zipser,,81-104,,
4:58.0,J. Holiday enters the game for D. Valentine,,81-104,,
4:58.0,,,81-105,1,K. Lowry makes free throw 3 of 3
4:47.0,,,81-105,,Personal foul by J. Valanciunas (drawn by R. Lopez)
4:47.0,R. Lopez makes free throw 1 of 2,1,82-105,,
4:47.0,R. Lopez makes free throw 2 of 2,1,83-105,,
4:39.0,,,83-105,,Turnover by J. Valanciunas (bad pass)
4:29.0,J. Grant makes 2-pt shot from 4 ft,2,85-105,,
4:29.0,Shooting foul by J. Valanciunas (drawn by J. Grant),,85-105,,
4:29.0,J. Grant makes free throw 1 of 1,1,86-105,,
4:12.0,,,86-107,2,D. DeRozan makes 2-pt shot from 10 ft (assist by K. Lowry)
3:59.0,J. Holiday makes 3-pt shot from 25 ft,3,89-107,,
3:49.0,,,89-109,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
3:34.0,L. Markkanen makes 3-pt shot from 27 ft (assist by J. Grant),3,92-109,,
3:16.0,,,92-109,,Turnover by D. DeRozan (bad pass; steal by Q. Pondexter)
3:10.0,Q. Pondexter makes 2-pt shot from 2 ft,2,94-109,,
3:08.0,,,94-109,,Toronto full timeout
2:56.0,Personal foul by Q. Pondexter (drawn by D. DeRozan),,94-109,,
2:56.0,,,94-110,1,D. DeRozan makes free throw 1 of 2
2:56.0,,,94-111,1,D. DeRozan makes free throw 2 of 2
2:39.0,L. Markkanen misses 3-pt shot from 25 ft,,94-111,,
2:36.0,Offensive rebound by Q. Pondexter,,94-111,,
2:36.0,Turnover by Q. Pondexter (out of bounds lost ball),,94-111,,
2:17.0,,,94-111,,D. Wright misses 2-pt shot from 6 ft
2:14.0,,,94-111,,Offensive rebound by J. Valanciunas
2:13.0,,,94-113,2,J. Valanciunas makes 2-pt shot at rim
2:00.0,Turnover by L. Markkanen (lost ball; steal by P. Siakam),,94-113,,
1:50.0,,,94-113,,D. DeRozan misses 2-pt shot from 13 ft
1:47.0,Defensive rebound by J. Holiday,,94-113,,
1:40.0,L. Markkanen misses 3-pt shot from 25 ft,,94-113,,
1:37.0,Offensive rebound by Q. Pondexter,,94-113,,
1:33.0,J. Holiday misses 3-pt shot from 28 ft,,94-113,,
1:29.0,,,94-113,,Defensive rebound by J. Valanciunas
1:14.0,,,94-113,,Shooting foul by R. Lopez (drawn by J. Valanciunas)
1:14.0,,,94-114,1,J. Valanciunas makes free throw 1 of 2
1:14.0,,,94-114,,F. VanVleet enters the game for K. Lowry
1:14.0,,,94-114,,A. McKinnie enters the game for D. DeRozan
1:14.0,D. Nwaba enters the game for J. Grant,,94-114,,
1:14.0,A. Blakeney enters the game for L. Markkanen,,94-114,,
1:14.0,R. Arcidiacono enters the game for R. Lopez,,94-114,,
1:14.0,C. Felicio enters the game for J. Holiday,,94-114,,
1:14.0,,,94-115,1,J. Valanciunas makes free throw 2 of 2
1:01.0,Q. Pondexter makes 2-pt shot from 6 ft,2,96-115,,
0:45.0,,,96-115,,J. Valanciunas misses 2-pt shot from 4 ft
0:43.0,Defensive rebound by C. Felicio,,96-115,,
0:39.0,A. Blakeney makes 2-pt shot from 20 ft,2,98-115,,
0:31.0,,,98-117,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by F. VanVleet)
0:22.0,Q. Pondexter makes 2-pt shot from 10 ft,2,100-117,,
