time,Minnesota,pts.away,score,pts.home,San Antonio
2:44.0,,,70-79,,M. Ginobili misses 2-pt shot from 14 ft
2:44.0,,,70-79,,Offensive rebound by J. Lauvergne
2:39.0,,,70-81,2,K. Anderson makes 2-pt shot from 1 ft (assist by J. Lauvergne)
2:18.0,A. Wiggins makes 2-pt shot from 3 ft (assist by N. Bjelica),2,72-81,,
2:05.0,,,72-81,,P. Mills misses 3-pt shot from 24 ft
2:05.0,Defensive rebound by A. Wiggins,,72-81,,
1:54.0,A. Wiggins makes 2-pt shot from 14 ft,2,74-81,,
1:32.0,,,74-81,,R. Gay misses 2-pt shot from 9 ft
1:32.0,Defensive rebound by N. Bjelica,,74-81,,
1:23.0,Turnover by G. Dieng (lost ball; steal by P. Mills),,74-81,,
1:12.0,,,74-83,2,J. Lauvergne makes 2-pt shot from 1 ft (assist by K. Anderson)
0:59.0,S. Muhammad enters the game for A. Wiggins,,74-83,,
0:50.0,S. Muhammad misses 2-pt shot from 22 ft,,74-83,,
0:50.0,,,74-83,,Defensive rebound by P. Mills
0:43.0,,,74-83,,M. Ginobili misses 3-pt shot from 24 ft (block by J. Crawford)
0:43.0,,,74-83,,Offensive rebound by Team
0:42.0,,,74-83,,M. Ginobili misses 3-pt shot from 24 ft
0:42.0,,,74-83,,Offensive rebound by Team
0:33.0,,,74-85,2,R. Gay makes 2-pt shot from 11 ft
0:21.0,Turnover by J. Crawford (bad pass; steal by M. Ginobili),,74-85,,
0:20.0,Personal foul by G. Dieng (drawn by M. Ginobili),,74-85,,
0:20.0,,,74-86,1,M. Ginobili makes free throw 1 of 2
0:20.0,,,74-87,1,M. Ginobili makes free throw 2 of 2
0:06.0,,,74-87,,Personal foul by R. Gay (drawn by J. Crawford)
0:00.0,N. Bjelica makes 3-pt shot from 26 ft (assist by J. Crawford),3,77-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,S. Muhammad misses 3-pt shot from 25 ft,,77-87,,
11:35.0,,,77-87,,Defensive rebound by L. Aldridge
11:26.0,,,77-87,,R. Gay misses 2-pt shot from 14 ft
11:23.0,Defensive rebound by K. Towns,,77-87,,
11:03.0,N. Bjelica makes 2-pt shot from 2 ft (assist by J. Crawford),2,79-87,,
11:03.0,Shooting foul by L. Aldridge (drawn by N. Bjelica),,79-87,,
11:03.0,,,79-87,,D. Green enters the game for K. Anderson
11:03.0,N. Bjelica makes free throw 1 of 1,1,80-87,,
10:46.0,,,80-87,,D. Green misses 2-pt shot from 3 ft (block by S. Muhammad)
10:46.0,,,80-87,,Offensive rebound by Team
10:42.0,,,80-87,,D. Green misses 3-pt shot from 25 ft
10:42.0,,,80-87,,Offensive rebound by L. Aldridge
10:26.0,,,80-87,,L. Aldridge misses 2-pt shot from 9 ft
10:26.0,Defensive rebound by N. Bjelica,,80-87,,
10:15.0,J. Crawford makes 2-pt shot from 13 ft,2,82-87,,
10:15.0,Shooting foul by P. Mills (drawn by J. Crawford),,82-87,,
10:15.0,J. Crawford makes free throw 1 of 1,1,83-87,,
10:04.0,,,83-87,,Turnover by D. Green (traveling)
9:54.0,Turnover by K. Towns (traveling),,83-87,,
9:54.0,,,83-87,,K. Anderson enters the game for P. Mills
9:54.0,,,83-87,,P. Gasol enters the game for M. Ginobili
9:54.0,,,83-87,,D. Murray enters the game for R. Gay
9:34.0,,,83-87,,L. Aldridge misses 2-pt shot from 20 ft
9:31.0,Defensive rebound by T. Jones,,83-87,,
9:28.0,K. Towns misses 2-pt shot from 2 ft (block by L. Aldridge),,83-87,,
9:18.0,Offensive rebound by S. Muhammad,,83-87,,
9:18.0,S. Muhammad makes 2-pt shot at rim,2,85-87,,
9:03.0,,,85-87,,D. Green misses 2-pt shot from 16 ft
8:55.0,,,85-87,,Offensive rebound by D. Murray
8:55.0,,,85-87,,D. Murray misses 2-pt shot at rim
8:54.0,Defensive rebound by K. Towns,,85-87,,
8:52.0,J. Crawford misses 3-pt shot from 25 ft,,85-87,,
8:50.0,,,85-87,,Defensive rebound by P. Gasol
8:41.0,,,85-89,2,K. Anderson makes 2-pt shot from 7 ft (assist by D. Murray)
8:26.0,T. Jones misses 2-pt shot from 16 ft,,85-89,,
8:26.0,,,85-89,,Defensive rebound by K. Anderson
8:18.0,,,85-89,,D. Green misses 3-pt shot from 24 ft
8:18.0,Defensive rebound by K. Towns,,85-89,,
8:01.0,N. Bjelica makes 2-pt shot from 10 ft (assist by J. Crawford),2,87-89,,
8:01.0,Shooting foul by D. Murray (drawn by N. Bjelica),,87-89,,
8:01.0,J. Butler enters the game for S. Muhammad,,87-89,,
8:01.0,,,87-89,,San Antonio full timeout
8:01.0,N. Bjelica makes free throw 1 of 1,1,88-89,,
7:40.0,,,88-89,,L. Aldridge misses 2-pt shot from 12 ft
7:36.0,Defensive rebound by T. Jones,,88-89,,
7:24.0,N. Bjelica misses 3-pt shot from 25 ft,,88-89,,
7:23.0,,,88-89,,Defensive rebound by K. Anderson
7:23.0,Loose ball foul by K. Towns (drawn by K. Anderson),,88-89,,
7:06.0,,,88-89,,P. Gasol misses 2-pt shot from 4 ft
7:03.0,Defensive rebound by K. Towns,,88-89,,
6:49.0,J. Butler misses 2-pt shot from 2 ft (block by P. Gasol),,88-89,,
6:40.0,Offensive rebound by N. Bjelica,,88-89,,
6:40.0,N. Bjelica misses 2-pt shot at rim (block by K. Anderson),,88-89,,
6:34.0,,,88-89,,Defensive rebound by K. Anderson
6:29.0,,,88-91,2,K. Anderson makes 2-pt shot from 1 ft (assist by D. Murray)
6:01.0,J. Crawford makes 2-pt shot from 2 ft,2,90-91,,
5:43.0,,,90-91,,P. Gasol misses 3-pt shot from 24 ft
5:43.0,Defensive rebound by J. Butler,,90-91,,
5:22.0,N. Bjelica misses 2-pt shot from 9 ft,,90-91,,
5:19.0,,,90-91,,Defensive rebound by P. Gasol
5:14.0,,,90-91,,Turnover by P. Gasol (bad pass)
5:02.0,J. Butler makes 2-pt shot from 18 ft,2,92-91,,
4:50.0,,,92-93,2,D. Murray makes 2-pt shot from 9 ft
4:35.0,Turnover by J. Butler (turnover),,92-93,,
4:35.0,Personal foul by J. Butler (drawn by D. Green),,92-93,,
4:35.0,,,92-93,,R. Gay enters the game for K. Anderson
4:35.0,,,92-93,,P. Mills enters the game for D. Murray
4:35.0,,,92-93,,M. Ginobili enters the game for P. Gasol
4:35.0,A. Wiggins enters the game for N. Bjelica,,92-93,,
4:14.0,,,92-93,,D. Green misses 2-pt shot from 3 ft
4:14.0,Defensive rebound by Team,,92-93,,
4:00.0,K. Towns misses 3-pt shot from 26 ft,,92-93,,
4:00.0,,,92-93,,Defensive rebound by R. Gay
