time,Houston,pts.away,score,pts.home,Indiana
3:32.0,,,110-87,,T. Leaf enters the game for M. Turner
3:32.0,,,110-87,,D. Wilkins enters the game for B. Bogdanovic
3:32.0,D. Jackson enters the game for E. Gordon,,110-87,,
3:32.0,B. Brown enters the game for J. Harden,,110-87,,
3:32.0,Z. Qi enters the game for R. Anderson,,110-87,,
3:19.0,,,110-89,2,D. Wilkins makes 2-pt shot at rim
3:05.0,C. Capela makes 2-pt shot at rim,2,112-89,,
2:51.0,,,112-89,,Shooting foul by Z. Qi (drawn by T. Leaf)
2:51.0,,,112-90,1,T. Leaf makes free throw 1 of 2
2:51.0,,,112-90,,T. Leaf misses free throw 2 of 2
2:49.0,Defensive rebound by T. Ariza,,112-90,,
2:35.0,T. Ariza misses 3-pt shot from 27 ft,,112-90,,
2:31.0,,,112-90,,Defensive rebound by I. Anigbogu
2:24.0,,,112-90,,I. Anigbogu misses 2-pt shot from 1 ft (block by Z. Qi)
2:24.0,Defensive rebound by T. Ariza,,112-90,,
2:19.0,Turnover by T. Ariza (bad pass),,112-90,,
2:02.0,,,112-90,,J. Young misses 2-pt shot from 1 ft (block by Z. Qi)
2:00.0,Defensive rebound by Z. Qi,,112-90,,
1:50.0,D. Jackson misses 2-pt shot at rim (block by T. Leaf),,112-90,,
1:46.0,,,112-90,,Defensive rebound by D. Wilkins
1:39.0,,,112-92,2,J. Young makes 2-pt shot from 13 ft
1:22.0,T. Ariza makes 3-pt shot from 23 ft (assist by C. Capela),3,115-92,,
1:02.0,,,115-95,3,T. Leaf makes 3-pt shot from 23 ft (assist by D. Wilkins)
0:45.0,B. Brown misses 2-pt shot from 20 ft,,115-95,,
0:42.0,,,115-95,,Defensive rebound by J. Young
0:31.0,,,115-95,,I. Anigbogu misses 2-pt shot from 5 ft
0:29.0,Defensive rebound by C. Capela,,115-95,,
0:09.0,B. Brown makes 3-pt shot from 27 ft,3,118-95,,
0:00.0,,,118-95,,J. Young misses 3-pt shot from 25 ft
0:00.0,,,118-95,,Offensive rebound by Team
