time,LA Clippers,pts.away,score,pts.home,Orlando
6:42.0,Personal foul by M. Teodosic (drawn by E. Payton),,54-53,,
6:42.0,J. Evans enters the game for M. Teodosic,,54-53,,
6:36.0,,,54-55,2,N. Vucevic makes 2-pt shot from 18 ft
6:26.0,L. Williams makes 2-pt shot from 2 ft,2,56-55,,
6:07.0,,,56-55,,N. Vucevic misses 3-pt shot from 25 ft
6:04.0,Defensive rebound by J. Wilson,,56-55,,
6:01.0,L. Williams misses 2-pt shot from 3 ft,,56-55,,
6:00.0,Offensive rebound by D. Jordan,,56-55,,
5:59.0,D. Jordan misses 2-pt shot at rim,,56-55,,
5:58.0,Offensive rebound by D. Jordan,,56-55,,
5:58.0,D. Jordan makes 2-pt shot at rim,2,58-55,,
5:45.0,,,58-57,2,J. Simmons makes 2-pt shot from 3 ft
5:23.0,D. Jordan misses 2-pt shot from 3 ft,,58-57,,
5:23.0,Offensive rebound by D. Jordan,,58-57,,
5:16.0,D. Jordan misses 2-pt shot at rim,,58-57,,
5:16.0,,,58-57,,Defensive rebound by M. Hezonja
5:00.0,,,58-57,,Turnover by J. Simmons (bad pass; steal by J. Evans)
4:37.0,Turnover by Team (shot clock),,58-57,,
4:37.0,S. Dekker enters the game for J. Wilson,,58-57,,
4:15.0,,,58-57,,M. Hezonja misses 2-pt shot from 18 ft
4:12.0,Defensive rebound by D. Jordan,,58-57,,
4:07.0,L. Williams makes 2-pt shot from 18 ft,2,60-57,,
4:05.0,,,60-57,,Orlando full timeout
4:05.0,,,60-57,,D. Augustin enters the game for M. Hezonja
4:05.0,,,60-57,,M. Speights enters the game for N. Vucevic
4:05.0,,,60-57,,B. Biyombo enters the game for W. Iwundu
3:49.0,,,60-57,,M. Speights misses 3-pt shot from 25 ft
3:46.0,Defensive rebound by D. Jordan,,60-57,,
3:30.0,D. Jordan makes 2-pt shot from 1 ft (assist by L. Williams),2,62-57,,
3:06.0,,,62-59,2,M. Speights makes 2-pt shot from 5 ft
2:54.0,S. Dekker makes 3-pt shot from 26 ft (assist by L. Williams),3,65-59,,
2:43.0,,,65-59,,M. Speights misses 3-pt shot from 27 ft
2:40.0,Defensive rebound by D. Jordan,,65-59,,
2:34.0,S. Dekker makes 2-pt shot from 2 ft (assist by L. Williams),2,67-59,,
2:34.0,,,67-59,,Orlando full timeout
2:34.0,,,67-59,,S. Mack enters the game for E. Payton
2:09.0,,,67-62,3,D. Augustin makes 3-pt shot from 23 ft (assist by J. Simmons)
1:54.0,D. Jordan makes 2-pt shot from 1 ft (assist by S. Dekker),2,69-62,,
1:41.0,,,69-62,,Turnover by D. Augustin (lost ball; steal by C. Williams)
1:34.0,L. Williams makes 2-pt shot from 11 ft (assist by J. Evans),2,71-62,,
1:18.0,,,71-64,2,J. Simmons makes 2-pt shot from 4 ft
1:12.0,C. Williams makes 3-pt shot from 23 ft (assist by J. Evans),3,74-64,,
1:11.0,,,74-64,,Orlando full timeout
0:57.0,,,74-66,2,B. Biyombo makes 2-pt shot from 2 ft (assist by J. Simmons)
0:57.0,,,74-66,,Shooting foul by C. Williams (drawn by B. Biyombo)
0:57.0,,,74-66,,B. Biyombo misses free throw 1 of 1
0:54.0,Defensive rebound by S. Dekker,,74-66,,
0:44.0,S. Dekker misses 2-pt shot from 2 ft (block by B. Biyombo),,74-66,,
0:40.0,,,74-66,,Defensive rebound by S. Mack
0:40.0,,,74-66,,Offensive charge foul by J. Simmons (drawn by J. Evans)
0:40.0,,,74-66,,Turnover by J. Simmons (offensive foul)
0:40.0,M. Harrell enters the game for D. Jordan,,74-66,,
0:29.0,J. Evans misses 2-pt shot from 21 ft,,74-66,,
0:26.0,,,74-66,,Defensive rebound by B. Biyombo
0:05.0,,,74-66,,Shooting foul by J. Evans (drawn by J. Simmons)
0:05.0,,,74-67,1,J. Simmons makes free throw 1 of 2
0:05.0,,,74-68,1,J. Simmons makes free throw 2 of 2
0:00.0,L. Williams misses 3-pt shot from 26 ft,,74-68,,
0:00.0,Offensive rebound by Team,,74-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,74-68,,M. Speights misses 2-pt shot from 8 ft
11:34.0,Defensive rebound by M. Teodosic,,74-68,,
11:19.0,M. Harrell makes 2-pt shot from 1 ft (assist by M. Teodosic),2,76-68,,
10:59.0,,,76-68,,S. Mack misses 2-pt shot from 14 ft
10:57.0,Defensive rebound by C. Williams,,76-68,,
10:41.0,J. Evans misses 3-pt shot from 26 ft,,76-68,,
10:37.0,,,76-68,,Defensive rebound by B. Biyombo
10:29.0,,,76-68,,S. Mack misses 2-pt shot from 9 ft
10:23.0,,,76-68,,Offensive rebound by S. Mack
10:22.0,,,76-68,,Turnover by S. Mack (bad pass; steal by M. Teodosic)
10:22.0,Shooting foul by B. Biyombo (drawn by M. Harrell),,76-68,,
10:22.0,M. Harrell misses free throw 1 of 2,,76-68,,
10:22.0,Offensive rebound by Team,,76-68,,
10:22.0,M. Harrell makes free throw 2 of 2,1,77-68,,
10:13.0,,,77-70,2,W. Iwundu makes 2-pt shot from 2 ft (assist by S. Mack)
9:52.0,M. Teodosic makes 3-pt shot from 26 ft (assist by M. Harrell),3,80-70,,
9:28.0,,,80-70,,M. Speights misses 3-pt shot from 26 ft
9:25.0,Defensive rebound by C. Williams,,80-70,,
9:14.0,M. Harrell misses 2-pt shot from 9 ft,,80-70,,
9:12.0,,,80-70,,Defensive rebound by S. Mack
9:05.0,,,80-70,,Shooting foul by J. Evans (drawn by S. Mack)
9:05.0,,,80-70,,S. Mack misses free throw 1 of 2
9:05.0,,,80-70,,Offensive rebound by Team
9:05.0,,,80-70,,J. Simmons enters the game for M. Speights
9:05.0,,,80-70,,M. Hezonja enters the game for W. Iwundu
9:05.0,,,80-71,1,S. Mack makes free throw 2 of 2
8:55.0,J. Evans makes 2-pt shot from 1 ft,2,82-71,,
8:34.0,,,82-71,,J. Simmons misses 2-pt shot from 7 ft
8:31.0,Defensive rebound by M. Harrell,,82-71,,
8:17.0,M. Harrell misses 2-pt shot from 4 ft,,82-71,,
8:14.0,,,82-71,,Defensive rebound by B. Biyombo
8:08.0,,,82-71,,D. Augustin misses 3-pt shot from 26 ft
8:04.0,Defensive rebound by M. Teodosic,,82-71,,
7:56.0,C. Williams misses 3-pt shot from 23 ft,,82-71,,
7:55.0,,,82-71,,Defensive rebound by Team
7:55.0,Loose ball foul by S. Dekker (drawn by J. Simmons),,82-71,,
7:55.0,,,82-71,,N. Vucevic enters the game for B. Biyombo
7:55.0,L. Williams enters the game for M. Teodosic,,82-71,,
7:36.0,,,82-73,2,S. Mack makes 2-pt shot from 3 ft (assist by N. Vucevic)
7:31.0,L. Williams makes 2-pt shot from 1 ft,2,84-73,,
7:15.0,,,84-75,2,N. Vucevic makes 2-pt shot from 17 ft (assist by D. Augustin)
7:06.0,,,84-75,,E. Payton enters the game for D. Augustin
7:06.0,D. Jordan enters the game for M. Harrell,,84-75,,
7:01.0,L. Williams makes 2-pt shot from 20 ft,2,86-75,,
6:51.0,,,86-75,,Orlando full timeout
6:40.0,Personal foul by C. Williams (drawn by J. Simmons),,86-75,,
6:30.0,,,86-78,3,S. Mack makes 3-pt shot from 25 ft (assist by E. Payton)
6:14.0,S. Dekker makes 2-pt shot from 17 ft,2,88-78,,
5:58.0,,,88-78,,J. Simmons misses 2-pt shot from 13 ft
5:56.0,Defensive rebound by D. Jordan,,88-78,,
5:41.0,S. Dekker makes 3-pt shot from 25 ft (assist by J. Evans),3,91-78,,
5:28.0,,,91-78,,Shooting foul by J. Evans (drawn by E. Payton)
5:28.0,,,91-78,,E. Payton misses free throw 2 of 2
5:28.0,Defensive rebound by D. Jordan,,91-78,,
5:28.0,,,91-79,1,E. Payton makes free throw 1 of 2
5:16.0,D. Jordan makes 2-pt shot from 2 ft (assist by L. Williams),2,93-79,,
4:59.0,,,93-81,2,N. Vucevic makes 2-pt shot from 13 ft (assist by J. Simmons)
4:38.0,L. Williams makes 3-pt shot from 26 ft,3,96-81,,
4:22.0,,,96-81,,Shooting foul by S. Dekker (drawn by E. Payton)
4:22.0,,,96-81,,E. Payton misses free throw 1 of 2
4:22.0,,,96-81,,Offensive rebound by Team
4:22.0,,,96-81,,E. Payton misses free throw 2 of 2
4:22.0,,,96-81,,Offensive rebound by M. Hezonja
