time,Denver,pts.away,score,pts.home,Indiana
3:06.0,,,111-106,1,V. Oladipo makes free throw 2 of 2
2:54.0,G. Harris makes 3-pt shot from 27 ft (assist by K. Faried),3,114-106,,
2:39.0,,,114-108,2,V. Oladipo makes 2-pt shot from 11 ft
2:06.0,K. Faried misses 2-pt shot from 18 ft,,114-108,,
2:03.0,Offensive rebound by G. Harris,,114-108,,
1:42.0,Turnover by W. Chandler (bad pass),,114-108,,
1:32.0,,,114-110,2,V. Oladipo makes 2-pt shot from 1 ft
1:08.0,Turnover by Team (shot clock),,114-110,,
0:55.0,,,114-112,2,V. Oladipo makes 2-pt shot from 2 ft
0:36.0,W. Barton misses 3-pt shot from 27 ft,,114-112,,
0:30.0,,,114-112,,Defensive rebound by V. Oladipo
0:26.0,,,114-112,,V. Oladipo misses 3-pt shot from 25 ft
0:24.0,,,114-112,,Offensive rebound by Team
0:24.0,,,114-112,,Indiana full timeout
0:05.0,,,114-112,,V. Oladipo misses 2-pt shot from 1 ft
0:05.0,,,114-112,,Offensive rebound by T. Young
0:05.0,,,114-114,2,T. Young makes 2-pt shot at rim
0:05.0,Denver full timeout,,114-114,,
0:01.0,W. Barton misses 2-pt shot from 18 ft,,114-114,,
0:00.0,Offensive rebound by Team,,114-114,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: M. Turner vs. K. Faried (T. Young gains possession),,,,Jump ball: M. Turner vs. K. Faried (T. Young gains possession)
4:44.0,,,114-116,2,M. Turner makes 2-pt shot from 4 ft
4:19.0,Turnover by W. Barton (bad pass),,114-116,,
4:10.0,,,114-116,,Turnover by V. Oladipo (bad pass; steal by W. Chandler)
4:03.0,Turnover by K. Faried (traveling),,114-116,,
3:52.0,,,114-118,2,V. Oladipo makes 2-pt shot from 2 ft
3:52.0,Denver full timeout,,114-118,,
3:38.0,,,114-118,,Personal foul by B. Bogdanovic (drawn by W. Barton)
3:26.0,G. Harris misses 3-pt shot from 29 ft,,114-118,,
3:22.0,,,114-118,,Defensive rebound by L. Stephenson
3:10.0,,,114-121,3,V. Oladipo makes 3-pt shot from 27 ft
3:02.0,Offensive charge foul by G. Harris (drawn by L. Stephenson),,114-121,,
3:02.0,Turnover by G. Harris (offensive foul),,114-121,,
2:45.0,,,114-121,,B. Bogdanovic misses 3-pt shot from 31 ft
2:42.0,Defensive rebound by Team,,114-121,,
2:37.0,W. Barton misses 3-pt shot from 28 ft,,114-121,,
2:32.0,,,114-121,,Defensive rebound by L. Stephenson
2:31.0,Personal foul by W. Chandler (drawn by M. Turner),,114-121,,
2:10.0,,,114-123,2,T. Young makes 2-pt shot from 5 ft
1:43.0,W. Chandler misses 3-pt shot from 25 ft,,114-123,,
1:40.0,,,114-123,,Defensive rebound by Team
1:25.0,,,114-123,,Turnover by V. Oladipo (bad pass; steal by T. Lyles)
1:19.0,G. Harris misses 2-pt shot at rim,,114-123,,
1:17.0,,,114-123,,Defensive rebound by V. Oladipo
1:04.0,,,114-125,2,M. Turner makes 2-pt shot from 14 ft
0:49.0,W. Chandler misses 3-pt shot from 31 ft,,114-125,,
0:46.0,Offensive rebound by G. Harris,,114-125,,
0:42.0,G. Harris misses 3-pt shot from 25 ft,,114-125,,
0:39.0,Offensive rebound by K. Faried,,114-125,,
0:39.0,K. Faried misses 2-pt shot at rim (block by M. Turner),,114-125,,
0:36.0,Offensive rebound by K. Faried,,114-125,,
0:25.0,,,114-125,,Personal foul by L. Stephenson (drawn by G. Harris)
0:25.0,Technical foul by G. Harris,,114-125,,
0:25.0,,,114-126,1,V. Oladipo makes technical free throw
0:13.0,K. Faried makes 2-pt shot from 1 ft (assist by W. Barton),2,116-126,,
