time,New York,pts.away,score,pts.home,Utah
6:06.0,,,98-95,2,D. Mitchell makes 2-pt shot from 6 ft
5:46.0,D. McDermott makes 2-pt shot from 2 ft (assist by E. Kanter),2,100-95,,
5:32.0,,,100-98,3,J. Johnson makes 3-pt shot from 22 ft (assist by D. Mitchell)
5:11.0,T. Burke makes 2-pt shot from 7 ft,2,102-98,,
4:47.0,,,102-98,,J. Johnson misses 3-pt shot from 23 ft
4:44.0,Defensive rebound by D. McDermott,,102-98,,
4:26.0,M. Beasley misses 2-pt shot from 2 ft,,102-98,,
4:25.0,Offensive rebound by M. Beasley,,102-98,,
4:25.0,Shooting foul by R. Rubio (drawn by E. Kanter),,102-98,,
4:25.0,E. Kanter misses free throw 1 of 2,,102-98,,
4:25.0,Offensive rebound by Team,,102-98,,
4:25.0,,,102-98,,J. Ingles enters the game for R. Rubio
4:25.0,,,102-98,,R. Gobert enters the game for J. Johnson
4:25.0,T. Hardaway enters the game for D. McDermott,,102-98,,
4:25.0,E. Kanter makes free throw 2 of 2,1,103-98,,
4:21.0,,,103-98,,Utah full timeout
4:21.0,,,103-98,,R. Rubio enters the game for R. Hood
4:21.0,K. Porzingis enters the game for E. Kanter,,103-98,,
4:13.0,,,103-98,,D. Mitchell misses 2-pt shot from 4 ft (block by K. Porzingis)
4:10.0,,,103-98,,Offensive rebound by D. Favors
4:09.0,,,103-100,2,R. Rubio makes 2-pt shot from 15 ft (assist by D. Favors)
3:45.0,T. Hardaway makes 3-pt shot from 25 ft,3,106-100,,
3:45.0,Shooting foul by R. Gobert (drawn by T. Hardaway),,106-100,,
3:45.0,T. Hardaway makes free throw 1 of 1,1,107-100,,
3:34.0,,,107-100,,D. Mitchell misses 3-pt shot from 24 ft
3:31.0,Defensive rebound by T. Hardaway,,107-100,,
3:21.0,T. Hardaway makes 2-pt shot from 1 ft,2,109-100,,
3:09.0,Personal foul by K. Porzingis (drawn by D. Mitchell),,109-100,,
3:09.0,,,109-100,,J. Johnson enters the game for D. Favors
3:03.0,,,109-100,,D. Mitchell misses 2-pt shot from 10 ft
3:02.0,,,109-100,,Offensive rebound by R. Gobert
3:02.0,,,109-100,,Shooting foul by C. Lee (drawn by R. Gobert)
3:02.0,,,109-100,,R. Gobert misses free throw 1 of 2
3:02.0,,,109-100,,Offensive rebound by Team
3:02.0,,,109-101,1,R. Gobert makes free throw 2 of 2
2:51.0,T. Hardaway misses 2-pt shot from 7 ft,,109-101,,
2:49.0,,,109-101,,Defensive rebound by R. Gobert
2:43.0,,,109-101,,R. Rubio misses 2-pt shot from 1 ft
2:43.0,Defensive rebound by Team,,109-101,,
2:43.0,,,109-101,,Loose ball foul by R. Gobert (drawn by K. Porzingis)
2:43.0,K. Porzingis makes free throw 1 of 2,1,110-101,,
2:43.0,K. Porzingis misses free throw 2 of 2,,110-101,,
2:41.0,,,110-101,,Defensive rebound by J. Johnson
2:26.0,,,110-103,2,J. Ingles makes 2-pt shot from 2 ft
2:12.0,K. Porzingis makes 3-pt shot from 25 ft (assist by T. Burke),3,113-103,,
1:58.0,Personal foul by T. Burke (drawn by R. Rubio),,113-103,,
1:58.0,,,113-104,1,R. Rubio makes free throw 1 of 2
1:58.0,,,113-104,,R. Rubio misses free throw 2 of 2
1:54.0,,,113-104,,Offensive rebound by J. Johnson
1:54.0,,,113-104,,Shooting foul by M. Beasley (drawn by J. Johnson)
1:54.0,,,113-105,1,J. Johnson makes free throw 1 of 3
1:54.0,,,113-106,1,J. Johnson makes free throw 2 of 3
1:54.0,,,113-107,1,J. Johnson makes free throw 3 of 3
1:37.0,C. Lee misses 2-pt shot from 14 ft,,113-107,,
1:36.0,,,113-107,,Defensive rebound by R. Gobert
1:30.0,,,113-109,2,D. Mitchell makes 2-pt shot from 2 ft (assist by R. Gobert)
1:30.0,New York full timeout,,113-109,,
1:18.0,M. Beasley makes 2-pt shot from 12 ft (assist by T. Burke),2,115-109,,
1:07.0,,,115-111,2,R. Gobert makes 2-pt shot from 2 ft (assist by D. Mitchell)
1:07.0,,,115-111,,Shooting foul by K. Porzingis (drawn by R. Gobert)
1:07.0,,,115-112,1,R. Gobert makes free throw 1 of 1
0:55.0,T. Burke misses 2-pt shot from 16 ft,,115-112,,
0:53.0,,,115-112,,Defensive rebound by D. Mitchell
0:49.0,,,115-112,,J. Johnson misses 3-pt shot from 23 ft
0:47.0,Defensive rebound by Team,,115-112,,
0:32.0,,,115-112,,Personal foul by R. Gobert (drawn by T. Hardaway)
0:32.0,T. Hardaway misses free throw 1 of 2,,115-112,,
0:32.0,Offensive rebound by Team,,115-112,,
0:32.0,T. Hardaway misses free throw 2 of 2,,115-112,,
0:32.0,,,115-112,,Defensive rebound by R. Rubio
0:32.0,,,115-112,,Utah full timeout
0:23.0,,,115-112,,D. Mitchell misses 3-pt shot from 25 ft
0:20.0,,,115-112,,Offensive rebound by R. Rubio
0:19.0,,,115-112,,J. Johnson misses 3-pt shot from 22 ft
0:19.0,,,115-112,,Offensive rebound by J. Ingles
0:14.0,,,115-112,,J. Ingles misses 3-pt shot from 22 ft
0:14.0,Defensive rebound by T. Burke,,115-112,,
0:09.0,,,115-112,,Personal foul by D. Mitchell (drawn by T. Hardaway)
0:09.0,T. Hardaway makes free throw 1 of 2,1,116-112,,
0:09.0,T. Hardaway makes free throw 2 of 2,1,117-112,,
0:04.0,,,117-112,,D. Mitchell misses 3-pt shot from 26 ft
0:02.0,,,117-112,,Offensive rebound by Team
0:01.0,,,117-115,3,D. Mitchell makes 3-pt shot from 25 ft (assist by R. Rubio)
