time,Brooklyn,pts.away,score,pts.home,Detroit
2:16.0,,,94-94,2,T. Harris makes 2-pt shot from 10 ft
1:59.0,A. Crabbe enters the game for R. Hollis-Jefferson,,94-94,,
1:57.0,Jump ball: I. Smith vs. S. Dinwiddie (A. Crabbe gains possession),,,,Jump ball: I. Smith vs. S. Dinwiddie (A. Crabbe gains possession)
1:50.0,S. Dinwiddie misses 3-pt shot from 25 ft,,94-94,,
1:46.0,,,94-94,,Defensive rebound by T. Harris
1:41.0,,,94-94,,T. Harris misses 3-pt shot from 26 ft
1:35.0,Defensive rebound by A. Crabbe,,94-94,,
1:21.0,S. Dinwiddie makes 3-pt shot from 23 ft (assist by C. LeVert),3,97-94,,
1:13.0,,,97-94,,T. Harris misses 2-pt shot from 17 ft
1:09.0,,,97-94,,Offensive rebound by A. Drummond
1:07.0,,,97-94,,A. Drummond misses 2-pt shot from 1 ft
1:03.0,,,97-94,,Offensive rebound by A. Drummond
1:03.0,,,97-96,2,A. Drummond makes 2-pt shot at rim
0:43.0,Q. Acy misses 3-pt shot from 24 ft,,97-96,,
0:42.0,Offensive rebound by Team,,97-96,,
0:42.0,,,97-96,,Personal foul by A. Drummond (drawn by C. LeVert)
0:42.0,C. LeVert misses free throw 1 of 2,,97-96,,
0:42.0,Offensive rebound by Team,,97-96,,
0:42.0,C. LeVert makes free throw 2 of 2,1,98-96,,
0:34.0,,,98-96,,A. Bradley misses 3-pt shot from 25 ft
0:31.0,,,98-96,,Offensive rebound by S. Johnson
0:31.0,,,98-98,2,S. Johnson makes 2-pt shot at rim
0:13.0,Shooting foul by S. Johnson (drawn by C. LeVert),,98-98,,
0:13.0,C. LeVert misses free throw 1 of 2,,98-98,,
0:13.0,Offensive rebound by Team,,98-98,,
0:13.0,,,98-98,,E. Moreland enters the game for T. Harris
0:13.0,R. Hollis-Jefferson enters the game for A. Crabbe,,98-98,,
0:13.0,C. LeVert makes free throw 2 of 2,1,99-98,,
0:13.0,Brooklyn full timeout,,99-98,,
0:13.0,,,99-98,,L. Kennard enters the game for S. Johnson
0:13.0,,,99-98,,L. Galloway enters the game for I. Smith
0:13.0,,,99-98,,T. Harris enters the game for E. Moreland
0:13.0,J. Harris enters the game for Q. Acy,,99-98,,
0:13.0,,,99-98,,Detroit full timeout
0:04.0,,,99-100,2,A. Drummond makes 2-pt shot from 2 ft (assist by L. Galloway)
0:04.0,Brooklyn full timeout,,99-100,,
0:04.0,,,99-100,,S. Johnson enters the game for L. Kennard
0:04.0,,,99-100,,A. Tolliver enters the game for L. Galloway
0:04.0,,,99-100,,I. Smith enters the game for T. Harris
0:04.0,A. Crabbe enters the game for C. LeVert,,99-100,,
0:04.0,Q. Acy enters the game for R. Hollis-Jefferson,,99-100,,
0:04.0,Brooklyn full timeout,,99-100,,
0:01.0,S. Dinwiddie makes 2-pt shot from 13 ft (assist by J. Harris),2,101-100,,
