time,Portland,pts.away,score,pts.home,New York
7:04.0,,,41-27,,J. Noah enters the game for D. McDermott
7:04.0,,,41-27,,K. Porzingis enters the game for L. Thomas
7:04.0,,,41-27,,T. Hardaway enters the game for K. O'Quinn
6:51.0,S. Napier misses 2-pt shot from 11 ft (block by J. Noah),,41-27,,
6:47.0,,,41-27,,Defensive rebound by T. Hardaway
6:42.0,,,41-27,,T. Hardaway misses 2-pt shot from 18 ft
6:35.0,Defensive rebound by M. Harkless,,41-27,,
6:31.0,M. Harkless misses 3-pt shot from 25 ft,,41-27,,
6:28.0,,,41-27,,Defensive rebound by J. Noah
6:21.0,Personal foul by M. Harkless (drawn by K. Porzingis),,41-27,,
6:21.0,,,41-27,,J. Jack enters the game for F. Ntilikina
6:21.0,D. Lillard enters the game for E. Turner,,41-27,,
6:18.0,Personal foul by C. McCollum (drawn by T. Hardaway),,41-27,,
6:12.0,,,41-27,,C. Lee misses 2-pt shot from 18 ft
6:06.0,Defensive rebound by S. Napier,,41-27,,
5:59.0,S. Napier makes 2-pt shot from 19 ft,2,43-27,,
5:46.0,,,43-29,2,J. Noah makes 2-pt shot from 5 ft
5:26.0,D. Lillard misses 3-pt shot from 25 ft,,43-29,,
5:24.0,,,43-29,,Defensive rebound by J. Jack
5:21.0,,,43-29,,Turnover by J. Jack (lost ball; steal by M. Harkless)
5:16.0,E. Davis misses 2-pt shot from 1 ft,,43-29,,
5:14.0,,,43-29,,Defensive rebound by J. Jack
5:13.0,,,43-29,,Turnover by J. Jack (bad pass; steal by M. Harkless)
5:09.0,D. Lillard misses 3-pt shot from 24 ft,,43-29,,
5:06.0,,,43-29,,Defensive rebound by J. Jack
4:59.0,,,43-29,,Shooting foul by M. Harkless (drawn by K. Porzingis)
4:59.0,,,43-30,1,K. Porzingis makes free throw 1 of 2
4:59.0,J. Nurkic enters the game for E. Davis,,43-30,,
4:59.0,,,43-31,1,K. Porzingis makes free throw 2 of 2
4:41.0,Turnover by D. Lillard (bad pass; steal by K. Porzingis),,43-31,,
4:34.0,,,43-31,,J. Jack misses 2-pt shot from 10 ft
4:32.0,Defensive rebound by S. Napier,,43-31,,
4:26.0,M. Harkless makes 2-pt shot at rim (assist by S. Napier),2,45-31,,
4:26.0,Shooting foul by J. Noah (drawn by M. Harkless),,45-31,,
4:26.0,M. Harkless makes free throw 1 of 1,1,46-31,,
4:10.0,Personal foul by S. Napier (drawn by K. Porzingis),,46-31,,
4:10.0,,,46-31,,K. O'Quinn enters the game for J. Noah
4:10.0,N. Vonleh enters the game for M. Harkless,,46-31,,
4:03.0,,,46-31,,J. Jack misses 2-pt shot from 23 ft
4:00.0,,,46-31,,Offensive rebound by K. O'Quinn
3:52.0,,,46-33,2,C. Lee makes 2-pt shot from 18 ft
3:50.0,Portland full timeout,,46-33,,
3:27.0,J. Nurkic misses 2-pt shot from 15 ft,,46-33,,
3:25.0,Offensive rebound by Team,,46-33,,
3:25.0,Turnover by Team (shot clock),,46-33,,
3:12.0,,,46-33,,Turnover by K. Porzingis (lost ball; steal by S. Napier)
3:09.0,Offensive charge foul by J. Nurkic (drawn by T. Hardaway),,46-33,,
3:09.0,Turnover by J. Nurkic (offensive foul),,46-33,,
2:58.0,,,46-35,2,K. Porzingis makes 2-pt shot from 13 ft
2:38.0,S. Napier misses 2-pt shot from 15 ft,,46-35,,
2:37.0,,,46-35,,Defensive rebound by K. Porzingis
2:31.0,,,46-35,,T. Hardaway misses 2-pt shot from 4 ft
2:27.0,,,46-35,,Offensive rebound by K. Porzingis
2:27.0,,,46-35,,K. Porzingis misses 2-pt shot at rim
2:26.0,Defensive rebound by N. Vonleh,,46-35,,
2:15.0,J. Nurkic misses 2-pt shot from 6 ft,,46-35,,
2:13.0,,,46-35,,Defensive rebound by K. O'Quinn
2:06.0,,,46-35,,K. Porzingis misses 3-pt shot from 27 ft
