time,Indiana,pts.away,score,pts.home,Denver
2:55.0,,,89-94,,Shooting foul by M. Turner (drawn by W. Barton)
2:55.0,,,89-95,1,W. Barton makes free throw 1 of 2
2:55.0,D. Collison enters the game for C. Joseph,,89-95,,
2:55.0,,,89-96,1,W. Barton makes free throw 2 of 2
2:42.0,V. Oladipo misses 2-pt shot from 1 ft (block by P. Millsap),,89-96,,
2:39.0,,,89-96,,Defensive rebound by N. Jokic
2:36.0,,,89-98,2,W. Barton makes 2-pt shot from 2 ft
2:20.0,Shooting foul by N. Jokic (drawn by V. Oladipo),,89-98,,
2:20.0,V. Oladipo misses free throw 1 of 2,,89-98,,
2:20.0,Offensive rebound by Team,,89-98,,
2:20.0,C. Joseph enters the game for D. Collison,,89-98,,
2:20.0,V. Oladipo misses free throw 2 of 2,,89-98,,
2:17.0,,,89-98,,Defensive rebound by W. Chandler
2:02.0,,,89-98,,W. Barton misses 2-pt shot from 6 ft (block by V. Oladipo)
2:02.0,Defensive rebound by Team,,89-98,,
1:58.0,Jump ball: W. Barton vs. V. Oladipo (T. Young gains possession),,,,Jump ball: W. Barton vs. V. Oladipo (T. Young gains possession)
1:49.0,T. Young misses 2-pt shot from 5 ft,,89-98,,
1:46.0,,,89-98,,Defensive rebound by N. Jokic
1:29.0,,,89-100,2,P. Millsap makes 2-pt shot from 3 ft (assist by J. Murray)
1:29.0,Indiana full timeout,,89-100,,
1:29.0,,,89-100,,M. Plumlee enters the game for N. Jokic
1:29.0,D. Collison enters the game for C. Joseph,,89-100,,
1:18.0,M. Turner misses 2-pt shot from 2 ft,,89-100,,
1:14.0,Offensive rebound by T. Young,,89-100,,
1:14.0,T. Young misses 2-pt shot at rim,,89-100,,
1:13.0,,,89-100,,Defensive rebound by M. Plumlee
0:58.0,,,89-100,,P. Millsap misses 3-pt shot from 25 ft
0:55.0,Defensive rebound by V. Oladipo,,89-100,,
0:52.0,V. Oladipo makes 3-pt shot from 25 ft,3,92-100,,
0:51.0,,,92-100,,Denver full timeout
0:51.0,,,92-100,,N. Jokic enters the game for M. Plumlee
0:39.0,,,92-100,,Turnover by N. Jokic (bad pass; steal by V. Oladipo)
0:38.0,V. Oladipo makes 2-pt shot from 2 ft,2,94-100,,
0:25.0,Personal take foul by M. Turner (drawn by N. Jokic),,94-100,,
0:25.0,,,94-101,1,N. Jokic makes free throw 1 of 2
0:25.0,,,94-102,1,N. Jokic makes free throw 2 of 2
0:25.0,Indiana full timeout,,94-102,,
0:25.0,,,94-102,,T. Craig enters the game for N. Jokic
0:25.0,L. Stephenson enters the game for T. Young,,94-102,,
0:20.0,V. Oladipo makes 2-pt shot from 1 ft,2,96-102,,
0:18.0,Personal take foul by D. Collison (drawn by J. Murray),,96-102,,
0:18.0,,,96-103,1,J. Murray makes free throw 1 of 2
0:18.0,,,96-104,1,J. Murray makes free throw 2 of 2
0:12.0,D. Collison makes 2-pt shot from 1 ft,2,98-104,,
0:11.0,Personal take foul by V. Oladipo (drawn by W. Barton),,98-104,,
0:11.0,,,98-105,1,W. Barton makes free throw 1 of 2
0:11.0,,,98-106,1,W. Barton makes free throw 2 of 2
0:05.0,B. Bogdanovic makes 3-pt shot from 24 ft,3,101-106,,
0:02.0,Personal take foul by B. Bogdanovic (drawn by W. Chandler),,101-106,,
0:02.0,,,101-106,,W. Chandler misses free throw 1 of 2
0:02.0,,,101-106,,Offensive rebound by Team
0:02.0,,,101-107,1,W. Chandler makes free throw 2 of 2
0:00.0,D. Collison makes 3-pt shot from 22 ft (assist by L. Stephenson),3,104-107,,
