time,Miami,pts.away,score,pts.home,Indiana
0:49.0,D. Wade misses 2-pt shot from 18 ft,,95-95,,
0:47.0,,,95-95,,Defensive rebound by B. Bogdanovic
0:28.0,,,95-95,,V. Oladipo misses 3-pt shot from 26 ft
0:23.0,,,95-95,,Offensive rebound by M. Turner
0:23.0,,,95-95,,Shooting foul by D. Wade (drawn by M. Turner)
0:23.0,,,95-96,1,M. Turner makes free throw 1 of 2
0:23.0,B. Adebayo enters the game for K. Olynyk,,95-96,,
0:23.0,,,95-96,,M. Turner misses free throw 2 of 2
0:23.0,Defensive rebound by G. Dragic,,95-96,,
0:21.0,Miami full timeout,,95-96,,
0:21.0,K. Olynyk enters the game for B. Adebayo,,95-96,,
0:14.0,,,95-96,,Personal block foul by T. Young (drawn by J. Johnson)
0:08.0,Shooting foul by T. Young (drawn by J. Johnson),,95-96,,
0:08.0,J. Johnson makes free throw 1 of 2,1,96-96,,
0:08.0,,,96-96,,L. Stephenson enters the game for B. Bogdanovic
0:08.0,J. Johnson misses free throw 2 of 2,,96-96,,
0:08.0,,,96-96,,Defensive rebound by C. Joseph
0:07.0,,,96-96,,Indiana full timeout
0:07.0,,,96-96,,D. Collison enters the game for C. Joseph
0:07.0,,,96-96,,B. Bogdanovic enters the game for L. Stephenson
0:07.0,B. Adebayo enters the game for G. Dragic,,96-96,,
0:07.0,J. Winslow enters the game for K. Olynyk,,96-96,,
0:00.0,,,96-96,,V. Oladipo misses 3-pt shot from 28 ft
0:00.0,,,96-96,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: M. Turner vs. K. Olynyk (G. Dragic gains possession),,,,Jump ball: M. Turner vs. K. Olynyk (G. Dragic gains possession)
4:43.0,D. Wade makes 2-pt shot at rim (assist by K. Olynyk),2,98-96,,
4:27.0,,,98-96,,M. Turner misses 2-pt shot from 19 ft
4:25.0,,,98-96,,Offensive rebound by T. Booker
4:12.0,,,98-96,,B. Bogdanovic misses 3-pt shot from 25 ft
4:09.0,Defensive rebound by J. Johnson,,98-96,,
3:55.0,,,98-96,,T. Young enters the game for T. Booker
3:47.0,G. Dragic misses 3-pt shot from 29 ft,,98-96,,
3:43.0,,,98-96,,Defensive rebound by B. Bogdanovic
3:28.0,,,98-96,,V. Oladipo misses 2-pt shot from 1 ft
3:26.0,,,98-96,,Offensive rebound by T. Young
3:26.0,,,98-98,2,T. Young makes 2-pt shot from 1 ft
3:07.0,J. Richardson makes 2-pt shot from 1 ft (assist by D. Wade),2,100-98,,
2:49.0,,,100-101,3,D. Collison makes 3-pt shot from 22 ft (assist by M. Turner)
2:26.0,K. Olynyk misses 3-pt shot from 26 ft,,100-101,,
2:23.0,,,100-101,,Defensive rebound by B. Bogdanovic
2:02.0,,,100-103,2,T. Young makes 2-pt shot from 1 ft (assist by M. Turner)
1:45.0,G. Dragic misses 2-pt shot from 1 ft (block by M. Turner),,100-103,,
1:41.0,,,100-103,,Defensive rebound by T. Young
1:21.0,,,100-106,3,V. Oladipo makes 3-pt shot from 24 ft
1:20.0,Miami full timeout,,100-106,,
1:13.0,J. Richardson makes 2-pt shot from 7 ft,2,102-106,,
0:55.0,,,102-109,3,D. Collison makes 3-pt shot from 23 ft (assist by V. Oladipo)
0:43.0,D. Wade makes 2-pt shot from 1 ft (assist by K. Olynyk),2,104-109,,
0:23.0,,,104-111,2,D. Collison makes 2-pt shot from 19 ft
0:22.0,Miami full timeout,,104-111,,
0:22.0,B. Adebayo enters the game for J. Johnson,,104-111,,
0:17.0,K. Olynyk makes 3-pt shot from 27 ft (assist by D. Wade),3,107-111,,
0:11.0,Personal take foul by B. Adebayo (drawn by V. Oladipo),,107-111,,
0:11.0,J. Johnson enters the game for B. Adebayo,,107-111,,
0:11.0,,,107-111,,Indiana full timeout
0:11.0,,,107-111,,C. Joseph enters the game for T. Young
0:11.0,J. Winslow enters the game for G. Dragic,,107-111,,
0:11.0,B. Adebayo enters the game for K. Olynyk,,107-111,,
0:08.0,Personal take foul by B. Adebayo (drawn by B. Bogdanovic),,107-111,,
0:08.0,,,107-112,1,B. Bogdanovic makes free throw 1 of 2
0:08.0,,,107-112,,T. Young enters the game for M. Turner
0:08.0,K. Olynyk enters the game for J. Winslow,,107-112,,
0:08.0,G. Dragic enters the game for B. Adebayo,,107-112,,
0:08.0,,,107-113,1,B. Bogdanovic makes free throw 2 of 2
0:02.0,K. Olynyk misses 3-pt shot from 26 ft,,107-113,,
0:02.0,,,107-113,,Defensive rebound by C. Joseph
