time,Toronto,pts.away,score,pts.home,San Antonio
8:16.0,,,81-79,2,D. Murray makes 2-pt shot at rim
8:01.0,D. Wright misses 3-pt shot from 26 ft,,81-79,,
8:01.0,,,81-79,,Defensive rebound by K. Anderson
7:45.0,,,81-81,2,L. Aldridge makes 2-pt shot from 4 ft
7:35.0,Offensive charge foul by J. Poeltl (drawn by R. Gay),,81-81,,
7:35.0,Turnover by J. Poeltl (offensive foul),,81-81,,
7:35.0,,,81-81,,B. Paul enters the game for R. Gay
7:35.0,D. DeRozan enters the game for C. Miles,,81-81,,
7:35.0,S. Ibaka enters the game for F. VanVleet,,81-81,,
7:35.0,K. Lowry enters the game for J. Poeltl,,81-81,,
7:26.0,Personal foul by O. Anunoby (drawn by D. Murray),,81-81,,
7:21.0,,,81-83,2,L. Aldridge makes 2-pt shot from 13 ft (assist by D. Murray)
7:05.0,S. Ibaka makes 2-pt shot from 1 ft (assist by D. DeRozan),2,83-83,,
6:55.0,Personal foul by S. Ibaka (drawn by L. Aldridge),,83-83,,
6:55.0,L. Nogueira enters the game for O. Anunoby,,83-83,,
6:55.0,C. Miles enters the game for S. Ibaka,,83-83,,
6:49.0,,,83-83,,L. Aldridge misses 2-pt shot from 18 ft
6:49.0,,,83-83,,Offensive rebound by D. Green
6:33.0,,,83-83,,D. Murray misses 2-pt shot from 1 ft
6:33.0,Defensive rebound by L. Nogueira,,83-83,,
6:32.0,,,83-83,,Personal foul by L. Aldridge (drawn by L. Nogueira)
6:18.0,D. DeRozan makes 2-pt shot from 13 ft,2,85-83,,
5:55.0,,,85-85,2,L. Aldridge makes 2-pt shot from 1 ft (assist by B. Paul)
5:43.0,K. Lowry misses 3-pt shot from 26 ft,,85-85,,
5:43.0,,,85-85,,Defensive rebound by D. Green
5:20.0,,,85-88,3,D. Green makes 3-pt shot from 25 ft (assist by L. Aldridge)
5:03.0,Toronto full timeout,,85-88,,
4:56.0,Turnover by K. Lowry (lost ball; steal by L. Aldridge),,85-88,,
4:39.0,,,85-88,,Turnover by D. Murray (traveling)
4:26.0,K. Lowry misses 3-pt shot from 26 ft,,85-88,,
4:23.0,,,85-88,,Defensive rebound by D. Murray
4:18.0,,,85-90,2,K. Anderson makes 2-pt shot from 17 ft (assist by D. Murray)
4:03.0,,,85-90,,Personal block foul by B. Paul (drawn by D. Wright)
4:03.0,S. Ibaka enters the game for L. Nogueira,,85-90,,
3:52.0,D. DeRozan misses 2-pt shot from 1 ft (block by D. Green),,85-90,,
3:52.0,,,85-90,,Defensive rebound by Team
3:36.0,,,85-92,2,D. Green makes 2-pt shot from 3 ft
3:36.0,Toronto full timeout,,85-92,,
3:36.0,N. Powell enters the game for C. Miles,,85-92,,
3:25.0,Turnover by D. DeRozan (turnover),,85-92,,
3:25.0,Personal foul by N. Powell (drawn by K. Anderson),,85-92,,
3:08.0,,,85-94,2,K. Anderson makes 2-pt shot at rim
2:51.0,D. DeRozan makes 2-pt shot from 15 ft,2,87-94,,
2:30.0,,,87-94,,L. Aldridge misses 2-pt shot from 7 ft
2:24.0,Defensive rebound by K. Lowry,,87-94,,
2:19.0,N. Powell misses 3-pt shot from 23 ft,,87-94,,
2:12.0,,,87-94,,Defensive rebound by D. Green
2:02.0,Personal foul by D. Wright (drawn by D. Murray),,87-94,,
2:02.0,,,87-94,,M. Ginobili enters the game for B. Paul
1:48.0,,,87-96,2,L. Aldridge makes 2-pt shot from 2 ft
1:48.0,,,87-96,,Shooting foul by S. Ibaka (drawn by L. Aldridge)
1:48.0,,,87-97,1,L. Aldridge makes free throw 1 of 1
1:48.0,Toronto full timeout,,87-97,,
1:48.0,C. Miles enters the game for S. Ibaka,,87-97,,
1:48.0,J. Poeltl enters the game for D. Wright,,87-97,,
1:43.0,Shooting foul by K. Anderson (drawn by D. DeRozan),,87-97,,
1:43.0,D. Wright enters the game for C. Miles,,87-97,,
1:43.0,D. DeRozan makes free throw 1 of 2,1,88-97,,
1:43.0,D. DeRozan makes free throw 2 of 2,1,89-97,,
1:27.0,,,89-97,,D. Green misses 3-pt shot from 23 ft
1:24.0,Defensive rebound by J. Poeltl,,89-97,,
1:19.0,K. Lowry makes 2-pt shot from 2 ft,2,91-97,,
0:55.0,,,91-97,,M. Ginobili misses 2-pt shot from 2 ft
0:51.0,,,91-97,,Offensive rebound by K. Anderson
0:37.0,,,91-97,,L. Aldridge misses 2-pt shot from 16 ft
0:34.0,Defensive rebound by J. Poeltl,,91-97,,
0:29.0,N. Powell misses 2-pt shot from 1 ft,,91-97,,
0:26.0,,,91-97,,Defensive rebound by D. Green
0:20.0,Personal take foul by J. Poeltl (drawn by D. Murray),,91-97,,
0:20.0,,,91-98,1,D. Murray makes free throw 1 of 2
0:20.0,,,91-99,1,D. Murray makes free throw 2 of 2
0:20.0,Toronto full timeout,,91-99,,
0:20.0,C. Miles enters the game for N. Powell,,91-99,,
0:14.0,D. DeRozan makes 3-pt shot from 27 ft (assist by D. Wright),3,94-99,,
0:11.0,Personal foul by K. Lowry (drawn by K. Anderson),,94-99,,
0:11.0,,,94-100,1,K. Anderson makes free throw 1 of 2
0:11.0,,,94-100,,K. Anderson misses free throw 2 of 2
0:08.0,Defensive rebound by C. Miles,,94-100,,
0:04.0,C. Miles makes 3-pt shot from 25 ft,3,97-100,,
0:01.0,Personal foul by C. Miles (drawn by L. Aldridge),,97-100,,
0:01.0,,,97-100,,L. Aldridge misses free throw 1 of 2
0:01.0,,,97-100,,Offensive rebound by Team
0:01.0,,,97-101,1,L. Aldridge makes free throw 2 of 2
