time,Toronto,pts.away,score,pts.home,Orlando
1:38.0,,,90-83,,Shooting foul by J. Poeltl (drawn by B. Biyombo)
1:38.0,,,90-83,,B. Biyombo misses free throw 1 of 2
1:38.0,,,90-83,,Offensive rebound by Team
1:38.0,,,90-83,,M. Hezonja enters the game for E. Fournier
1:38.0,,,90-83,,B. Biyombo misses free throw 2 of 2
1:36.0,Defensive rebound by P. Siakam,,90-83,,
1:16.0,K. Lowry misses 3-pt shot from 24 ft,,90-83,,
1:12.0,,,90-83,,Defensive rebound by A. Gordon
0:58.0,,,90-83,,S. Mack misses 3-pt shot from 25 ft
0:54.0,Defensive rebound by K. Lowry,,90-83,,
0:50.0,Turnover by K. Lowry (lost ball; steal by A. Gordon),,90-83,,
0:44.0,,,90-83,,W. Iwundu misses 2-pt shot from 2 ft
0:42.0,,,90-83,,Offensive rebound by A. Gordon
0:40.0,,,90-86,3,M. Hezonja makes 3-pt shot from 25 ft (assist by A. Gordon)
0:38.0,Turnover by K. Lowry (bad pass; steal by S. Mack),,90-86,,
0:34.0,,,90-89,3,S. Mack makes 3-pt shot from 25 ft
0:12.0,F. VanVleet misses 2-pt shot from 2 ft (block by B. Biyombo),,90-89,,
0:09.0,,,90-89,,Defensive rebound by W. Iwundu
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,P. Siakam misses 3-pt shot from 24 ft,,90-89,,
11:38.0,,,90-89,,Defensive rebound by M. Hezonja
11:23.0,,,90-91,2,S. Mack makes 2-pt shot from 3 ft
10:56.0,F. VanVleet misses 2-pt shot from 2 ft,,90-91,,
10:54.0,Offensive rebound by J. Poeltl,,90-91,,
10:53.0,J. Poeltl misses 2-pt shot from 3 ft,,90-91,,
10:53.0,,,90-91,,Defensive rebound by B. Biyombo
10:42.0,,,90-91,,B. Biyombo misses 2-pt shot from 8 ft
10:39.0,Defensive rebound by P. Siakam,,90-91,,
10:22.0,C. Miles misses 3-pt shot from 22 ft,,90-91,,
10:20.0,,,90-91,,Defensive rebound by M. Hezonja
10:07.0,Personal foul by J. Poeltl (drawn by S. Mack),,90-91,,
10:00.0,,,90-91,,Offensive charge foul by M. Hezonja (drawn by J. Poeltl)
10:00.0,,,90-91,,Turnover by M. Hezonja (offensive foul)
9:47.0,D. Wright misses 3-pt shot from 25 ft,,90-91,,
9:42.0,,,90-91,,Defensive rebound by S. Mack
9:35.0,,,90-91,,W. Iwundu misses 2-pt shot from 3 ft (block by J. Poeltl)
9:33.0,Defensive rebound by C. Miles,,90-91,,
9:33.0,,,90-91,,Personal foul by S. Mack (drawn by C. Miles)
9:20.0,P. Siakam makes 2-pt shot from 2 ft (assist by D. Wright),2,92-91,,
9:10.0,,,92-91,,Turnover by S. Mack (bad pass; steal by J. Poeltl)
9:05.0,J. Poeltl makes 2-pt shot at rim (assist by P. Siakam),2,94-91,,
9:05.0,,,94-91,,Orlando full timeout
8:49.0,Personal foul by C. Miles (drawn by W. Iwundu),,94-91,,
8:35.0,,,94-91,,Shooting foul by C. Miles (drawn by M. Hezonja)
8:35.0,,,94-92,1,M. Hezonja makes free throw 1 of 2
8:35.0,,,94-93,1,M. Hezonja makes free throw 2 of 2
8:16.0,Turnover by F. VanVleet (bad pass; steal by M. Hezonja),,94-93,,
8:15.0,Personal foul by C. Miles (drawn by M. Hezonja),,94-93,,
8:15.0,,,94-93,,J. Simmons enters the game for W. Iwundu
7:57.0,,,94-93,,S. Mack misses 2-pt shot from 16 ft
7:53.0,Defensive rebound by F. VanVleet,,94-93,,
7:49.0,C. Miles misses 3-pt shot from 24 ft,,94-93,,
7:46.0,,,94-93,,Defensive rebound by S. Mack
7:41.0,,,94-93,,R. Vaughn misses 2-pt shot from 2 ft
7:38.0,Defensive rebound by J. Poeltl,,94-93,,
7:33.0,F. VanVleet makes 3-pt shot from 24 ft (assist by P. Siakam),3,97-93,,
7:12.0,,,97-95,2,M. Hezonja makes 2-pt shot from 16 ft
7:12.0,,,97-95,,Shooting foul by P. Siakam (drawn by M. Hezonja)
7:12.0,,,97-95,,D. Augustin enters the game for B. Biyombo
7:12.0,,,97-95,,N. Vucevic enters the game for R. Vaughn
7:12.0,,,97-96,1,M. Hezonja makes free throw 1 of 1
7:00.0,D. Wright misses 3-pt shot from 25 ft,,97-96,,
6:57.0,Offensive rebound by C. Miles,,97-96,,
6:56.0,C. Miles makes 2-pt shot at rim,2,99-96,,
6:42.0,,,99-96,,M. Hezonja misses 2-pt shot from 14 ft
6:40.0,Defensive rebound by P. Siakam,,99-96,,
6:32.0,F. VanVleet misses 2-pt shot from 1 ft,,99-96,,
6:30.0,,,99-96,,Defensive rebound by N. Vucevic
6:26.0,,,99-96,,Turnover by S. Mack (lost ball; steal by F. VanVleet)
6:21.0,D. Wright makes 2-pt shot from 1 ft (assist by J. Poeltl),2,101-96,,
6:02.0,,,101-96,,M. Hezonja misses 2-pt shot from 3 ft (block by P. Siakam)
5:58.0,Defensive rebound by C. Miles,,101-96,,
5:45.0,C. Miles misses 3-pt shot from 23 ft,,101-96,,
5:45.0,,,101-96,,Defensive rebound by J. Simmons
5:38.0,Shooting block foul by D. Wright (drawn by J. Simmons),,101-96,,
5:38.0,,,101-96,,J. Simmons misses free throw 1 of 2
5:38.0,,,101-96,,Offensive rebound by Team
5:38.0,,,101-96,,A. Gordon enters the game for M. Hezonja
5:38.0,K. Lowry enters the game for C. Miles,,101-96,,
5:38.0,,,101-97,1,J. Simmons makes free throw 2 of 2
5:22.0,Turnover by F. VanVleet (bad pass),,101-97,,
