time,Phoenix,pts.away,score,pts.home,Toronto
6:51.0,,,93-104,,Offensive charge foul by N. Powell (drawn by J. Jackson)
6:51.0,,,93-104,,Turnover by N. Powell (offensive foul)
6:51.0,,,93-104,,D. DeRozan enters the game for J. Poeltl
6:43.0,Shooting foul by N. Powell (drawn by D. Booker),,93-104,,
6:43.0,D. Booker makes free throw 1 of 2,1,94-104,,
6:43.0,,,94-104,,F. VanVleet enters the game for N. Powell
6:43.0,D. Booker makes free throw 2 of 2,1,95-104,,
6:26.0,,,95-104,,F. VanVleet misses 3-pt shot from 22 ft
6:24.0,,,95-104,,Offensive rebound by Team
6:22.0,,,95-106,2,F. VanVleet makes 2-pt shot from 2 ft (assist by K. Lowry)
6:03.0,M. James makes 2-pt shot from 20 ft,2,97-106,,
5:39.0,,,97-108,2,F. VanVleet makes 2-pt shot from 2 ft (assist by K. Lowry)
5:25.0,J. Jackson misses 3-pt shot from 22 ft,,97-108,,
5:22.0,,,97-108,,Defensive rebound by D. DeRozan
5:18.0,,,97-111,3,K. Lowry makes 3-pt shot from 22 ft (assist by D. DeRozan)
5:18.0,Phoenix full timeout,,97-111,,
5:10.0,M. James misses 3-pt shot from 25 ft,,97-111,,
5:06.0,,,97-111,,Defensive rebound by K. Lowry
5:00.0,Personal foul by G. Monroe (drawn by S. Ibaka),,97-111,,
4:49.0,,,97-111,,Shooting foul by D. Booker (drawn by F. VanVleet)
4:49.0,,,97-112,1,F. VanVleet makes free throw 1 of 2
4:49.0,,,97-113,1,F. VanVleet makes free throw 2 of 2
4:32.0,D. Booker makes 2-pt shot from 12 ft,2,99-113,,
4:15.0,,,99-113,,F. VanVleet misses 3-pt shot from 24 ft
4:12.0,,,99-113,,Offensive rebound by K. Lowry
4:00.0,,,99-113,,D. DeRozan misses 2-pt shot from 2 ft (block by M. James)
4:00.0,Defensive rebound by Team,,99-113,,
4:00.0,T. Daniels enters the game for G. Monroe,,99-113,,
3:48.0,Shooting foul by S. Ibaka (drawn by J. Jackson),,99-113,,
3:48.0,J. Jackson makes free throw 1 of 2,1,100-113,,
3:48.0,J. Jackson misses free throw 2 of 2,,100-113,,
3:46.0,,,100-113,,Defensive rebound by D. DeRozan
3:34.0,,,100-113,,D. DeRozan misses 2-pt shot from 5 ft
3:32.0,Defensive rebound by T. Daniels,,100-113,,
3:23.0,Phoenix full timeout,,100-113,,
3:16.0,J. Dudley makes 3-pt shot from 25 ft (assist by M. James),3,103-113,,
3:04.0,,,103-115,2,S. Ibaka makes 2-pt shot from 1 ft (assist by F. VanVleet)
3:04.0,,,103-115,,Shooting foul by J. Dudley (drawn by S. Ibaka)
3:04.0,,,103-116,1,S. Ibaka makes free throw 1 of 1
2:48.0,J. Dudley makes 2-pt shot from 1 ft (assist by D. Booker),2,105-116,,
2:48.0,,,105-116,,Violation by S. Ibaka (def goaltending)
2:40.0,,,105-116,,Shooting foul by J. Dudley (drawn by F. VanVleet)
2:40.0,Phoenix full timeout,,105-116,,
2:40.0,T. Ulis enters the game for D. Booker,,105-116,,
2:40.0,,,105-117,1,F. VanVleet makes free throw 1 of 2
2:40.0,,,105-118,1,F. VanVleet makes free throw 2 of 2
2:31.0,T. Daniels misses 3-pt shot from 27 ft,,105-118,,
2:29.0,,,105-118,,Defensive rebound by D. DeRozan
2:24.0,,,105-120,2,D. DeRozan makes 2-pt shot from 5 ft
2:11.0,M. James misses 2-pt shot from 21 ft,,105-120,,
2:07.0,,,105-120,,Defensive rebound by O. Anunoby
2:02.0,,,105-120,,Turnover by K. Lowry (bad pass; steal by J. Dudley)
1:59.0,M. James makes 2-pt shot from 1 ft,2,107-120,,
1:45.0,,,107-120,,D. DeRozan misses 2-pt shot from 11 ft
1:44.0,,,107-120,,Offensive rebound by O. Anunoby
1:44.0,,,107-122,2,O. Anunoby makes 2-pt shot at rim
1:39.0,J. Jackson makes 2-pt shot from 2 ft,2,109-122,,
1:22.0,,,109-124,2,F. VanVleet makes 2-pt shot from 2 ft
1:13.0,J. Dudley misses 3-pt shot from 24 ft,,109-124,,
1:09.0,,,109-124,,Defensive rebound by S. Ibaka
0:55.0,,,109-124,,F. VanVleet misses 2-pt shot from 2 ft
0:51.0,Defensive rebound by J. Dudley,,109-124,,
0:49.0,Turnover by T. Daniels (bad pass; steal by S. Ibaka),,109-124,,
0:39.0,,,109-126,2,S. Ibaka makes 2-pt shot from 14 ft (assist by F. VanVleet)
0:31.0,J. Jackson misses 3-pt shot from 25 ft,,109-126,,
0:31.0,Offensive rebound by Team,,109-126,,
0:29.0,,,109-126,,Loose ball foul by K. Lowry (drawn by J. Dudley)
0:29.0,J. Dudley makes free throw 1 of 2,1,110-126,,
0:29.0,,,110-126,,A. McKinnie enters the game for K. Lowry
0:29.0,,,110-126,,P. Siakam enters the game for S. Ibaka
0:29.0,,,110-126,,L. Brown enters the game for D. DeRozan
0:29.0,J. Dudley makes free throw 2 of 2,1,111-126,,
0:05.0,,,111-126,,Turnover by Team (shot clock)
0:00.0,M. James makes 2-pt shot from 1 ft,2,113-126,,
