time,LA Lakers,pts.away,score,pts.home,New York
2:14.0,Personal foul by K. Kuzma (drawn by K. Porzingis),,92-95,,
2:06.0,,,92-97,2,K. Porzingis makes 2-pt shot from 10 ft (assist by C. Lee)
1:56.0,,,92-97,,Personal foul by C. Lee (drawn by L. Ball)
1:48.0,,,92-97,,Personal foul by K. Porzingis (drawn by K. Caldwell-Pope)
1:48.0,K. Caldwell-Pope makes free throw 1 of 2,1,93-97,,
1:48.0,K. Caldwell-Pope makes free throw 2 of 2,1,94-97,,
1:29.0,,,94-99,2,K. Porzingis makes 2-pt shot from 16 ft (assist by F. Ntilikina)
1:21.0,Turnover by L. Ball (bad pass),,94-99,,
1:06.0,,,94-99,,F. Ntilikina misses 3-pt shot from 27 ft
1:02.0,Defensive rebound by L. Nance,,94-99,,
0:51.0,K. Caldwell-Pope misses 2-pt shot from 5 ft,,94-99,,
0:49.0,Offensive rebound by K. Caldwell-Pope,,94-99,,
0:49.0,K. Caldwell-Pope makes 2-pt shot at rim,2,96-99,,
0:30.0,,,96-99,,K. Porzingis misses 2-pt shot from 1 ft
0:27.0,Defensive rebound by L. Nance,,96-99,,
0:24.0,K. Kuzma makes 3-pt shot from 25 ft (assist by B. Ingram),3,99-99,,
0:23.0,,,99-99,,New York full timeout
0:23.0,J. Randle enters the game for L. Nance,,99-99,,
0:04.0,Personal foul by J. Randle (drawn by K. Porzingis),,99-99,,
0:04.0,,,99-99,,New York full timeout
0:00.0,,,99-99,,K. Porzingis misses 3-pt shot from 26 ft
0:00.0,,,99-99,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: K. Porzingis vs. J. Randle (M. Beasley gains possession),,,,Jump ball: K. Porzingis vs. J. Randle (M. Beasley gains possession)
4:47.0,,,99-101,2,M. Beasley makes 2-pt shot from 16 ft
4:33.0,Shooting foul by F. Ntilikina (drawn by L. Ball),,99-101,,
4:33.0,L. Ball misses free throw 1 of 3,,99-101,,
4:33.0,Offensive rebound by Team,,99-101,,
4:33.0,L. Ball makes free throw 2 of 3,1,100-101,,
4:33.0,L. Ball makes free throw 3 of 3,1,101-101,,
4:18.0,,,101-101,,C. Lee misses 2-pt shot from 22 ft
4:14.0,Defensive rebound by L. Ball,,101-101,,
4:03.0,K. Kuzma misses 2-pt shot from 6 ft,,101-101,,
4:02.0,,,101-101,,Defensive rebound by Team
4:02.0,Loose ball foul by J. Randle (drawn by K. Porzingis),,101-101,,
3:48.0,,,101-101,,D. McDermott misses 2-pt shot from 20 ft
3:45.0,Defensive rebound by B. Ingram,,101-101,,
3:37.0,Turnover by B. Ingram (bad pass; steal by M. Beasley),,101-101,,
3:26.0,,,101-101,,K. Porzingis misses 3-pt shot from 26 ft
3:22.0,,,101-101,,Offensive rebound by C. Lee
3:21.0,,,101-103,2,D. McDermott makes 2-pt shot from 1 ft (assist by C. Lee)
2:54.0,K. Kuzma makes 2-pt shot from 9 ft (assist by B. Ingram),2,103-103,,
2:34.0,,,103-103,,D. McDermott misses 2-pt shot from 1 ft
2:33.0,,,103-103,,Offensive rebound by M. Beasley
2:33.0,,,103-105,2,M. Beasley makes 2-pt shot at rim
2:33.0,LA Lakers full timeout,,103-105,,
2:18.0,K. Kuzma misses 3-pt shot from 25 ft,,103-105,,
2:16.0,,,103-105,,Defensive rebound by K. Porzingis
2:00.0,,,103-107,2,D. McDermott makes 2-pt shot from 1 ft (assist by M. Beasley)
1:49.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,103-107,,
1:47.0,,,103-107,,Defensive rebound by K. Porzingis
1:24.0,,,103-109,2,M. Beasley makes 2-pt shot from 1 ft
1:12.0,B. Ingram makes 2-pt shot at rim,2,105-109,,
0:52.0,,,105-111,2,K. Porzingis makes 2-pt shot from 2 ft
0:44.0,Shooting foul by K. Porzingis (drawn by K. Caldwell-Pope),,105-111,,
0:44.0,K. Caldwell-Pope makes free throw 1 of 2,1,106-111,,
0:44.0,K. Caldwell-Pope makes free throw 2 of 2,1,107-111,,
0:44.0,,,107-111,,New York full timeout
0:44.0,,,107-111,,J. Jack enters the game for M. Beasley
0:42.0,,,107-111,,Turnover by D. McDermott (bad pass)
0:33.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,107-111,,
0:32.0,,,107-111,,Defensive rebound by F. Ntilikina
0:09.0,,,107-111,,F. Ntilikina misses 2-pt shot from 16 ft
0:08.0,Defensive rebound by L. Ball,,107-111,,
0:02.0,K. Kuzma misses 2-pt shot from 1 ft,,107-111,,
0:01.0,Offensive rebound by K. Caldwell-Pope,,107-111,,
0:01.0,K. Caldwell-Pope makes 2-pt shot at rim,2,109-111,,
0:01.0,,,109-111,,New York full timeout
0:00.0,Personal foul by K. Kuzma (drawn by K. Porzingis),,109-111,,
0:00.0,Personal foul by K. Kuzma (drawn by K. Porzingis),,109-111,,
0:00.0,A. Bogut enters the game for K. Caldwell-Pope,,109-111,,
0:00.0,,,109-112,1,K. Porzingis makes free throw 1 of 2
0:00.0,,,109-113,1,K. Porzingis makes free throw 2 of 2
0:00.0,LA Lakers full timeout,,109-113,,
0:00.0,K. Caldwell-Pope enters the game for A. Bogut,,109-113,,
0:00.0,K. Kuzma misses 3-pt shot from 26 ft,,109-113,,
0:00.0,Offensive rebound by Team,,109-113,,
