time,Orlando,pts.away,score,pts.home,Oklahoma City
1:46.0,A. Gordon makes 2-pt shot at rim (assist by J. Simmons),2,101-105,,
1:29.0,,,101-105,,R. Westbrook misses 2-pt shot from 21 ft
1:26.0,Defensive rebound by D. Augustin,,101-105,,
1:11.0,Offensive foul by N. Vucevic (drawn by C. Anthony),,101-105,,
1:11.0,Turnover by N. Vucevic (offensive foul),,101-105,,
1:00.0,,,101-108,3,P. George makes 3-pt shot from 23 ft (assist by R. Westbrook)
0:59.0,Orlando full timeout,,101-108,,
0:59.0,,,101-108,,J. Huestis enters the game for A. Abrines
0:46.0,E. Fournier misses 3-pt shot from 28 ft,,101-108,,
0:43.0,,,101-108,,Defensive rebound by P. George
0:43.0,Personal foul by D. Augustin (drawn by P. George),,101-108,,
0:27.0,,,101-108,,R. Westbrook misses 2-pt shot from 12 ft
0:24.0,Defensive rebound by E. Fournier,,101-108,,
0:22.0,Shooting foul by C. Anthony (drawn by J. Simmons),,101-108,,
0:22.0,J. Simmons makes free throw 1 of 2,1,102-108,,
0:22.0,,,102-108,,A. Abrines enters the game for J. Huestis
0:22.0,J. Simmons makes free throw 2 of 2,1,103-108,,
0:15.0,Personal foul by N. Vucevic (drawn by A. Abrines),,103-108,,
0:15.0,,,103-109,1,A. Abrines makes free throw 1 of 2
0:15.0,,,103-110,1,A. Abrines makes free throw 2 of 2
0:15.0,Orlando full timeout,,103-110,,
0:15.0,,,103-110,,J. Huestis enters the game for A. Abrines
0:08.0,J. Simmons makes 2-pt shot at rim,2,105-110,,
0:06.0,Personal foul by E. Fournier (drawn by P. George),,105-110,,
0:06.0,,,105-111,1,P. George makes free throw 1 of 2
0:06.0,,,105-112,1,P. George makes free throw 2 of 2
0:00.0,A. Gordon misses 3-pt shot from 35 ft,,105-112,,
0:00.0,,,105-112,,Defensive rebound by C. Anthony
