time,New Orleans,pts.away,score,pts.home,Golden State
0:02.0,J. Holiday makes 2-pt shot from 13 ft,2,56-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,56-61,2,K. Thompson makes 2-pt shot from 18 ft (assist by A. Iguodala)
11:30.0,,,56-61,,Personal foul by K. Thompson (drawn by A. Davis)
11:20.0,A. Davis misses 2-pt shot from 11 ft,,56-61,,
11:19.0,,,56-61,,Defensive rebound by S. Curry
11:10.0,,,56-63,2,K. Durant makes 2-pt shot from 16 ft (assist by D. Green)
10:58.0,J. Holiday misses 2-pt shot from 8 ft,,56-63,,
10:57.0,,,56-63,,Defensive rebound by K. Durant
10:51.0,,,56-65,2,S. Curry makes 2-pt shot from 1 ft
10:51.0,New Orleans full timeout,,56-65,,
10:38.0,Turnover by E. Moore (bad pass; steal by K. Durant),,56-65,,
10:32.0,,,56-67,2,K. Durant makes 2-pt shot from 1 ft (assist by S. Curry)
10:19.0,J. Holiday misses 2-pt shot from 9 ft,,56-67,,
10:16.0,,,56-67,,Defensive rebound by K. Durant
10:10.0,,,56-69,2,K. Durant makes 2-pt shot from 22 ft
10:06.0,New Orleans full timeout,,56-69,,
9:46.0,J. Holiday makes 2-pt shot from 2 ft (assist by R. Rondo),2,58-69,,
9:26.0,,,58-69,,K. Durant misses 3-pt shot from 26 ft
9:24.0,,,58-69,,Offensive rebound by A. Iguodala
9:12.0,,,58-71,2,D. Green makes 2-pt shot at rim (assist by A. Iguodala)
8:58.0,E. Moore misses 2-pt shot from 6 ft,,58-71,,
8:55.0,,,58-71,,Defensive rebound by K. Thompson
8:52.0,,,58-71,,K. Thompson misses 2-pt shot from 16 ft
8:51.0,Defensive rebound by N. Mirotic,,58-71,,
8:41.0,Turnover by R. Rondo (bad pass; steal by D. Green),,58-71,,
8:38.0,,,58-74,3,S. Curry makes 3-pt shot from 25 ft (assist by K. Thompson)
8:36.0,New Orleans full timeout,,58-74,,
8:36.0,I. Clark enters the game for R. Rondo,,58-74,,
8:36.0,D. Miller enters the game for E. Moore,,58-74,,
8:24.0,,,58-74,,Personal foul by D. Green (drawn by A. Davis)
8:10.0,A. Davis makes 2-pt shot from 12 ft (assist by J. Holiday),2,60-74,,
7:44.0,,,60-76,2,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green)
7:35.0,I. Clark misses 2-pt shot from 12 ft,,60-76,,
7:32.0,,,60-76,,Defensive rebound by D. Green
7:30.0,,,60-76,,Turnover by D. Green (bad pass; steal by A. Davis)
7:16.0,Turnover by N. Mirotic (lost ball; steal by D. Green),,60-76,,
7:15.0,Personal foul by D. Miller (drawn by S. Curry),,60-76,,
7:07.0,,,60-78,2,D. Green makes 2-pt shot from 4 ft (assist by S. Curry)
6:55.0,I. Clark misses 2-pt shot from 20 ft,,60-78,,
6:53.0,,,60-78,,Defensive rebound by D. Green
6:50.0,,,60-81,3,S. Curry makes 3-pt shot from 29 ft (assist by K. Durant)
6:34.0,J. Holiday misses 3-pt shot from 27 ft,,60-81,,
6:32.0,,,60-81,,Defensive rebound by K. Thompson
6:25.0,,,60-81,,Shooting foul by J. Holiday (drawn by S. Curry)
6:25.0,,,60-82,1,S. Curry makes free throw 1 of 3
6:25.0,,,60-83,1,S. Curry makes free throw 2 of 3
6:25.0,,,60-83,,K. Looney enters the game for A. Iguodala
6:25.0,,,60-84,1,S. Curry makes free throw 3 of 3
6:25.0,New Orleans full timeout,,60-84,,
6:25.0,E. Moore enters the game for N. Mirotic,,60-84,,
6:06.0,A. Davis makes 2-pt shot from 20 ft (assist by I. Clark),2,62-84,,
5:46.0,,,62-84,,S. Curry misses 3-pt shot from 26 ft
5:41.0,,,62-84,,Offensive rebound by D. Green
5:32.0,,,62-86,2,K. Durant makes 2-pt shot from 16 ft
5:16.0,E. Moore misses 2-pt shot from 13 ft,,62-86,,
5:12.0,,,62-86,,Defensive rebound by S. Curry
5:08.0,,,62-86,,D. Green misses 2-pt shot from 5 ft (block by A. Davis)
5:06.0,Defensive rebound by A. Davis,,62-86,,
4:58.0,A. Davis misses 2-pt shot from 13 ft,,62-86,,
4:56.0,,,62-86,,Defensive rebound by S. Curry
4:50.0,,,62-86,,K. Thompson misses 3-pt shot from 25 ft
4:46.0,Defensive rebound by J. Holiday,,62-86,,
4:43.0,I. Clark misses 3-pt shot from 27 ft,,62-86,,
4:40.0,,,62-86,,Defensive rebound by K. Durant
4:38.0,,,62-86,,Shooting foul by E. Moore (drawn by S. Curry)
4:38.0,,,62-87,1,S. Curry makes free throw 1 of 2
4:38.0,,,62-88,1,S. Curry makes free throw 2 of 2
4:26.0,J. Holiday makes 2-pt shot from 1 ft,2,64-88,,
4:26.0,Shooting foul by K. Looney (drawn by J. Holiday),,64-88,,
4:26.0,,,64-88,,J. Bell enters the game for D. Green
4:26.0,J. Holiday makes free throw 1 of 1,1,65-88,,
4:16.0,,,65-88,,S. Curry misses 3-pt shot from 25 ft
4:13.0,Defensive rebound by J. Holiday,,65-88,,
4:04.0,Turnover by E. Moore (bad pass),,65-88,,
4:04.0,,,65-88,,Q. Cook enters the game for S. Curry
3:52.0,,,65-88,,J. Bell misses 2-pt shot from 8 ft
3:47.0,Defensive rebound by A. Davis,,65-88,,
3:36.0,J. Holiday misses 3-pt shot from 24 ft,,65-88,,
3:35.0,Offensive rebound by I. Clark,,65-88,,
3:32.0,I. Clark misses 2-pt shot from 10 ft,,65-88,,
3:31.0,Offensive rebound by A. Davis,,65-88,,
3:31.0,A. Davis misses 2-pt shot at rim,,65-88,,
3:30.0,,,65-88,,Defensive rebound by J. Bell
3:21.0,,,65-88,,Turnover by K. Durant (lost ball; steal by I. Clark)
3:21.0,I. Clark makes 2-pt shot from 2 ft,2,67-88,,
3:21.0,,,67-88,,Golden State full timeout
3:10.0,,,67-88,,K. Thompson misses 2-pt shot from 20 ft
3:06.0,Defensive rebound by I. Clark,,67-88,,
2:49.0,D. Miller makes 2-pt shot from 11 ft (assist by J. Holiday),2,69-88,,
2:31.0,,,69-88,,Q. Cook misses 3-pt shot from 23 ft
2:26.0,Defensive rebound by I. Clark,,69-88,,
2:20.0,E. Moore misses 3-pt shot from 25 ft,,69-88,,
2:19.0,Offensive rebound by Team,,69-88,,
2:19.0,,,69-88,,Loose ball foul by K. Looney (drawn by A. Davis)
2:19.0,,,69-88,,D. Green enters the game for K. Looney
2:19.0,,,69-88,,S. Livingston enters the game for K. Thompson
2:12.0,,,69-88,,Personal foul by Q. Cook (drawn by A. Davis)
2:12.0,A. Davis makes free throw 1 of 2,1,70-88,,
2:12.0,A. Davis makes free throw 2 of 2,1,71-88,,
2:00.0,,,71-88,,Turnover by S. Livingston (out of bounds lost ball)
1:43.0,A. Davis misses 2-pt shot from 12 ft,,71-88,,
1:37.0,,,71-88,,Defensive rebound by S. Livingston
1:28.0,,,71-90,2,J. Bell makes 2-pt shot at rim (assist by D. Green)
1:13.0,E. Moore makes 2-pt shot from 14 ft,2,73-90,,
0:58.0,,,73-90,,S. Livingston misses 2-pt shot from 10 ft
0:57.0,,,73-90,,Offensive rebound by D. Green
0:57.0,,,73-92,2,D. Green makes 2-pt shot from 1 ft
0:37.0,,,73-92,,Personal foul by J. Bell (drawn by A. Davis)
0:37.0,A. Davis makes free throw 1 of 2,1,74-92,,
0:37.0,A. Davis makes free throw 2 of 2,1,75-92,,
0:22.0,,,75-95,3,D. Green makes 3-pt shot from 25 ft (assist by K. Durant)
0:15.0,A. Davis misses 3-pt shot from 28 ft,,75-95,,
0:14.0,,,75-95,,Defensive rebound by J. Bell
0:02.0,,,75-95,,D. Green misses 3-pt shot from 32 ft
0:00.0,Defensive rebound by E. Moore,,75-95,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,A. Davis misses 2-pt shot from 12 ft,,75-95,,
11:36.0,,,75-95,,Defensive rebound by S. Livingston
11:23.0,,,75-97,2,S. Livingston makes 2-pt shot from 11 ft
11:00.0,A. Davis makes 2-pt shot from 14 ft,2,77-97,,
10:38.0,,,77-97,,D. Green misses 2-pt shot from 1 ft (block by A. Davis)
10:36.0,,,77-97,,Offensive rebound by D. Green
10:32.0,,,77-99,2,S. Livingston makes 2-pt shot from 14 ft (assist by D. Green)
10:18.0,N. Mirotic makes 3-pt shot from 26 ft (assist by J. Holiday),3,80-99,,
10:06.0,,,80-99,,S. Curry misses 2-pt shot from 19 ft
10:03.0,Defensive rebound by A. Davis,,80-99,,
9:54.0,E. Moore makes 2-pt shot from 4 ft (assist by N. Mirotic),2,82-99,,
9:32.0,,,82-101,2,D. Green makes 2-pt shot from 18 ft
9:16.0,J. Holiday misses 2-pt shot from 18 ft,,82-101,,
9:15.0,,,82-101,,Defensive rebound by S. Curry
8:56.0,,,82-103,2,S. Livingston makes 2-pt shot from 1 ft (assist by S. Curry)
8:44.0,,,82-103,,Personal foul by S. Livingston (drawn by A. Davis)
8:32.0,N. Mirotic misses 2-pt shot from 20 ft,,82-103,,
8:28.0,,,82-103,,Defensive rebound by K. Looney
8:18.0,,,82-105,2,S. Curry makes 2-pt shot from 19 ft (assist by D. Green)
8:04.0,,,82-105,,Personal foul by D. Green (drawn by J. Holiday)
7:59.0,A. Davis misses 2-pt shot from 16 ft,,82-105,,
7:56.0,,,82-105,,Defensive rebound by K. Looney
7:50.0,,,82-105,,Turnover by S. Curry (bad pass; steal by J. Holiday)
7:46.0,A. Davis makes 2-pt shot from 1 ft (assist by E. Moore),2,84-105,,
7:46.0,,,84-105,,Golden State full timeout
7:30.0,,,84-105,,D. Green misses 3-pt shot from 25 ft
7:25.0,Defensive rebound by J. Holiday,,84-105,,
7:23.0,A. Davis misses 2-pt shot from 2 ft,,84-105,,
7:22.0,,,84-105,,Defensive rebound by S. Curry
7:15.0,,,84-105,,K. Looney misses 2-pt shot from 4 ft
7:14.0,,,84-105,,Offensive rebound by D. Green
7:14.0,,,84-105,,D. Green misses 2-pt shot at rim
7:13.0,Defensive rebound by A. Davis,,84-105,,
6:53.0,J. Holiday makes 2-pt shot from 3 ft (assist by E. Moore),2,86-105,,
6:38.0,,,86-105,,K. Thompson misses 2-pt shot from 10 ft
6:37.0,,,86-105,,Offensive rebound by K. Looney
6:31.0,,,86-105,,K. Thompson misses 3-pt shot from 23 ft
6:27.0,Defensive rebound by A. Davis,,86-105,,
6:22.0,E. Moore makes 2-pt shot from 5 ft (assist by A. Davis),2,88-105,,
6:05.0,,,88-105,,S. Livingston misses 2-pt shot from 9 ft
6:01.0,Defensive rebound by N. Mirotic,,88-105,,
5:59.0,E. Moore misses 2-pt shot from 17 ft,,88-105,,
5:55.0,,,88-105,,Defensive rebound by S. Curry
5:42.0,,,88-105,,K. Thompson misses 3-pt shot from 27 ft
5:38.0,Defensive rebound by J. Holiday,,88-105,,
5:24.0,J. Holiday makes 2-pt shot from 1 ft,2,90-105,,
5:24.0,,,90-105,,Golden State full timeout
5:24.0,,,90-105,,Q. Cook enters the game for S. Livingston
5:24.0,,,90-105,,K. Durant enters the game for K. Thompson
5:12.0,,,90-105,,K. Durant misses 2-pt shot from 18 ft
5:08.0,Defensive rebound by A. Davis,,90-105,,
4:52.0,J. Holiday misses 2-pt shot from 23 ft,,90-105,,
4:52.0,Offensive rebound by A. Davis,,90-105,,
