time,Charlotte,pts.away,score,pts.home,Golden State
5:13.0,,,95-83,,Defensive rebound by K. Thompson
5:06.0,,,95-83,,Turnover by D. Green (lost ball; steal by K. Walker)
5:05.0,,,95-83,,Personal foul by D. West (drawn by D. Howard)
5:05.0,,,95-83,,S. Livingston enters the game for D. West
5:05.0,,,95-83,,K. Durant enters the game for A. Iguodala
5:05.0,,,95-83,,J. Bell enters the game for K. Thompson
5:05.0,N. Batum enters the game for J. Lamb,,95-83,,
5:05.0,M. Kidd-Gilchrist enters the game for T. Graham,,95-83,,
4:53.0,K. Walker makes 3-pt shot from 24 ft (assist by D. Howard),3,98-83,,
4:33.0,,,98-86,3,K. Durant makes 3-pt shot from 25 ft (assist by D. Green)
4:12.0,Shooting foul by K. Durant (drawn by F. Kaminsky),,98-86,,
4:12.0,F. Kaminsky makes free throw 1 of 2,1,99-86,,
4:12.0,,,99-86,,K. Thompson enters the game for P. McCaw
4:12.0,F. Kaminsky makes free throw 2 of 2,1,100-86,,
4:06.0,,,100-89,3,K. Durant makes 3-pt shot from 26 ft (assist by D. Green)
4:06.0,,,100-89,,Shooting foul by N. Batum (drawn by K. Durant)
4:06.0,,,100-90,1,K. Durant makes free throw 1 of 1
4:06.0,M. Williams enters the game for F. Kaminsky,,100-90,,
3:56.0,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum),3,103-90,,
3:40.0,,,103-92,2,D. Green makes 2-pt shot from 1 ft
3:28.0,K. Walker misses 2-pt shot from 6 ft (block by D. Green),,103-92,,
3:24.0,Offensive rebound by D. Howard,,103-92,,
3:23.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by D. Howard),2,105-92,,
3:13.0,,,105-92,,Shooting foul by K. Walker (drawn by S. Livingston)
3:13.0,Charlotte full timeout,,105-92,,
3:13.0,,,105-92,,A. Iguodala enters the game for J. Bell
3:13.0,,,105-93,1,S. Livingston makes free throw 1 of 2
3:13.0,,,105-94,1,S. Livingston makes free throw 2 of 2
2:53.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,105-94,,
2:48.0,,,105-94,,Defensive rebound by K. Thompson
2:37.0,,,105-94,,Turnover by D. Green (bad pass; steal by N. Batum)
2:17.0,K. Walker makes 2-pt shot from 19 ft,2,107-94,,
2:00.0,,,107-96,2,D. Green makes 2-pt shot from 9 ft (assist by K. Durant)
1:39.0,M. Kidd-Gilchrist misses 2-pt shot from 16 ft,,107-96,,
1:35.0,Offensive rebound by D. Howard,,107-96,,
1:22.0,Shooting foul by A. Iguodala (drawn by D. Howard),,107-96,,
1:22.0,D. Howard makes free throw 1 of 2,1,108-96,,
1:22.0,D. Howard makes free throw 2 of 2,1,109-96,,
1:22.0,,,109-96,,Golden State full timeout
1:22.0,,,109-96,,K. Looney enters the game for K. Thompson
1:22.0,,,109-96,,P. McCaw enters the game for D. Green
1:22.0,,,109-96,,N. Young enters the game for K. Durant
1:22.0,,,109-96,,J. Bell enters the game for A. Iguodala
1:08.0,,,109-96,,N. Young misses 3-pt shot from 27 ft
1:04.0,Defensive rebound by M. Williams,,109-96,,
0:48.0,Shooting foul by J. Bell (drawn by D. Howard),,109-96,,
0:48.0,D. Howard makes free throw 1 of 2,1,110-96,,
0:48.0,D. Howard makes free throw 2 of 2,1,111-96,,
0:37.0,,,111-98,2,K. Looney makes 2-pt shot from 1 ft
0:18.0,Turnover by D. Howard (traveling),,111-98,,
0:15.0,,,111-100,2,S. Livingston makes 2-pt shot from 10 ft
