time,Charlotte,pts.away,score,pts.home,Washington
1:56.0,W. Hernangomez enters the game for N. Batum,,122-100,,
1:56.0,M. Monk enters the game for M. Kidd-Gilchrist,,122-100,,
1:56.0,T. Graham enters the game for K. Walker,,122-100,,
1:56.0,D. Bacon enters the game for F. Kaminsky,,122-100,,
1:47.0,D. Bacon misses 2-pt shot from 1 ft,,122-100,,
1:46.0,Offensive rebound by D. Bacon,,122-100,,
1:45.0,D. Bacon misses 2-pt shot from 1 ft,,122-100,,
1:45.0,,,122-100,,Defensive rebound by T. Frazier
1:37.0,,,122-100,,C. McCullough misses 2-pt shot from 14 ft
1:34.0,Defensive rebound by C. Zeller,,122-100,,
1:30.0,D. Bacon misses 3-pt shot from 27 ft,,122-100,,
1:28.0,,,122-100,,Defensive rebound by C. McCullough
1:21.0,Personal foul by T. Graham (drawn by C. McCullough),,122-100,,
1:17.0,,,122-102,2,T. Frazier makes 2-pt shot from 2 ft (assist by C. McCullough)
1:03.0,Turnover by W. Hernangomez (traveling),,122-102,,
0:40.0,,,122-102,,K. Oubre misses 3-pt shot from 23 ft
0:38.0,Defensive rebound by Team,,122-102,,
0:27.0,C. Zeller misses 3-pt shot from 25 ft,,122-102,,
0:24.0,,,122-102,,Defensive rebound by Team
0:17.0,,,122-105,3,J. Meeks makes 3-pt shot from 28 ft
