time,Orlando,pts.away,score,pts.home,Chicago
0:55.0,,,101-101,,L. Markkanen misses 3-pt shot from 25 ft
0:52.0,Defensive rebound by E. Fournier,,101-101,,
0:34.0,M. Hezonja misses 2-pt shot from 6 ft,,101-101,,
0:32.0,,,101-101,,Defensive rebound by J. Holiday
0:17.0,,,101-101,,Z. LaVine misses 2-pt shot from 18 ft
0:15.0,Defensive rebound by J. Simmons,,101-101,,
0:15.0,Orlando full timeout,,101-101,,
0:15.0,,,101-101,,D. Nwaba enters the game for J. Grant
0:12.0,Turnover by J. Simmons (bad pass; steal by Z. LaVine),,101-101,,
0:12.0,,,101-103,2,Z. LaVine makes 2-pt shot at rim
0:12.0,Orlando full timeout,,101-103,,
0:04.0,M. Hezonja misses 3-pt shot from 25 ft,,101-103,,
0:02.0,,,101-103,,Defensive rebound by Team
0:02.0,,,101-103,,Chicago full timeout
0:02.0,Personal take foul by E. Fournier (drawn by Z. LaVine),,101-103,,
0:02.0,,,101-103,,D. Valentine enters the game for D. Nwaba
0:02.0,,,101-104,1,Z. LaVine makes free throw 1 of 2
0:02.0,,,101-104,,D. Nwaba enters the game for D. Valentine
0:02.0,M. Speights enters the game for K. Birch,,101-104,,
0:02.0,,,101-105,1,Z. LaVine makes free throw 2 of 2
0:00.0,E. Fournier misses 3-pt shot from 26 ft,,101-105,,
0:00.0,Offensive rebound by Team,,101-105,,
