time,Detroit,pts.away,score,pts.home,Chicago
1:54.0,K. Felder makes 2-pt shot from 20 ft,2,116-84,,
1:44.0,,,116-84,,Shooting foul by L. Kennard (drawn by D. Nwaba)
1:44.0,,,116-85,1,D. Nwaba makes free throw 1 of 2
1:44.0,,,116-85,,D. Nwaba misses free throw 2 of 2
1:41.0,Defensive rebound by E. Moreland,,116-85,,
1:29.0,L. Kennard makes 2-pt shot from 4 ft,2,118-85,,
1:29.0,Shooting foul by C. Payne (drawn by L. Kennard),,118-85,,
1:29.0,L. Kennard makes free throw 1 of 1,1,119-85,,
1:23.0,,,119-85,,C. Payne misses 2-pt shot from 14 ft
1:19.0,Defensive rebound by L. Kennard,,119-85,,
0:58.0,R. Hearn misses 3-pt shot from 25 ft,,119-85,,
0:56.0,,,119-85,,Defensive rebound by R. Arcidiacono
0:51.0,,,119-85,,Turnover by R. Arcidiacono (bad pass; steal by L. Kennard)
0:46.0,K. Felder misses 2-pt shot from 1 ft,,119-85,,
0:45.0,Offensive rebound by K. Felder,,119-85,,
0:43.0,L. Kennard misses 2-pt shot from 13 ft,,119-85,,
0:41.0,,,119-85,,Defensive rebound by C. Felicio
0:36.0,,,119-85,,D. Nwaba misses 2-pt shot from 6 ft
0:34.0,,,119-85,,Offensive rebound by D. Nwaba
0:34.0,,,119-87,2,D. Nwaba makes 2-pt shot from 1 ft
0:09.0,Turnover by Team (shot clock),,119-87,,
0:06.0,,,119-87,,J. Grant misses 3-pt shot from 23 ft
0:02.0,Defensive rebound by K. Felder,,119-87,,
