time,Milwaukee,pts.away,score,pts.home,Washington
11:38.0,G. Antetokounmpo makes free throw 2 of 2,1,54-51,,
11:13.0,,,54-51,,M. Morris misses 2-pt shot from 10 ft (block by J. Henson)
11:13.0,,,54-51,,Offensive rebound by Team
11:13.0,,,54-51,,Turnover by Team (shot clock)
11:01.0,Offensive foul by K. Middleton (drawn by O. Porter),,54-51,,
11:01.0,Turnover by K. Middleton (offensive foul),,54-51,,
10:46.0,,,54-51,,J. Wall misses 3-pt shot from 27 ft
10:43.0,Defensive rebound by J. Henson,,54-51,,
10:35.0,Shooting foul by M. Morris (drawn by E. Bledsoe),,54-51,,
10:35.0,E. Bledsoe makes free throw 1 of 2,1,55-51,,
10:35.0,,,55-51,,K. Oubre enters the game for M. Morris
10:35.0,E. Bledsoe makes free throw 2 of 2,1,56-51,,
10:12.0,,,56-51,,O. Porter misses 3-pt shot from 26 ft
10:08.0,Defensive rebound by G. Antetokounmpo,,56-51,,
10:00.0,J. Henson misses 2-pt shot from 3 ft,,56-51,,
9:55.0,,,56-51,,Defensive rebound by B. Beal
9:46.0,,,56-54,3,K. Oubre makes 3-pt shot from 22 ft (assist by J. Wall)
9:31.0,K. Middleton misses 2-pt shot from 11 ft,,56-54,,
9:28.0,,,56-54,,Defensive rebound by K. Oubre
9:25.0,,,56-54,,Shooting foul by M. Brogdon (drawn by J. Wall)
9:25.0,,,56-55,1,J. Wall makes free throw 1 of 2
9:25.0,,,56-56,1,J. Wall makes free throw 2 of 2
9:05.0,G. Antetokounmpo misses 2-pt shot from 6 ft,,56-56,,
9:03.0,,,56-56,,Defensive rebound by Team
8:44.0,,,56-58,2,B. Beal makes 2-pt shot from 12 ft
8:22.0,Turnover by J. Henson (turnover),,56-58,,
8:04.0,,,56-58,,O. Porter misses 2-pt shot from 11 ft
8:00.0,Defensive rebound by E. Bledsoe,,56-58,,
7:57.0,G. Antetokounmpo misses 2-pt shot from 4 ft (block by B. Beal),,56-58,,
7:54.0,,,56-58,,Defensive rebound by J. Wall
7:42.0,,,56-58,,B. Beal misses 3-pt shot from 28 ft
7:39.0,Defensive rebound by G. Antetokounmpo,,56-58,,
