time,Atlanta,pts.away,score,pts.home,LA Lakers
7:15.0,,,89-110,,Offensive rebound by Team
7:03.0,,,89-110,,J. Hart misses 2-pt shot from 12 ft
6:59.0,Defensive rebound by K. Bazemore,,89-110,,
6:55.0,K. Bazemore misses 3-pt shot from 26 ft,,89-110,,
6:52.0,,,89-110,,Defensive rebound by J. Clarkson
6:46.0,,,89-113,3,J. Clarkson makes 3-pt shot from 26 ft (assist by L. Ball)
6:24.0,M. Delaney makes 2-pt shot from 16 ft,2,91-113,,
6:09.0,,,91-115,2,K. Kuzma makes 2-pt shot from 2 ft (assist by J. Hart)
5:54.0,K. Bazemore misses 3-pt shot from 29 ft,,91-115,,
5:54.0,Offensive rebound by E. Ilyasova,,91-115,,
5:54.0,Shooting foul by L. Nance (drawn by E. Ilyasova),,91-115,,
5:54.0,E. Ilyasova makes free throw 1 of 2,1,92-115,,
5:54.0,M. Muscala enters the game for M. Delaney,,92-115,,
5:54.0,T. Dorsey enters the game for M. Plumlee,,92-115,,
5:54.0,E. Ilyasova misses free throw 2 of 2,,92-115,,
5:39.0,,,92-115,,Defensive rebound by L. Nance
5:33.0,,,92-118,3,J. Hart makes 3-pt shot from 27 ft (assist by L. Nance)
5:19.0,T. Dorsey makes 3-pt shot from 22 ft (assist by D. Schroder),3,95-118,,
5:02.0,,,95-118,,J. Clarkson misses 2-pt shot from 14 ft
4:59.0,Defensive rebound by M. Muscala,,95-118,,
4:54.0,M. Muscala makes 3-pt shot from 26 ft (assist by T. Dorsey),3,98-118,,
4:53.0,,,98-118,,LA Lakers full timeout
4:53.0,I. Taylor enters the game for E. Ilyasova,,98-118,,
4:53.0,J. Collins enters the game for D. Schroder,,98-118,,
4:53.0,L. Babbitt enters the game for K. Bazemore,,98-118,,
4:39.0,,,98-118,,L. Ball misses 3-pt shot from 25 ft
4:36.0,,,98-118,,Offensive rebound by L. Nance
4:33.0,,,98-118,,K. Kuzma misses 3-pt shot from 23 ft
4:30.0,Defensive rebound by L. Babbitt,,98-118,,
4:14.0,T. Dorsey misses 2-pt shot from 3 ft,,98-118,,
4:14.0,Offensive rebound by Team,,98-118,,
4:13.0,,,98-118,,Personal foul by L. Nance (drawn by J. Collins)
4:13.0,J. Collins makes free throw 1 of 2,1,99-118,,
4:13.0,J. Collins makes free throw 2 of 2,1,100-118,,
3:58.0,,,100-120,2,L. Nance makes 2-pt shot from 2 ft (assist by K. Kuzma)
3:40.0,T. Dorsey makes 3-pt shot from 27 ft (assist by I. Taylor),3,103-120,,
3:28.0,,,103-122,2,K. Kuzma makes 2-pt shot from 21 ft
3:18.0,Turnover by J. Collins (bad pass; steal by J. Hart),,103-122,,
3:13.0,,,103-124,2,J. Hart makes 2-pt shot from 2 ft
2:53.0,,,103-124,,Personal foul by J. Hart (drawn by L. Babbitt)
2:53.0,L. Babbitt makes free throw 1 of 2,1,104-124,,
2:53.0,,,104-124,,C. Brewer enters the game for K. Kuzma
2:53.0,,,104-124,,T. Ennis enters the game for L. Ball
2:53.0,,,104-124,,J. Randle enters the game for L. Nance
2:53.0,L. Babbitt makes free throw 2 of 2,1,105-124,,
2:31.0,,,105-124,,J. Randle misses 2-pt shot from 6 ft
2:29.0,,,105-124,,Offensive rebound by J. Randle
2:27.0,,,105-124,,J. Randle misses 3-pt shot from 26 ft
2:25.0,Defensive rebound by T. Dorsey,,105-124,,
2:18.0,T. Dorsey misses 3-pt shot from 27 ft,,105-124,,
2:15.0,,,105-124,,Defensive rebound by J. Hart
2:11.0,,,105-127,3,J. Clarkson makes 3-pt shot from 26 ft (assist by T. Ennis)
2:05.0,Turnover by J. Collins (bad pass; steal by C. Brewer),,105-127,,
1:58.0,,,105-127,,J. Clarkson misses 3-pt shot from 26 ft
1:57.0,Defensive rebound by M. Muscala,,105-127,,
1:57.0,J. Collins makes 2-pt shot from 6 ft (assist by I. Taylor),2,107-127,,
1:57.0,Shooting foul by J. Hart (drawn by J. Collins),,107-127,,
1:57.0,J. Collins misses free throw 1 of 1,,107-127,,
1:50.0,Offensive rebound by M. Muscala,,107-127,,
1:50.0,M. Muscala makes 2-pt shot at rim,2,109-127,,
1:33.0,,,109-129,2,C. Brewer makes 2-pt shot from 2 ft (assist by J. Randle)
1:19.0,L. Babbitt misses 3-pt shot from 26 ft,,109-129,,
1:19.0,,,109-129,,Defensive rebound by C. Brewer
1:05.0,,,109-129,,J. Randle misses 3-pt shot from 27 ft
1:05.0,Defensive rebound by J. Collins,,109-129,,
1:04.0,,,109-129,,Personal foul by J. Randle (drawn by M. Muscala)
1:04.0,M. Muscala makes free throw 1 of 2,1,110-129,,
1:04.0,,,110-129,,T. Bryant enters the game for J. Randle
1:04.0,,,110-129,,I. Zubac enters the game for J. Clarkson
1:04.0,M. Muscala makes free throw 2 of 2,1,111-129,,
0:50.0,,,111-129,,Turnover by J. Hart (bad pass; steal by M. Muscala)
0:47.0,M. Muscala makes 2-pt shot from 2 ft (assist by T. Dorsey),2,113-129,,
0:27.0,,,113-132,3,J. Hart makes 3-pt shot from 25 ft
0:14.0,J. Collins misses 2-pt shot from 2 ft,,113-132,,
0:12.0,,,113-132,,Defensive rebound by T. Bryant
