time,Philadelphia,pts.away,score,pts.home,Utah
11:02.0,,,83-71,,Turnover by R. Hood (bad pass)
11:01.0,,,83-71,,Offensive rebound by T. Sefolosha
10:52.0,Shooting foul by E. Udoh (drawn by R. Covington),,83-71,,
10:52.0,R. Covington misses free throw 1 of 2,,83-71,,
10:52.0,Offensive rebound by Team,,83-71,,
10:52.0,,,83-71,,R. Rubio enters the game for A. Burks
10:52.0,R. Covington misses free throw 2 of 2,,83-71,,
10:50.0,,,83-71,,Defensive rebound by T. Sefolosha
10:41.0,,,83-71,,R. Hood misses 3-pt shot from 25 ft
10:38.0,Defensive rebound by R. Holmes,,83-71,,
10:28.0,Shooting foul by E. Udoh (drawn by R. Holmes),,83-71,,
10:28.0,R. Holmes misses free throw 1 of 2,,83-71,,
10:28.0,Offensive rebound by Team,,83-71,,
10:28.0,R. Holmes makes free throw 2 of 2,1,84-71,,
10:19.0,,,84-71,,D. Mitchell misses 3-pt shot from 24 ft
10:15.0,Defensive rebound by R. Covington,,84-71,,
10:08.0,R. Covington misses 2-pt shot from 2 ft (block by T. Sefolosha),,84-71,,
10:05.0,,,84-71,,Defensive rebound by E. Udoh
9:58.0,,,84-74,3,D. Mitchell makes 3-pt shot from 24 ft (assist by T. Sefolosha)
9:42.0,Turnover by T. McConnell (bad pass; steal by E. Udoh),,84-74,,
9:38.0,Philadelphia full timeout,,84-74,,
9:38.0,,,84-74,,R. Gobert enters the game for E. Udoh
9:37.0,,,84-76,2,R. Hood makes 2-pt shot from 1 ft (assist by R. Rubio)
9:21.0,R. Covington makes 2-pt shot from 2 ft,2,86-76,,
9:01.0,,,86-76,,T. Sefolosha misses 3-pt shot from 25 ft
9:00.0,Defensive rebound by Team,,86-76,,
9:00.0,,,86-76,,Loose ball foul by R. Gobert (drawn by R. Holmes)
9:00.0,,,86-76,,J. Ingles enters the game for T. Sefolosha
9:00.0,D. Saric enters the game for T. McConnell,,86-76,,
9:00.0,B. Simmons enters the game for J. Redick,,86-76,,
9:00.0,J. Anderson enters the game for R. Covington,,86-76,,
8:39.0,B. Simmons misses 2-pt shot from 12 ft,,86-76,,
8:37.0,,,86-76,,Defensive rebound by Team
8:22.0,,,86-76,,R. Hood misses 3-pt shot from 22 ft
8:19.0,Defensive rebound by D. Saric,,86-76,,
8:10.0,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft,2,88-76,,
7:52.0,,,88-78,2,R. Gobert makes 2-pt shot from 2 ft (assist by J. Ingles)
7:39.0,J. Anderson makes 2-pt shot from 2 ft (assist by T. Luwawu-Cabarrot),2,90-78,,
7:25.0,,,90-78,,R. Rubio misses 3-pt shot from 25 ft
7:24.0,Defensive rebound by D. Saric,,90-78,,
7:12.0,A. Johnson enters the game for R. Holmes,,90-78,,
7:06.0,Turnover by D. Saric (bad pass; steal by R. Gobert),,90-78,,
7:06.0,Personal foul by B. Simmons (drawn by R. Gobert),,90-78,,
6:58.0,,,90-78,,D. Mitchell misses 2-pt shot from 13 ft
6:54.0,Defensive rebound by A. Johnson,,90-78,,
6:47.0,Turnover by A. Johnson (turnover),,90-78,,
6:47.0,,,90-78,,T. Sefolosha enters the game for R. Hood
6:47.0,J. Redick enters the game for J. Anderson,,90-78,,
6:47.0,R. Covington enters the game for T. Luwawu-Cabarrot,,90-78,,
6:41.0,,,90-78,,D. Mitchell misses 3-pt shot from 26 ft
6:38.0,Defensive rebound by R. Covington,,90-78,,
6:30.0,B. Simmons misses 2-pt shot from 12 ft (block by R. Gobert),,90-78,,
6:28.0,,,90-78,,Defensive rebound by J. Ingles
6:28.0,Personal foul by R. Covington (drawn by J. Ingles),,90-78,,
6:28.0,,,90-78,,Utah full timeout
6:28.0,T. McConnell enters the game for R. Covington,,90-78,,
6:09.0,,,90-78,,D. Mitchell misses 3-pt shot from 24 ft
6:06.0,Defensive rebound by T. McConnell,,90-78,,
5:48.0,Turnover by T. McConnell (lost ball; steal by R. Rubio),,90-78,,
5:45.0,,,90-78,,Turnover by R. Rubio (bad pass; steal by B. Simmons)
5:33.0,J. Redick misses 2-pt shot from 17 ft,,90-78,,
5:31.0,,,90-78,,Defensive rebound by Team
5:18.0,,,90-78,,R. Rubio misses 2-pt shot from 4 ft (block by B. Simmons)
5:12.0,Defensive rebound by J. Redick,,90-78,,
5:10.0,D. Saric makes 3-pt shot from 23 ft (assist by T. McConnell),3,93-78,,
4:55.0,,,93-78,,J. Ingles misses 3-pt shot from 25 ft
4:52.0,Defensive rebound by D. Saric,,93-78,,
4:44.0,T. McConnell misses 2-pt shot from 2 ft,,93-78,,
4:43.0,,,93-78,,Defensive rebound by Team
4:43.0,Loose ball foul by A. Johnson (drawn by R. Gobert),,93-78,,
4:43.0,,,93-78,,R. Hood enters the game for D. Mitchell
4:36.0,,,93-80,2,R. Rubio makes 2-pt shot from 17 ft
4:35.0,Philadelphia full timeout,,93-80,,
4:35.0,R. Covington enters the game for T. McConnell,,93-80,,
4:14.0,R. Covington makes 2-pt shot from 1 ft (assist by B. Simmons),2,95-80,,
3:57.0,,,95-80,,R. Rubio misses 3-pt shot from 23 ft
3:54.0,,,95-80,,Offensive rebound by T. Sefolosha
3:50.0,,,95-82,2,J. Ingles makes 2-pt shot from 3 ft
3:31.0,B. Simmons misses 2-pt shot from 12 ft,,95-82,,
3:28.0,,,95-82,,Defensive rebound by R. Gobert
3:28.0,Personal foul by B. Simmons (drawn by J. Ingles),,95-82,,
3:28.0,,,95-82,,Utah full timeout
3:28.0,R. Holmes enters the game for A. Johnson,,95-82,,
3:20.0,,,95-85,3,J. Ingles makes 3-pt shot from 24 ft (assist by R. Gobert)
3:05.0,Shooting foul by T. Sefolosha (drawn by R. Holmes),,95-85,,
3:05.0,R. Holmes misses free throw 1 of 2,,95-85,,
3:05.0,Offensive rebound by Team,,95-85,,
3:05.0,,,95-85,,D. Mitchell enters the game for R. Rubio
3:05.0,R. Holmes makes free throw 2 of 2,1,96-85,,
2:55.0,Personal foul by R. Covington (drawn by R. Hood),,96-85,,
2:55.0,T. McConnell enters the game for R. Covington,,96-85,,
2:55.0,,,96-86,1,R. Hood makes free throw 1 of 2
2:55.0,,,96-86,,R. Hood misses free throw 2 of 2
2:53.0,Defensive rebound by B. Simmons,,96-86,,
2:33.0,R. Holmes misses 2-pt shot from 5 ft,,96-86,,
2:30.0,,,96-86,,Defensive rebound by T. Sefolosha
2:24.0,,,96-86,,D. Mitchell misses 3-pt shot from 25 ft
2:21.0,,,96-86,,Offensive rebound by R. Gobert
2:19.0,,,96-86,,J. Ingles misses 3-pt shot from 25 ft
2:19.0,Defensive rebound by B. Simmons,,96-86,,
2:05.0,Turnover by B. Simmons (out of bounds lost ball),,96-86,,
1:51.0,,,96-86,,R. Hood misses 2-pt shot from 5 ft
1:51.0,Defensive rebound by Team,,96-86,,
1:51.0,,,96-86,,Loose ball foul by R. Gobert (drawn by T. McConnell)
1:51.0,T. McConnell makes free throw 1 of 2,1,97-86,,
1:51.0,T. McConnell makes free throw 2 of 2,1,98-86,,
1:43.0,Personal foul by B. Simmons (drawn by R. Gobert),,98-86,,
1:43.0,,,98-87,1,R. Gobert makes free throw 1 of 2
1:43.0,,,98-88,1,R. Gobert makes free throw 2 of 2
1:28.0,J. Redick misses 3-pt shot from 24 ft,,98-88,,
1:25.0,Offensive rebound by R. Holmes,,98-88,,
1:23.0,Turnover by R. Holmes (bad pass; steal by J. Ingles),,98-88,,
1:13.0,,,98-88,,D. Mitchell misses 2-pt shot from 2 ft
1:11.0,Defensive rebound by D. Saric,,98-88,,
0:52.0,B. Simmons misses 2-pt shot from 14 ft,,98-88,,
0:50.0,,,98-88,,Defensive rebound by R. Gobert
0:47.0,,,98-90,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by R. Hood)
0:24.0,B. Simmons misses 2-pt shot from 6 ft,,98-90,,
0:20.0,,,98-90,,Defensive rebound by Team
0:18.0,Personal foul by B. Simmons (drawn by R. Gobert),,98-90,,
0:18.0,,,98-91,1,R. Gobert makes free throw 1 of 2
0:18.0,,,98-92,1,R. Gobert makes free throw 2 of 2
0:18.0,Philadelphia full timeout,,98-92,,
0:18.0,T. Luwawu-Cabarrot enters the game for R. Holmes,,98-92,,
0:14.0,,,98-92,,Personal foul by T. Sefolosha (drawn by J. Redick)
0:14.0,J. Redick makes free throw 1 of 2,1,99-92,,
0:14.0,J. Redick makes free throw 2 of 2,1,100-92,,
0:14.0,,,100-92,,Utah full timeout
0:14.0,,,100-92,,R. Rubio enters the game for T. Sefolosha
0:12.0,,,100-95,3,R. Hood makes 3-pt shot from 23 ft (assist by R. Rubio)
0:12.0,Turnover by B. Simmons (bad pass),,100-95,,
0:10.0,,,100-97,2,R. Gobert makes 2-pt shot from 1 ft (assist by R. Rubio)
0:10.0,,,100-97,,Personal foul by D. Mitchell (drawn by D. Saric)
0:10.0,D. Saric makes free throw 1 of 2,1,101-97,,
0:10.0,D. Saric makes free throw 2 of 2,1,102-97,,
0:04.0,,,102-97,,D. Mitchell misses 2-pt shot from 2 ft
0:03.0,Defensive rebound by B. Simmons,,102-97,,
0:03.0,,,102-97,,Personal foul by R. Rubio (drawn by B. Simmons)
0:03.0,B. Simmons makes free throw 1 of 2,1,103-97,,
0:03.0,B. Simmons makes free throw 2 of 2,1,104-97,,
0:00.0,,,104-97,,R. Hood misses 3-pt shot from 36 ft
0:00.0,,,104-97,,Offensive rebound by Team
