time,New York,pts.away,score,pts.home,Atlanta
4:09.0,,,97-102,,Offensive rebound by Team
4:09.0,,,97-102,,Atlanta full timeout
4:05.0,,,97-102,,D. Schroder misses 2-pt shot from 16 ft
4:00.0,,,97-102,,Offensive rebound by D. Dedmon
3:59.0,,,97-105,3,M. Belinelli makes 3-pt shot from 24 ft (assist by D. Dedmon)
3:41.0,K. Porzingis misses 2-pt shot from 19 ft,,97-105,,
3:38.0,,,97-105,,Defensive rebound by D. Schroder
3:27.0,,,97-105,,T. Waller-Prince misses 3-pt shot from 24 ft
3:23.0,Defensive rebound by C. Lee,,97-105,,
3:10.0,K. Porzingis misses 2-pt shot from 5 ft,,97-105,,
3:07.0,,,97-105,,Defensive rebound by T. Waller-Prince
2:54.0,,,97-105,,D. Schroder misses 3-pt shot from 25 ft
2:51.0,Defensive rebound by K. Porzingis,,97-105,,
2:48.0,T. Hardaway misses 3-pt shot from 25 ft,,97-105,,
2:42.0,,,97-105,,Defensive rebound by T. Waller-Prince
2:35.0,Personal foul by K. Porzingis (drawn by D. Dedmon),,97-105,,
2:28.0,,,97-108,3,M. Belinelli makes 3-pt shot from 25 ft (assist by D. Schroder)
2:13.0,D. McDermott misses 3-pt shot from 23 ft,,97-108,,
2:09.0,,,97-108,,Defensive rebound by K. Bazemore
1:57.0,,,97-111,3,T. Waller-Prince makes 3-pt shot from 22 ft (assist by D. Schroder)
1:57.0,New York full timeout,,97-111,,
1:51.0,T. Hardaway makes 2-pt shot from 2 ft (assist by K. Porzingis),2,99-111,,
1:39.0,,,99-114,3,T. Waller-Prince makes 3-pt shot from 23 ft (assist by D. Dedmon)
1:28.0,T. Hardaway makes 3-pt shot from 25 ft (assist by D. McDermott),3,102-114,,
1:08.0,,,102-114,,T. Waller-Prince misses 2-pt shot from 2 ft
1:06.0,Defensive rebound by D. McDermott,,102-114,,
0:55.0,J. Jack misses 2-pt shot from 11 ft,,102-114,,
0:53.0,,,102-114,,Defensive rebound by Team
0:34.0,,,102-116,2,D. Schroder makes 2-pt shot from 17 ft
0:24.0,J. Jack makes 2-pt shot from 12 ft,2,104-116,,
0:00.0,,,104-116,,Turnover by Team (shot clock)
