time,Philadelphia,pts.away,score,pts.home,Charlotte
3:03.0,Philadelphia full timeout,,124-110,,
3:03.0,T. Luwawu-Cabarrot enters the game for D. Saric,,124-110,,
3:03.0,M. Belinelli enters the game for J. Redick,,124-110,,
3:03.0,R. Holmes enters the game for B. Simmons,,124-110,,
3:03.0,E. Ilyasova enters the game for R. Covington,,124-110,,
3:03.0,T. McConnell enters the game for A. Johnson,,124-110,,
2:40.0,T. McConnell makes 2-pt shot from 5 ft,2,126-110,,
2:25.0,,,126-110,,M. Monk misses 3-pt shot from 24 ft
2:21.0,Defensive rebound by E. Ilyasova,,126-110,,
2:17.0,R. Holmes misses 2-pt shot from 9 ft,,126-110,,
2:14.0,,,126-110,,Defensive rebound by W. Hernangomez
2:02.0,,,126-110,,M. Monk misses 3-pt shot from 25 ft
1:59.0,Defensive rebound by E. Ilyasova,,126-110,,
1:57.0,Philadelphia full timeout,,126-110,,
1:57.0,J. Anderson enters the game for M. Belinelli,,126-110,,
1:48.0,J. Anderson misses 2-pt shot from 21 ft,,126-110,,
1:44.0,Offensive rebound by R. Holmes,,126-110,,
1:41.0,R. Holmes misses 2-pt shot from 5 ft,,126-110,,
1:39.0,Offensive rebound by R. Holmes,,126-110,,
1:24.0,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft,2,128-110,,
1:11.0,,,128-110,,Shooting foul by R. Holmes (drawn by W. Hernangomez)
1:11.0,,,128-111,1,W. Hernangomez makes free throw 1 of 2
1:11.0,,,128-111,,W. Hernangomez misses free throw 2 of 2
1:07.0,Defensive rebound by J. Anderson,,128-111,,
0:59.0,R. Holmes misses 2-pt shot from 2 ft,,128-111,,
0:58.0,,,128-111,,Defensive rebound by J. Stone
0:45.0,,,128-111,,T. Graham misses 3-pt shot from 23 ft
0:41.0,Defensive rebound by T. McConnell,,128-111,,
0:21.0,T. McConnell misses 2-pt shot from 4 ft (block by W. Hernangomez),,128-111,,
0:16.0,,,128-111,,Defensive rebound by D. Bacon
0:14.0,,,128-114,3,M. Monk makes 3-pt shot from 25 ft
