time,Milwaukee,pts.away,score,pts.home,Boston
9:46.0,G. Antetokounmpo makes 2-pt shot from 19 ft (assist by E. Bledsoe),2,72-85,,
9:27.0,,,72-85,,S. Larkin misses 2-pt shot from 3 ft
9:26.0,,,72-85,,Offensive rebound by A. Baynes
9:24.0,,,72-87,2,S. Larkin makes 2-pt shot from 13 ft (assist by A. Baynes)
8:59.0,E. Bledsoe makes 2-pt shot from 5 ft,2,74-87,,
8:35.0,,,74-89,2,A. Baynes makes 2-pt shot from 4 ft
8:24.0,Offensive foul by G. Antetokounmpo (drawn by M. Smart),,74-89,,
8:24.0,Turnover by G. Antetokounmpo (offensive foul),,74-89,,
8:24.0,,,74-89,,T. Rozier enters the game for M. Smart
8:24.0,M. Brogdon enters the game for J. Terry,,74-89,,
8:24.0,T. Maker enters the game for J. Parker,,74-89,,
8:12.0,,,74-89,,Offensive foul by A. Baynes (drawn by G. Antetokounmpo)
8:12.0,,,74-89,,Turnover by A. Baynes (offensive foul)
8:06.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,76-89,,
8:06.0,Shooting foul by A. Baynes (drawn by G. Antetokounmpo),,76-89,,
8:06.0,G. Antetokounmpo makes free throw 1 of 1,1,77-89,,
7:45.0,,,77-89,,T. Rozier misses 3-pt shot from 25 ft
7:43.0,,,77-89,,Offensive rebound by Team
7:43.0,,,77-89,,Loose ball foul by S. Ojeleye (drawn by T. Maker)
7:43.0,,,77-89,,Turnover by S. Ojeleye (turnover)
7:43.0,,,77-89,,J. Tatum enters the game for M. Morris
7:31.0,Turnover by G. Antetokounmpo (bad pass; steal by A. Baynes),,77-89,,
7:21.0,,,77-89,,Boston full timeout
7:21.0,,,77-89,,A. Horford enters the game for S. Ojeleye
7:21.0,,,77-89,,M. Morris enters the game for A. Baynes
7:12.0,,,77-92,3,T. Rozier makes 3-pt shot from 23 ft (assist by J. Tatum)
6:57.0,Turnover by E. Bledsoe (lost ball; steal by T. Rozier),,77-92,,
6:56.0,,,77-92,,Shooting foul by E. Bledsoe (drawn by T. Rozier)
6:56.0,,,77-92,,T. Rozier misses free throw 1 of 2
6:56.0,,,77-92,,Offensive rebound by Team
6:56.0,,,77-93,1,T. Rozier makes free throw 2 of 2
6:48.0,,,77-93,,Personal foul by A. Horford (drawn by M. Brogdon)
6:47.0,,,77-93,,Personal foul by M. Morris (drawn by G. Antetokounmpo)
6:34.0,K. Middleton makes 3-pt shot from 26 ft (assist by M. Brogdon),3,80-93,,
6:16.0,,,80-95,2,J. Tatum makes 2-pt shot from 1 ft (assist by T. Rozier)
