time,Minnesota,pts.away,score,pts.home,Oklahoma City
11:06.0,,,79-87,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Felton)
10:45.0,A. Wiggins misses 3-pt shot from 22 ft,,79-87,,
10:42.0,Offensive rebound by K. Towns,,79-87,,
10:30.0,J. Crawford misses 2-pt shot from 3 ft,,79-87,,
10:25.0,Offensive rebound by K. Towns,,79-87,,
10:25.0,K. Towns makes 2-pt shot at rim,2,81-87,,
10:02.0,,,81-89,2,S. Adams makes 2-pt shot from 5 ft (assist by P. George)
9:43.0,,,81-89,,Personal foul by J. Huestis (drawn by K. Towns)
9:31.0,J. Crawford makes 3-pt shot from 25 ft (assist by T. Jones),3,84-89,,
9:08.0,,,84-92,3,P. George makes 3-pt shot from 25 ft (assist by P. Patterson)
8:48.0,Turnover by J. Crawford (bad pass; steal by P. Patterson),,84-92,,
8:44.0,,,84-92,,P. George misses 2-pt shot from 3 ft (block by J. Crawford)
8:42.0,Defensive rebound by A. Wiggins,,84-92,,
8:39.0,K. Towns makes 2-pt shot at rim (assist by T. Jones),2,86-92,,
8:20.0,,,86-92,,Shooting foul by T. Jones (drawn by S. Adams)
8:20.0,,,86-93,1,S. Adams makes free throw 1 of 2
8:20.0,,,86-93,,R. Westbrook enters the game for R. Felton
8:20.0,,,86-93,,A. Roberson enters the game for J. Huestis
8:20.0,J. Butler enters the game for T. Jones,,86-93,,
8:20.0,,,86-94,1,S. Adams makes free throw 2 of 2
8:02.0,K. Towns misses 2-pt shot from 6 ft,,86-94,,
8:01.0,,,86-94,,Defensive rebound by P. Patterson
8:01.0,Personal foul by K. Towns (drawn by S. Adams),,86-94,,
7:48.0,,,86-97,3,P. George makes 3-pt shot from 24 ft (assist by R. Westbrook)
7:41.0,Minnesota full timeout,,86-97,,
7:41.0,T. Gibson enters the game for G. Dieng,,86-97,,
7:34.0,Shooting foul by S. Adams (drawn by J. Butler),,86-97,,
7:34.0,J. Butler makes free throw 1 of 2,1,87-97,,
7:34.0,,,87-97,,J. Grant enters the game for S. Adams
7:34.0,,,87-97,,C. Anthony enters the game for P. Patterson
7:34.0,J. Butler makes free throw 2 of 2,1,88-97,,
7:11.0,,,88-97,,J. Grant misses 2-pt shot from 1 ft (block by K. Towns)
7:08.0,Defensive rebound by J. Crawford,,88-97,,
7:05.0,Turnover by A. Wiggins (traveling),,88-97,,
6:49.0,,,88-97,,R. Westbrook misses 2-pt shot from 15 ft
6:47.0,Defensive rebound by K. Towns,,88-97,,
6:37.0,Turnover by J. Butler (bad pass),,88-97,,
6:25.0,,,88-99,2,J. Grant makes 2-pt shot at rim (assist by R. Westbrook)
6:08.0,J. Butler makes 2-pt shot from 9 ft,2,90-99,,
5:45.0,,,90-99,,P. George misses 2-pt shot from 14 ft
5:40.0,,,90-99,,Offensive rebound by A. Roberson
5:27.0,,,90-101,2,J. Grant makes 2-pt shot from 1 ft (assist by R. Westbrook)
5:26.0,Minnesota full timeout,,90-101,,
5:26.0,J. Teague enters the game for J. Crawford,,90-101,,
5:14.0,K. Towns makes 3-pt shot from 24 ft (assist by J. Teague),3,93-101,,
4:58.0,,,93-101,,Offensive foul by A. Roberson (drawn by K. Towns)
4:58.0,,,93-101,,Turnover by A. Roberson (offensive foul)
4:44.0,A. Wiggins makes 3-pt shot from 22 ft (assist by J. Butler),3,96-101,,
4:28.0,,,96-101,,Offensive foul by R. Westbrook (drawn by K. Towns)
4:28.0,,,96-101,,Turnover by R. Westbrook (offensive foul)
4:17.0,K. Towns makes 2-pt shot at rim (assist by J. Teague),2,98-101,,
4:17.0,,,98-101,,Oklahoma City full timeout
4:17.0,,,98-101,,S. Adams enters the game for J. Grant
3:58.0,,,98-101,,R. Westbrook misses 3-pt shot from 25 ft
3:55.0,,,98-101,,Offensive rebound by Team
3:55.0,Loose ball foul by A. Wiggins (drawn by S. Adams),,98-101,,
3:47.0,,,98-101,,P. George misses 2-pt shot from 1 ft
3:46.0,Defensive rebound by J. Teague,,98-101,,
3:23.0,Turnover by J. Teague (step out of bounds),,98-101,,
3:04.0,,,98-101,,C. Anthony misses 3-pt shot from 25 ft
3:02.0,,,98-101,,Offensive rebound by S. Adams
2:47.0,,,98-101,,Turnover by R. Westbrook (lost ball; steal by J. Butler)
2:47.0,,,98-101,,Personal foul by R. Westbrook (drawn by J. Teague)
2:33.0,J. Teague misses 3-pt shot from 25 ft,,98-101,,
2:28.0,,,98-101,,Defensive rebound by A. Roberson
2:07.0,,,98-103,2,R. Westbrook makes 2-pt shot from 3 ft
1:48.0,A. Wiggins misses 2-pt shot from 12 ft,,98-103,,
1:46.0,,,98-103,,Defensive rebound by C. Anthony
1:29.0,,,98-103,,P. George misses 2-pt shot from 9 ft
1:27.0,Defensive rebound by J. Butler,,98-103,,
1:27.0,,,98-103,,Personal foul by P. George (drawn by J. Butler)
1:27.0,Minnesota full timeout,,98-103,,
1:15.0,Shooting foul by P. George (drawn by A. Wiggins),,98-103,,
1:15.0,A. Wiggins makes free throw 1 of 2,1,99-103,,
1:15.0,A. Wiggins makes free throw 2 of 2,1,100-103,,
0:59.0,,,100-103,,Shooting foul by K. Towns (drawn by R. Westbrook)
0:59.0,,,100-104,1,R. Westbrook makes free throw 1 of 2
0:59.0,,,100-105,1,R. Westbrook makes free throw 2 of 2
0:49.0,J. Butler makes 2-pt shot at rim (assist by J. Teague),2,102-105,,
0:29.0,,,102-105,,R. Westbrook misses 3-pt shot from 23 ft
0:26.0,,,102-105,,Offensive rebound by S. Adams
0:26.0,,,102-107,2,S. Adams makes 2-pt shot at rim
0:26.0,Minnesota full timeout,,102-107,,
