time,Dallas,pts.away,score,pts.home,Indiana
1:40.0,,,66-73,,Defensive rebound by M. Turner
1:32.0,,,66-73,,M. Turner misses 3-pt shot from 28 ft
1:28.0,Defensive rebound by D. Nowitzki,,66-73,,
1:25.0,D. Harris makes 2-pt shot from 1 ft,2,68-73,,
1:09.0,,,68-73,,Turnover by L. Stephenson (bad pass; steal by J. Barea)
1:00.0,Y. Ferrell makes 3-pt shot from 23 ft (assist by J. Barea),3,71-73,,
0:42.0,,,71-73,,Shooting foul by D. Powell (drawn by M. Turner)
0:42.0,,,71-74,1,M. Turner makes free throw 1 of 2
0:42.0,,,71-74,,B. Bogdanovic enters the game for L. Stephenson
0:42.0,,,71-74,,M. Turner misses free throw 2 of 2
0:41.0,Defensive rebound by D. Harris,,71-74,,
0:33.0,,,71-74,,Personal foul by D. Sabonis (drawn by J. Barea)
0:29.0,D. Harris misses 2-pt shot from 10 ft,,71-74,,
0:28.0,,,71-74,,Defensive rebound by D. Sabonis
0:04.0,,,71-74,,B. Bogdanovic misses 2-pt shot from 9 ft
0:01.0,Defensive rebound by D. Powell,,71-74,,
0:00.0,J. Barea misses 3-pt shot from 39 ft,,71-74,,
0:00.0,Offensive rebound by Team,,71-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,D. Powell misses 3-pt shot from 23 ft,,71-74,,
11:43.0,,,71-74,,Defensive rebound by T. Young
11:28.0,,,71-76,2,D. Sabonis makes 2-pt shot from 3 ft
11:14.0,Turnover by J. Barea (bad pass; steal by T. Young),,71-76,,
11:01.0,,,71-78,2,D. Sabonis makes 2-pt shot from 20 ft (assist by C. Joseph)
10:42.0,D. Harris makes 2-pt shot from 1 ft (assist by J. Barea),2,73-78,,
10:42.0,Shooting foul by B. Bogdanovic (drawn by D. Harris),,73-78,,
10:42.0,D. Harris makes free throw 1 of 1,1,74-78,,
10:29.0,,,74-78,,C. Joseph misses 2-pt shot from 15 ft
10:27.0,Defensive rebound by D. Nowitzki,,74-78,,
10:11.0,J. Barea misses 2-pt shot from 8 ft,,74-78,,
10:08.0,,,74-78,,Defensive rebound by D. Sabonis
9:57.0,,,74-78,,D. Sabonis misses 2-pt shot from 19 ft
9:55.0,Defensive rebound by D. Powell,,74-78,,
9:48.0,Turnover by J. Barea (bad pass; steal by D. Sabonis),,74-78,,
9:37.0,,,74-81,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by D. Sabonis)
9:15.0,D. Harris makes 2-pt shot at rim (assist by J. Barea),2,76-81,,
9:01.0,Personal foul by Y. Ferrell (drawn by D. Sabonis),,76-81,,
8:51.0,,,76-81,,D. Sabonis misses 2-pt shot from 19 ft
8:47.0,Defensive rebound by D. Nowitzki,,76-81,,
8:33.0,,,76-81,,Personal foul by T. Young (drawn by J. Barea)
8:27.0,Y. Ferrell misses 3-pt shot from 25 ft,,76-81,,
8:25.0,,,76-81,,Defensive rebound by D. Sabonis
8:12.0,,,76-81,,Turnover by B. Bogdanovic (out of bounds lost ball)
8:06.0,J. Barea misses 3-pt shot from 26 ft,,76-81,,
8:03.0,,,76-81,,Defensive rebound by C. Joseph
8:00.0,,,76-81,,Turnover by C. Joseph (traveling)
8:00.0,Dallas full timeout,,76-81,,
8:00.0,,,76-81,,L. Stephenson enters the game for J. Young
8:00.0,,,76-81,,D. Collison enters the game for B. Bogdanovic
7:47.0,D. Nowitzki makes 2-pt shot from 17 ft,2,78-81,,
7:22.0,,,78-84,3,T. Young makes 3-pt shot from 28 ft (assist by C. Joseph)
7:01.0,J. Barea makes 2-pt shot from 6 ft,2,80-84,,
6:47.0,,,80-86,2,C. Joseph makes 2-pt shot from 17 ft (assist by D. Sabonis)
6:30.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by Y. Ferrell),2,82-86,,
6:09.0,,,82-88,2,L. Stephenson makes 2-pt shot from 9 ft
5:55.0,Turnover by Y. Ferrell (bad pass; steal by L. Stephenson),,82-88,,
5:47.0,,,82-88,,D. Collison misses 3-pt shot from 22 ft
5:44.0,,,82-88,,Offensive rebound by D. Sabonis
5:39.0,,,82-88,,D. Sabonis misses 2-pt shot from 2 ft (block by Y. Ferrell)
5:36.0,Defensive rebound by Y. Ferrell,,82-88,,
5:25.0,D. Nowitzki makes 2-pt shot from 10 ft (assist by J. Barea),2,84-88,,
5:23.0,,,84-88,,Indiana full timeout
5:23.0,,,84-88,,M. Turner enters the game for D. Sabonis
5:23.0,D. Smith enters the game for J. Barea,,84-88,,
5:23.0,W. Matthews enters the game for D. Harris,,84-88,,
5:23.0,H. Barnes enters the game for D. Nowitzki,,84-88,,
5:00.0,,,84-90,2,L. Stephenson makes 2-pt shot from 6 ft
4:40.0,Y. Ferrell makes 2-pt shot from 18 ft,2,86-90,,
4:40.0,,,86-90,,Away from play foul by L. Stephenson (drawn by D. Powell)
4:40.0,,,86-90,,Turnover by L. Stephenson (turnover)
4:40.0,D. Powell makes free throw 1 of 1,1,87-90,,
4:23.0,,,87-90,,M. Turner misses 2-pt shot from 7 ft
4:21.0,,,87-90,,Offensive rebound by L. Stephenson
4:19.0,,,87-90,,L. Stephenson misses 2-pt shot from 12 ft
4:19.0,Defensive rebound by D. Smith,,87-90,,
4:14.0,D. Smith makes 2-pt shot from 2 ft,2,89-90,,
3:54.0,,,89-90,,D. Collison misses 2-pt shot from 18 ft
3:54.0,Defensive rebound by D. Smith,,89-90,,
3:48.0,Turnover by D. Smith (lost ball; steal by D. Collison),,89-90,,
3:37.0,,,89-90,,Indiana full timeout
3:37.0,,,89-90,,B. Bogdanovic enters the game for T. Young
3:27.0,,,89-90,,D. Collison misses 2-pt shot from 16 ft
3:22.0,Defensive rebound by H. Barnes,,89-90,,
3:18.0,H. Barnes makes 2-pt shot from 16 ft,2,91-90,,
2:54.0,,,91-90,,M. Turner misses 2-pt shot from 8 ft
2:51.0,Defensive rebound by H. Barnes,,91-90,,
2:39.0,H. Barnes misses 3-pt shot from 27 ft,,91-90,,
2:37.0,,,91-90,,Defensive rebound by L. Stephenson
2:28.0,,,91-90,,L. Stephenson misses 3-pt shot from 27 ft
2:25.0,Defensive rebound by D. Smith,,91-90,,
2:09.0,Y. Ferrell makes 3-pt shot from 24 ft (assist by W. Matthews),3,94-90,,
1:50.0,,,94-90,,M. Turner misses 2-pt shot from 2 ft
1:50.0,,,94-90,,Offensive rebound by Team
1:46.0,,,94-92,2,B. Bogdanovic makes 2-pt shot from 17 ft (assist by C. Joseph)
1:34.0,D. Smith misses 3-pt shot from 26 ft,,94-92,,
1:30.0,,,94-92,,Defensive rebound by B. Bogdanovic
1:10.0,,,94-92,,B. Bogdanovic misses 3-pt shot from 26 ft
1:08.0,,,94-92,,Offensive rebound by L. Stephenson
1:04.0,,,94-92,,Indiana full timeout
0:53.0,,,94-94,2,L. Stephenson makes 2-pt shot from 1 ft
0:37.0,Shooting foul by B. Bogdanovic (drawn by H. Barnes),,94-94,,
0:37.0,H. Barnes misses free throw 1 of 2,,94-94,,
0:37.0,Offensive rebound by Team,,94-94,,
0:37.0,,,94-94,,T. Young enters the game for B. Bogdanovic
0:37.0,H. Barnes makes free throw 2 of 2,1,95-94,,
0:28.0,,,95-94,,Turnover by L. Stephenson (lost ball; steal by W. Matthews)
0:25.0,D. Smith makes 2-pt shot from 2 ft,2,97-94,,
0:25.0,,,97-94,,Indiana full timeout
0:25.0,,,97-94,,B. Bogdanovic enters the game for T. Young
0:07.0,,,97-94,,D. Collison misses 3-pt shot from 28 ft
0:04.0,Defensive rebound by Y. Ferrell,,97-94,,
0:03.0,,,97-94,,Personal take foul by C. Joseph (drawn by Y. Ferrell)
0:03.0,Y. Ferrell makes free throw 1 of 2,1,98-94,,
0:03.0,Y. Ferrell misses free throw 2 of 2,,98-94,,
0:02.0,,,98-94,,Defensive rebound by L. Stephenson
0:01.0,,,98-94,,L. Stephenson misses 3-pt shot from 73 ft
0:01.0,,,98-94,,Offensive rebound by Team
