time,Oklahoma City,pts.away,score,pts.home,LA Clippers
5:40.0,,,110-100,,J. Evans enters the game for W. Johnson
5:33.0,,,110-103,3,L. Williams makes 3-pt shot from 23 ft (assist by B. Griffin)
5:17.0,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook),3,113-103,,
5:04.0,,,113-105,2,B. Griffin makes 2-pt shot from 2 ft (assist by L. Williams)
4:47.0,R. Felton misses 3-pt shot from 23 ft,,113-105,,
4:46.0,Offensive rebound by R. Westbrook,,113-105,,
4:46.0,R. Westbrook makes 2-pt shot at rim,2,115-105,,
4:46.0,Shooting foul by J. Evans (drawn by R. Westbrook),,115-105,,
4:46.0,R. Westbrook makes free throw 1 of 1,1,116-105,,
4:36.0,,,116-108,3,B. Griffin makes 3-pt shot from 24 ft (assist by J. Evans)
4:19.0,R. Westbrook makes 2-pt shot from 19 ft,2,118-108,,
4:19.0,Shooting foul by B. Griffin (drawn by R. Westbrook),,118-108,,
4:19.0,,,118-108,,S. Thornwell enters the game for J. Evans
4:19.0,J. Grant enters the game for R. Felton,,118-108,,
4:19.0,R. Westbrook makes free throw 1 of 1,1,119-108,,
4:11.0,,,119-111,3,L. Williams makes 3-pt shot from 26 ft (assist by B. Griffin)
3:50.0,C. Anthony makes 3-pt shot from 24 ft (assist by S. Adams),3,122-111,,
3:43.0,Personal block foul by P. George (drawn by L. Williams),,122-111,,
3:43.0,,,122-112,1,L. Williams makes free throw 1 of 2
3:43.0,,,122-113,1,L. Williams makes free throw 2 of 2
3:26.0,Turnover by R. Westbrook (bad pass),,122-113,,
3:21.0,,,122-113,,L. Williams misses 3-pt shot from 31 ft
3:17.0,Defensive rebound by C. Anthony,,122-113,,
3:14.0,Oklahoma City full timeout,,122-113,,
3:00.0,R. Westbrook misses 2-pt shot from 14 ft,,122-113,,
2:54.0,Offensive rebound by S. Adams,,122-113,,
2:54.0,S. Adams misses 2-pt shot at rim,,122-113,,
2:53.0,,,122-113,,Defensive rebound by B. Griffin
2:41.0,,,122-113,,B. Griffin misses 2-pt shot from 6 ft
2:40.0,,,122-113,,Offensive rebound by Team
2:27.0,,,122-113,,C. Williams misses 3-pt shot from 22 ft
2:23.0,Defensive rebound by P. George,,122-113,,
2:07.0,P. George makes 3-pt shot from 27 ft,3,125-113,,
1:56.0,,,125-115,2,L. Williams makes 2-pt shot from 1 ft
1:38.0,R. Westbrook makes 2-pt shot from 1 ft,2,127-115,,
1:38.0,,,127-115,,LA Clippers full timeout
1:31.0,,,127-115,,D. Jordan misses 2-pt shot from 2 ft
1:31.0,Defensive rebound by S. Adams,,127-115,,
1:11.0,,,127-115,,J. Evans enters the game for C. Williams
1:11.0,,,127-115,,M. Harrell enters the game for L. Williams
1:11.0,,,127-115,,S. Dekker enters the game for B. Griffin
0:53.0,Jump ball: D. Jordan vs. S. Adams (J. Grant gains possession),,,,Jump ball: D. Jordan vs. S. Adams (J. Grant gains possession)
0:46.0,S. Adams misses 2-pt shot from 1 ft (block by S. Thornwell),,127-115,,
0:43.0,,,127-115,,Defensive rebound by S. Thornwell
0:41.0,,,127-115,,J. Evans misses 3-pt shot from 23 ft
0:41.0,,,127-115,,Offensive rebound by J. Evans
0:34.0,,,127-117,2,J. Evans makes 2-pt shot at rim
0:19.0,R. Westbrook misses 2-pt shot from 16 ft,,127-117,,
0:17.0,Offensive rebound by Team,,127-117,,
0:17.0,,,127-117,,W. Reed enters the game for D. Jordan
