time,Golden State,pts.away,score,pts.home,Washington
2:46.0,,,97-91,2,M. Morris makes 2-pt shot from 17 ft (assist by O. Porter)
2:24.0,K. Durant makes 2-pt shot from 1 ft,2,99-91,,
2:11.0,,,99-91,,K. Oubre misses 3-pt shot from 25 ft
2:07.0,Defensive rebound by D. Green,,99-91,,
2:03.0,A. Iguodala makes 2-pt shot from 1 ft (assist by D. Green),2,101-91,,
1:51.0,,,101-91,,O. Porter misses 2-pt shot at rim
1:49.0,,,101-91,,Offensive rebound by O. Porter
1:49.0,,,101-93,2,O. Porter makes 2-pt shot from 1 ft
1:34.0,K. Durant makes 2-pt shot at rim (assist by S. Curry),2,103-93,,
1:24.0,,,103-95,2,O. Porter makes 2-pt shot from 16 ft (assist by M. Morris)
1:04.0,K. Durant misses 2-pt shot from 20 ft (block by K. Oubre),,103-95,,
1:00.0,,,103-95,,Defensive rebound by B. Beal
0:59.0,,,103-97,2,K. Oubre makes 2-pt shot from 4 ft (assist by B. Beal)
0:51.0,,,103-97,,Personal foul by M. Morris (drawn by A. Iguodala)
0:51.0,A. Iguodala makes free throw 1 of 2,1,104-97,,
0:51.0,A. Iguodala makes free throw 2 of 2,1,105-97,,
0:35.0,,,105-97,,B. Beal misses 2-pt shot from 2 ft
0:29.0,,,105-97,,Offensive rebound by K. Oubre
0:25.0,Personal foul by D. Green (drawn by K. Oubre),,105-97,,
0:25.0,,,105-98,1,K. Oubre makes free throw 1 of 2
0:25.0,,,105-99,1,K. Oubre makes free throw 2 of 2
0:23.0,,,105-99,,Personal foul by K. Oubre (drawn by S. Curry)
0:23.0,S. Curry makes free throw 1 of 2,1,106-99,,
0:23.0,S. Curry makes free throw 2 of 2,1,107-99,,
0:17.0,,,107-101,2,T. Satoransky makes 2-pt shot from 3 ft
0:15.0,,,107-101,,Personal foul by T. Satoransky (drawn by S. Curry)
0:15.0,S. Curry makes free throw 1 of 2,1,108-101,,
0:15.0,S. Curry makes free throw 2 of 2,1,109-101,,
0:02.0,,,109-101,,K. Oubre misses 3-pt shot from 24 ft
0:02.0,Defensive rebound by S. Curry,,109-101,,
