time,Cleveland,pts.away,score,pts.home,Boston
0:32.0,Defensive rebound by T. Thompson,,44-53,,
0:13.0,L. James misses 3-pt shot from 25 ft,,44-53,,
0:11.0,Offensive rebound by Team,,44-53,,
0:11.0,,,44-53,,T. Rozier enters the game for K. Irving
0:11.0,Turnover by J. Green (bad pass; steal by M. Smart),,44-53,,
0:07.0,,,44-55,2,T. Rozier makes 2-pt shot at rim (assist by M. Smart)
0:02.0,J. Smith makes 3-pt shot from 25 ft (assist by T. Thompson),3,47-55,,
0:00.0,,,47-55,,T. Rozier misses 3-pt shot from 44 ft
0:00.0,,,47-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,K. Love makes 2-pt shot from 1 ft (assist by L. James),2,49-55,,
11:22.0,,,49-57,2,J. Tatum makes 2-pt shot from 15 ft (assist by A. Horford)
11:04.0,K. Love misses 3-pt shot from 25 ft,,49-57,,
11:02.0,,,49-57,,Defensive rebound by K. Irving
10:52.0,,,49-57,,Turnover by K. Irving (bad pass; steal by L. James)
10:51.0,Turnover by L. James (bad pass; steal by M. Morris),,49-57,,
10:46.0,,,49-60,3,J. Brown makes 3-pt shot from 24 ft (assist by M. Morris)
10:33.0,J. Crowder misses 3-pt shot from 24 ft,,49-60,,
10:31.0,Offensive rebound by J. Calderon,,49-60,,
10:18.0,J. Crowder misses 2-pt shot from 3 ft (block by M. Morris),,49-60,,
10:18.0,Offensive rebound by Team,,49-60,,
10:11.0,J. Calderon makes 3-pt shot from 24 ft (assist by K. Love),3,52-60,,
9:47.0,,,52-63,3,A. Horford makes 3-pt shot from 23 ft (assist by J. Tatum)
9:25.0,K. Love misses 2-pt shot from 3 ft,,52-63,,
9:21.0,,,52-63,,Defensive rebound by J. Brown
9:18.0,,,52-66,3,J. Tatum makes 3-pt shot from 26 ft (assist by J. Brown)
9:17.0,Cleveland full timeout,,52-66,,
9:17.0,T. Thompson enters the game for K. Love,,52-66,,
9:05.0,L. James misses 2-pt shot from 21 ft,,52-66,,
9:02.0,,,52-66,,Defensive rebound by K. Irving
8:57.0,,,52-66,,K. Irving misses 2-pt shot from 6 ft (block by T. Thompson)
8:54.0,Defensive rebound by J. Smith,,52-66,,
8:46.0,Turnover by L. James (bad pass; steal by J. Brown),,52-66,,
8:46.0,Personal foul by J. Smith (drawn by J. Brown),,52-66,,
8:33.0,,,52-68,2,J. Tatum makes 2-pt shot from 13 ft
8:14.0,Offensive foul by J. Crowder (drawn by K. Irving),,52-68,,
8:14.0,Turnover by J. Crowder (offensive foul),,52-68,,
7:59.0,,,52-68,,J. Brown misses 3-pt shot from 22 ft
7:56.0,Defensive rebound by J. Smith,,52-68,,
7:50.0,L. James misses 2-pt shot from 18 ft,,52-68,,
7:46.0,,,52-68,,Defensive rebound by J. Tatum
7:44.0,,,52-68,,Shooting foul by J. Smith (drawn by J. Tatum)
7:44.0,,,52-69,1,J. Tatum makes free throw 1 of 2
7:44.0,,,52-70,1,J. Tatum makes free throw 2 of 2
7:26.0,L. James makes 2-pt shot at rim (assist by J. Smith),2,54-70,,
7:26.0,Shooting foul by M. Morris (drawn by L. James),,54-70,,
7:26.0,L. James makes free throw 1 of 1,1,55-70,,
7:13.0,,,55-72,2,A. Horford makes 2-pt shot from 1 ft (assist by K. Irving)
6:59.0,J. Calderon misses 3-pt shot from 26 ft,,55-72,,
6:57.0,,,55-72,,Defensive rebound by M. Morris
6:47.0,,,55-72,,K. Irving misses 3-pt shot from 26 ft
6:44.0,Defensive rebound by L. James,,55-72,,
6:36.0,J. Crowder misses 3-pt shot from 23 ft,,55-72,,
6:32.0,,,55-72,,Defensive rebound by K. Irving
6:31.0,,,55-72,,Turnover by A. Horford (bad pass; steal by J. Calderon)
6:24.0,Turnover by J. Smith (bad pass),,55-72,,
6:21.0,Violation by L. James (def goaltending),,55-72,,
6:21.0,,,55-74,2,K. Irving makes 2-pt shot from 4 ft
6:21.0,,,55-74,,Shooting foul by J. Calderon (drawn by K. Irving)
6:21.0,J. Green enters the game for J. Calderon,,55-74,,
6:21.0,,,55-75,1,K. Irving makes free throw 1 of 1
6:01.0,J. Smith makes 2-pt shot from 16 ft,2,57-75,,
5:51.0,,,57-75,,K. Irving misses 2-pt shot from 4 ft
5:50.0,Defensive rebound by J. Green,,57-75,,
5:45.0,,,57-75,,Personal foul by J. Tatum (drawn by J. Green)
5:45.0,,,57-75,,M. Smart enters the game for J. Tatum
5:45.0,,,57-75,,S. Ojeleye enters the game for M. Morris
5:35.0,J. Smith makes 2-pt shot from 14 ft,2,59-75,,
5:15.0,,,59-75,,S. Ojeleye misses 3-pt shot from 23 ft
5:12.0,Defensive rebound by J. Crowder,,59-75,,
5:05.0,J. Smith misses 2-pt shot from 7 ft,,59-75,,
5:02.0,,,59-75,,Defensive rebound by M. Smart
4:54.0,,,59-75,,J. Brown misses 3-pt shot from 23 ft
4:52.0,Defensive rebound by J. Smith,,59-75,,
4:49.0,,,59-75,,Personal foul by K. Irving (drawn by T. Thompson)
4:49.0,K. Korver enters the game for J. Smith,,59-75,,
4:45.0,K. Korver misses 2-pt shot from 18 ft,,59-75,,
4:42.0,,,59-75,,Defensive rebound by J. Brown
4:38.0,,,59-75,,S. Ojeleye misses 3-pt shot from 26 ft
4:34.0,Defensive rebound by T. Thompson,,59-75,,
4:17.0,L. James misses 2-pt shot from 17 ft,,59-75,,
4:15.0,,,59-75,,Defensive rebound by K. Irving
4:09.0,,,59-77,2,J. Brown makes 2-pt shot from 6 ft
4:02.0,Shooting foul by A. Horford (drawn by J. Green),,59-77,,
4:02.0,J. Green makes free throw 1 of 2,1,60-77,,
4:02.0,D. Wade enters the game for J. Crowder,,60-77,,
4:02.0,J. Green makes free throw 2 of 2,1,61-77,,
3:42.0,,,61-77,,J. Brown misses 3-pt shot from 26 ft
3:41.0,,,61-77,,Offensive rebound by A. Horford
3:41.0,Personal foul by J. Green (drawn by A. Horford),,61-77,,
3:34.0,,,61-77,,S. Ojeleye misses 3-pt shot from 23 ft
