time,San Antonio,pts.away,score,pts.home,Washington
4:19.0,K. Anderson makes free throw 2 of 2,1,88-107,,
4:06.0,,,88-107,,J. Meeks misses 3-pt shot from 24 ft
4:03.0,Defensive rebound by Team,,88-107,,
4:03.0,,,88-107,,Loose ball foul by I. Mahinmi
4:03.0,,,88-107,,Technical foul by I. Mahinmi
4:03.0,B. Forbes makes technical free throw,1,89-107,,
4:03.0,B. Paul misses free throw 1 of 2,,89-107,,
4:03.0,Offensive rebound by Team,,89-107,,
4:03.0,B. Paul misses free throw 2 of 2,,89-107,,
4:00.0,,,89-107,,Defensive rebound by K. Oubre
3:43.0,,,89-110,3,R. Sessions makes 3-pt shot from 25 ft (assist by K. Oubre)
3:30.0,Shooting foul by K. Oubre (drawn by J. Lauvergne),,89-110,,
3:30.0,J. Lauvergne makes free throw 1 of 2,1,90-110,,
3:30.0,,,90-110,,T. Frazier enters the game for K. Oubre
3:30.0,J. Lauvergne misses free throw 2 of 2,,90-110,,
3:29.0,,,90-110,,Defensive rebound by J. Smith
3:14.0,,,90-110,,J. Smith misses 3-pt shot from 23 ft
3:10.0,Defensive rebound by B. Forbes,,90-110,,
3:05.0,D. Bertans makes 3-pt shot from 28 ft (assist by B. Forbes),3,93-110,,
2:49.0,,,93-110,,Turnover by R. Sessions (bad pass)
2:49.0,San Antonio full timeout,,93-110,,
2:31.0,Turnover by J. Lauvergne (bad pass),,93-110,,
2:15.0,,,93-110,,J. Meeks misses 3-pt shot from 26 ft
2:11.0,Defensive rebound by J. Lauvergne,,93-110,,
2:07.0,B. Forbes makes 2-pt shot from 2 ft,2,95-110,,
2:07.0,Shooting foul by T. Frazier (drawn by B. Forbes),,95-110,,
2:07.0,B. Forbes makes free throw 1 of 1,1,96-110,,
1:58.0,,,96-110,,I. Mahinmi misses 2-pt shot from 1 ft (block by K. Anderson)
1:58.0,Defensive rebound by K. Anderson,,96-110,,
1:48.0,D. Bertans misses 3-pt shot from 25 ft,,96-110,,
1:44.0,,,96-110,,Defensive rebound by R. Sessions
1:44.0,Personal foul by K. Anderson (drawn by R. Sessions),,96-110,,
1:44.0,,,96-111,1,R. Sessions makes free throw 1 of 2
1:44.0,,,96-112,1,R. Sessions makes free throw 2 of 2
1:35.0,K. Anderson makes 2-pt shot from 15 ft,2,98-112,,
1:34.0,Loose ball foul by K. Anderson (drawn by R. Sessions),,98-112,,
1:34.0,,,98-113,1,R. Sessions makes free throw 1 of 2
1:34.0,,,98-113,,R. Sessions misses free throw 2 of 2
1:30.0,Defensive rebound by K. Anderson,,98-113,,
1:27.0,B. Forbes makes 2-pt shot from 2 ft (assist by K. Anderson),2,100-113,,
1:10.0,Personal foul by D. Bertans (drawn by T. Frazier),,100-113,,
1:10.0,,,100-113,,T. Frazier misses free throw 1 of 2
1:10.0,,,100-113,,Offensive rebound by Team
1:10.0,,,100-114,1,T. Frazier makes free throw 2 of 2
1:03.0,B. Paul misses 2-pt shot from 4 ft,,100-114,,
1:03.0,Offensive rebound by J. Lauvergne,,100-114,,
1:03.0,J. Lauvergne makes 2-pt shot at rim,2,102-114,,
0:39.0,,,102-114,,Turnover by R. Sessions (bad pass; steal by K. Anderson)
0:36.0,K. Anderson makes 2-pt shot from 2 ft (assist by B. Paul),2,104-114,,
0:15.0,,,104-116,2,J. Meeks makes 2-pt shot from 16 ft
0:08.0,B. Paul makes 2-pt shot from 19 ft (assist by B. Forbes),2,106-116,,
