time,Utah,pts.away,score,pts.home,Washington
0:28.0,,,104-102,,B. Beal misses 3-pt shot from 24 ft
0:25.0,Defensive rebound by J. Johnson,,104-102,,
0:23.0,,,104-102,,Personal take foul by O. Porter (drawn by J. Johnson)
0:23.0,J. Johnson makes free throw 1 of 2,1,105-102,,
0:23.0,J. Johnson makes free throw 2 of 2,1,106-102,,
0:15.0,,,106-104,2,K. Oubre makes 2-pt shot at rim (assist by J. Wall)
0:09.0,,,106-104,,Personal take foul by K. Oubre (drawn by J. Johnson)
0:09.0,J. Johnson makes free throw 1 of 2,1,107-104,,
0:09.0,J. Johnson misses free throw 2 of 2,,107-104,,
0:07.0,,,107-104,,Defensive rebound by M. Gortat
0:07.0,,,107-104,,Washington full timeout
0:07.0,T. Sefolosha enters the game for J. Johnson,,107-104,,
0:02.0,,,107-104,,Turnover by B. Beal (lost ball; steal by E. Udoh)
