time,Utah,pts.away,score,pts.home,New Orleans
2:39.0,,,123-103,,M. James enters the game for R. Rondo
2:24.0,,,123-103,,I. Clark misses 3-pt shot from 26 ft
2:21.0,Defensive rebound by E. Udoh,,123-103,,
2:14.0,R. Hood makes 2-pt shot from 14 ft,2,125-103,,
2:04.0,,,125-103,,M. James misses 2-pt shot from 11 ft
2:00.0,Defensive rebound by J. Jerebko,,125-103,,
1:52.0,E. Udoh makes 2-pt shot at rim (assist by J. Jerebko),2,127-103,,
1:50.0,Personal foul by R. O'Neale (drawn by I. Clark),,127-103,,
1:50.0,E. McCree enters the game for R. Hood,,127-103,,
1:35.0,,,127-103,,M. James misses 2-pt shot from 18 ft
1:29.0,,,127-103,,Offensive rebound by E. Okafor
1:25.0,,,127-105,2,I. Clark makes 2-pt shot from 7 ft
1:18.0,,,127-105,,Personal foul by D. Liggins (drawn by R. Neto)
1:18.0,R. Neto makes free throw 1 of 2,1,128-105,,
1:18.0,R. Neto makes free throw 2 of 2,1,129-105,,
1:09.0,,,129-107,2,I. Clark makes 2-pt shot from 11 ft
0:56.0,R. O'Neale makes 2-pt shot from 6 ft,2,131-107,,
0:49.0,,,131-107,,C. Diallo misses 2-pt shot from 5 ft (block by E. Udoh)
0:46.0,Defensive rebound by R. Neto,,131-107,,
0:45.0,E. McCree misses 2-pt shot from 1 ft (block by D. Liggins),,131-107,,
0:45.0,Offensive rebound by Team,,131-107,,
0:34.0,J. Jerebko misses 3-pt shot from 23 ft,,131-107,,
0:30.0,Offensive rebound by E. Udoh,,131-107,,
0:18.0,R. O'Neale makes 2-pt shot at rim (assist by J. Jerebko),2,133-107,,
0:03.0,,,133-109,2,E. Okafor makes 2-pt shot from 1 ft (assist by M. James)
