time,LA Clippers,pts.away,score,pts.home,New York
6:31.0,B. Griffin makes free throw 2 of 2,1,74-90,,
6:19.0,Personal foul by B. Griffin,,74-90,,
6:19.0,Technical foul by B. Griffin,,74-90,,
6:19.0,A. Rivers enters the game for P. Beverley,,74-90,,
6:19.0,,,74-91,1,K. Porzingis makes technical free throw
6:06.0,,,74-91,,R. Sessions misses 3-pt shot from 25 ft
6:05.0,Defensive rebound by D. Jordan,,74-91,,
5:47.0,J. Evans misses 2-pt shot from 21 ft,,74-91,,
5:46.0,,,74-91,,Defensive rebound by Team
5:46.0,,,74-91,,E. Kanter enters the game for K. O'Quinn
5:28.0,,,74-94,3,D. McDermott makes 3-pt shot from 25 ft (assist by K. Porzingis)
5:17.0,,,74-94,,Personal foul by E. Kanter (drawn by B. Griffin)
5:17.0,L. Williams enters the game for A. Rivers,,74-94,,
5:17.0,B. Griffin makes free throw 1 of 2,1,75-94,,
5:17.0,B. Griffin makes free throw 2 of 2,1,76-94,,
5:00.0,,,76-94,,K. Porzingis misses 2-pt shot from 12 ft
4:56.0,Defensive rebound by J. Evans,,76-94,,
4:51.0,B. Griffin misses 2-pt shot from 1 ft,,76-94,,
4:49.0,,,76-94,,Defensive rebound by E. Kanter
4:46.0,Personal foul by B. Griffin (drawn by K. Porzingis),,76-94,,
4:46.0,C. Williams enters the game for B. Griffin,,76-94,,
4:46.0,S. Dekker enters the game for W. Johnson,,76-94,,
4:46.0,,,76-95,1,K. Porzingis makes free throw 1 of 2
4:46.0,,,76-95,,D. Dotson enters the game for T. Hardaway
4:46.0,,,76-96,1,K. Porzingis makes free throw 2 of 2
4:26.0,J. Evans misses 2-pt shot from 14 ft,,76-96,,
4:23.0,Offensive rebound by D. Jordan,,76-96,,
4:23.0,D. Jordan makes 2-pt shot at rim,2,78-96,,
4:11.0,,,78-96,,K. Porzingis misses 2-pt shot from 14 ft
4:07.0,,,78-96,,Offensive rebound by E. Kanter
3:58.0,,,78-96,,Shooting foul by D. Jordan (drawn by R. Sessions)
3:58.0,,,78-96,,W. Hernangomez enters the game for E. Kanter
3:58.0,W. Reed enters the game for D. Jordan,,78-96,,
3:58.0,S. Thornwell enters the game for L. Williams,,78-96,,
3:58.0,,,78-97,1,R. Sessions makes free throw 1 of 2
3:58.0,,,78-98,1,R. Sessions makes free throw 2 of 2
3:58.0,,,78-98,,M. Beasley enters the game for K. Porzingis
3:52.0,,,78-98,,Personal foul by M. Beasley (drawn by W. Reed)
3:52.0,W. Reed makes free throw 1 of 2,1,79-98,,
3:52.0,W. Reed makes free throw 2 of 2,1,80-98,,
3:32.0,,,80-100,2,M. Beasley makes 2-pt shot from 12 ft
3:22.0,,,80-100,,Personal foul by W. Hernangomez (drawn by W. Reed)
3:22.0,W. Reed misses free throw 1 of 2,,80-100,,
3:22.0,Offensive rebound by Team,,80-100,,
3:22.0,W. Reed makes free throw 2 of 2,1,81-100,,
2:59.0,,,81-103,3,W. Hernangomez makes 3-pt shot from 25 ft (assist by D. Dotson)
2:39.0,S. Dekker misses 3-pt shot from 26 ft,,81-103,,
2:37.0,,,81-103,,Defensive rebound by D. McDermott
2:22.0,,,81-105,2,M. Beasley makes 2-pt shot from 1 ft (assist by R. Sessions)
2:08.0,Turnover by J. Evans (bad pass; steal by R. Sessions),,81-105,,
2:03.0,,,81-105,,Turnover by M. Beasley (bad pass; steal by C. Williams)
1:56.0,C. Williams misses 2-pt shot from 21 ft,,81-105,,
1:55.0,,,81-105,,Defensive rebound by M. Beasley
1:39.0,,,81-105,,Shooting foul by J. Evans (drawn by R. Sessions)
1:39.0,LA Clippers full timeout,,81-105,,
1:39.0,,,81-105,,K. O'Quinn enters the game for D. McDermott
1:39.0,J. Wilson enters the game for S. Dekker,,81-105,,
1:39.0,,,81-106,1,R. Sessions makes free throw 1 of 2
1:39.0,,,81-107,1,R. Sessions makes free throw 2 of 2
1:29.0,S. Thornwell misses 2-pt shot from 22 ft,,81-107,,
1:28.0,Offensive rebound by S. Thornwell,,81-107,,
1:24.0,C. Williams misses 3-pt shot from 24 ft,,81-107,,
1:23.0,,,81-107,,Defensive rebound by K. O'Quinn
1:02.0,,,81-107,,Turnover by M. Beasley (traveling)
0:52.0,J. Evans makes 2-pt shot from 1 ft,2,83-107,,
0:35.0,,,83-107,,M. Beasley misses 2-pt shot from 12 ft
0:34.0,Defensive rebound by J. Wilson,,83-107,,
0:21.0,W. Reed makes 2-pt shot from 13 ft (assist by C. Williams),2,85-107,,
