time,Indiana,pts.away,score,pts.home,San Antonio
0:29.0,Jump ball: D. Murray vs. V. Oladipo (T. Young gains possession),,,,Jump ball: D. Murray vs. V. Oladipo (T. Young gains possession)
0:29.0,,,92-81,,Turnover by D. Murray (turnover; steal by V. Oladipo)
0:26.0,Turnover by C. Joseph (lost ball; steal by K. Anderson),,92-81,,
0:23.0,,,92-84,3,B. Forbes makes 3-pt shot from 24 ft (assist by K. Anderson)
0:23.0,Indiana full timeout,,92-84,,
0:23.0,D. Sabonis enters the game for T. Young,,92-84,,
0:17.0,Turnover by V. Oladipo (lost ball; steal by K. Anderson),,92-84,,
0:12.0,,,92-84,,D. Murray misses 2-pt shot from 1 ft
0:12.0,,,92-84,,Offensive rebound by D. Murray
0:12.0,Personal foul by B. Bogdanovic (drawn by D. Murray),,92-84,,
0:12.0,,,92-85,1,D. Murray makes free throw 1 of 2
0:12.0,T. Young enters the game for B. Bogdanovic,,92-85,,
0:12.0,,,92-86,1,D. Murray makes free throw 2 of 2
0:10.0,,,92-86,,Personal foul by B. Paul (drawn by D. Collison)
0:09.0,,,92-86,,Personal foul by D. Murray (drawn by V. Oladipo)
0:09.0,V. Oladipo makes free throw 1 of 2,1,93-86,,
0:09.0,V. Oladipo makes free throw 2 of 2,1,94-86,,
0:01.0,,,94-86,,K. Anderson misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by V. Oladipo,,94-86,,
