time,Cleveland,pts.away,score,pts.home,Charlotte
5:15.0,J. Green makes 2-pt shot at rim,2,107-97,,
4:58.0,,,107-99,2,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by K. Walker)
4:38.0,C. Frye misses 3-pt shot from 26 ft,,107-99,,
4:36.0,,,107-99,,Defensive rebound by M. Kidd-Gilchrist
4:17.0,,,107-99,,F. Kaminsky misses 2-pt shot from 3 ft
4:13.0,Defensive rebound by L. James,,107-99,,
4:09.0,J. Green misses 2-pt shot from 1 ft,,107-99,,
4:06.0,,,107-99,,Defensive rebound by M. Kidd-Gilchrist
3:59.0,,,107-99,,Shooting foul by K. Korver (drawn by N. Batum)
3:59.0,,,107-100,1,N. Batum makes free throw 1 of 2
3:59.0,,,107-100,,M. Williams enters the game for F. Kaminsky
3:59.0,J. Smith enters the game for C. Frye,,107-100,,
3:59.0,K. Love enters the game for D. Wade,,107-100,,
3:59.0,,,107-100,,N. Batum misses free throw 2 of 2
3:56.0,Defensive rebound by J. Smith,,107-100,,
3:37.0,K. Love makes 2-pt shot from 2 ft (assist by L. James),2,109-100,,
3:26.0,,,109-102,2,K. Walker makes 2-pt shot from 1 ft
3:26.0,,,109-102,,Shooting foul by K. Love (drawn by K. Walker)
3:26.0,,,109-102,,K. Walker misses free throw 1 of 1
3:23.0,Defensive rebound by K. Love,,109-102,,
3:10.0,L. James misses 3-pt shot from 28 ft,,109-102,,
3:07.0,,,109-102,,Defensive rebound by N. Batum
3:03.0,,,109-102,,Turnover by N. Batum (bad pass; steal by L. James)
2:56.0,L. James makes 2-pt shot from 1 ft,2,111-102,,
2:48.0,Personal foul by K. Love (drawn by D. Howard),,111-102,,
2:42.0,,,111-102,,K. Walker misses 2-pt shot from 20 ft
2:38.0,,,111-102,,Offensive rebound by D. Howard
2:38.0,,,111-102,,Shooting foul by K. Korver (drawn by D. Howard)
2:38.0,,,111-102,,D. Howard misses free throw 1 of 2
2:38.0,,,111-102,,Offensive rebound by Team
2:38.0,,,111-103,1,D. Howard makes free throw 2 of 2
2:14.0,L. James misses 2-pt shot from 2 ft,,111-103,,
2:12.0,Offensive rebound by K. Love,,111-103,,
2:11.0,K. Love misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist),,111-103,,
2:11.0,,,111-103,,Defensive rebound by D. Howard
2:05.0,,,111-103,,N. Batum misses 3-pt shot from 26 ft
2:05.0,Defensive rebound by J. Smith,,111-103,,
2:03.0,Cleveland full timeout,,111-103,,
1:40.0,L. James misses 3-pt shot from 25 ft,,111-103,,
1:32.0,,,111-103,,Defensive rebound by K. Walker
1:28.0,,,111-105,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by N. Batum)
1:04.0,L. James misses 2-pt shot from 12 ft,,111-105,,
1:02.0,Offensive rebound by J. Green,,111-105,,
1:02.0,J. Green makes 2-pt shot at rim,2,113-105,,
0:53.0,,,113-105,,Turnover by N. Batum (bad pass; steal by J. Smith)
0:31.0,L. James misses 2-pt shot from 12 ft,,113-105,,
0:31.0,Offensive rebound by Team,,113-105,,
0:31.0,Turnover by Team (shot clock),,113-105,,
0:31.0,,,113-105,,Charlotte full timeout
0:31.0,,,113-105,,F. Kaminsky enters the game for M. Williams
0:31.0,J. Crowder enters the game for L. James,,113-105,,
0:31.0,I. Shumpert enters the game for K. Love,,113-105,,
0:25.0,,,113-105,,N. Batum misses 3-pt shot from 25 ft
0:24.0,Defensive rebound by Team,,113-105,,
0:24.0,,,113-105,,Loose ball foul by D. Howard (drawn by J. Green)
0:24.0,,,113-105,,M. Williams enters the game for D. Howard
0:21.0,,,113-105,,Personal foul by M. Williams (drawn by K. Korver)
0:21.0,K. Korver makes free throw 1 of 2,1,114-105,,
0:21.0,K. Korver makes free throw 2 of 2,1,115-105,,
0:14.0,,,115-107,2,M. Kidd-Gilchrist makes 2-pt shot at rim
