time,Miami,pts.away,score,pts.home,Washington
2:45.0,,,84-77,1,B. Beal makes free throw 1 of 2
2:45.0,,,84-78,1,B. Beal makes free throw 2 of 2
2:31.0,D. Waiters misses 2-pt shot from 22 ft,,84-78,,
2:26.0,,,84-78,,Defensive rebound by B. Beal
2:24.0,,,84-80,2,M. Gortat makes 2-pt shot at rim (assist by B. Beal)
1:57.0,G. Dragic misses 3-pt shot from 27 ft,,84-80,,
1:54.0,,,84-80,,Defensive rebound by B. Beal
1:48.0,,,84-80,,K. Oubre misses 3-pt shot from 24 ft
1:43.0,,,84-80,,Offensive rebound by M. Gortat
1:42.0,,,84-80,,B. Beal misses 3-pt shot from 25 ft
1:40.0,Defensive rebound by G. Dragic,,84-80,,
1:18.0,J. Johnson misses 2-pt shot from 5 ft,,84-80,,
1:18.0,Offensive rebound by H. Whiteside,,84-80,,
1:18.0,H. Whiteside makes 2-pt shot at rim,2,86-80,,
1:11.0,,,86-83,3,J. Wall makes 3-pt shot from 27 ft (assist by B. Beal)
1:10.0,Miami full timeout,,86-83,,
0:56.0,D. Waiters makes 3-pt shot from 28 ft,3,89-83,,
0:46.0,,,89-86,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
0:22.0,D. Waiters misses 3-pt shot from 28 ft,,89-86,,
0:17.0,,,89-86,,Defensive rebound by O. Porter
