time,Washington,pts.away,score,pts.home,Sacramento
2:20.0,C. McCullough makes 2-pt shot from 1 ft (assist by T. Satoransky),2,108-76,,
2:02.0,,,108-78,2,M. Richardson makes 2-pt shot from 5 ft (assist by J. Sampson)
1:56.0,Turnover by J. Meeks (out of bounds lost ball),,108-78,,
1:42.0,,,108-78,,F. Mason misses 2-pt shot from 19 ft
1:39.0,Defensive rebound by C. McCullough,,108-78,,
1:32.0,J. Meeks misses 3-pt shot from 25 ft,,108-78,,
1:27.0,Offensive rebound by C. McCullough,,108-78,,
1:27.0,C. McCullough misses 2-pt shot from 3 ft (block by J. Jackson),,108-78,,
1:27.0,,,108-78,,Defensive rebound by J. Sampson
1:18.0,,,108-78,,M. Richardson misses 3-pt shot from 24 ft
1:18.0,Defensive rebound by T. Frazier,,108-78,,
1:14.0,J. Meeks makes 2-pt shot from 1 ft (assist by T. Frazier),2,110-78,,
1:01.0,,,110-78,,Shooting foul by T. Satoransky (drawn by J. Sampson)
1:01.0,,,110-79,1,J. Sampson makes free throw 1 of 2
1:01.0,,,110-80,1,J. Sampson makes free throw 2 of 2
0:45.0,J. Smith misses 2-pt shot from 3 ft,,110-80,,
0:40.0,Offensive rebound by J. Smith,,110-80,,
0:38.0,T. Frazier misses 3-pt shot from 26 ft,,110-80,,
0:38.0,,,110-80,,Defensive rebound by M. Richardson
0:27.0,,,110-83,3,J. Jackson makes 3-pt shot from 23 ft (assist by M. Richardson)
0:02.0,Turnover by Team (shot clock),,110-83,,
0:00.0,,,110-83,,F. Mason misses 3-pt shot from 25 ft
0:00.0,,,110-83,,Offensive rebound by Team
