time,Dallas,pts.away,score,pts.home,Phoenix
5:49.0,,,73-86,,Offensive rebound by Team
5:49.0,,,73-87,1,T. Chandler makes free throw 2 of 2
5:39.0,W. Matthews misses 3-pt shot from 26 ft,,73-87,,
5:37.0,,,73-87,,Defensive rebound by Team
5:37.0,,,73-87,,D. Bender enters the game for J. Dudley
5:29.0,,,73-89,2,D. Booker makes 2-pt shot from 17 ft
5:26.0,Dallas full timeout,,73-89,,
5:26.0,,,73-89,,T. Warren enters the game for D. House
5:26.0,H. Barnes enters the game for D. Nowitzki,,73-89,,
5:16.0,W. Matthews misses 2-pt shot from 21 ft,,73-89,,
5:13.0,,,73-89,,Defensive rebound by T. Chandler
4:58.0,,,73-91,2,J. Jackson makes 2-pt shot from 10 ft
4:44.0,H. Barnes makes 3-pt shot from 25 ft (assist by D. Smith),3,76-91,,
4:16.0,,,76-91,,D. Booker misses 3-pt shot from 25 ft
4:14.0,Defensive rebound by D. Smith,,76-91,,
4:04.0,D. Smith makes 2-pt shot at rim,2,78-91,,
4:04.0,,,78-91,,Phoenix full timeout
4:04.0,,,78-91,,M. Chriss enters the game for T. Chandler
3:50.0,,,78-91,,Turnover by J. Jackson (bad pass; steal by H. Barnes)
3:42.0,D. Smith misses 2-pt shot from 1 ft (block by J. Jackson),,78-91,,
3:42.0,Offensive rebound by Team,,78-91,,
3:40.0,Y. Ferrell makes 3-pt shot from 22 ft (assist by D. Smith),3,81-91,,
3:20.0,,,81-91,,Turnover by J. Jackson (bad pass; steal by D. Smith)
3:17.0,D. Smith makes 3-pt shot from 25 ft,3,84-91,,
3:16.0,,,84-91,,Phoenix full timeout
3:16.0,,,84-91,,T. Daniels enters the game for J. Jackson
3:08.0,,,84-93,2,D. Booker makes 2-pt shot from 2 ft
3:08.0,,,84-93,,Shooting foul by W. Matthews (drawn by D. Booker)
3:08.0,,,84-94,1,D. Booker makes free throw 1 of 1
3:00.0,W. Matthews misses 2-pt shot from 1 ft,,84-94,,
2:59.0,,,84-94,,Defensive rebound by D. Bender
2:59.0,Technical foul by W. Matthews,,84-94,,
2:59.0,,,84-95,1,D. Booker makes technical free throw
2:51.0,,,84-95,,Offensive charge foul by M. Chriss (drawn by Y. Ferrell)
2:51.0,,,84-95,,Turnover by M. Chriss (offensive foul)
2:44.0,W. Matthews misses 2-pt shot from 19 ft,,84-95,,
2:41.0,,,84-95,,Defensive rebound by D. Booker
2:26.0,,,84-97,2,T. Warren makes 2-pt shot from 4 ft (assist by D. Bender)
2:26.0,Dallas full timeout,,84-97,,
2:26.0,K. Collinsworth enters the game for W. Matthews,,84-97,,
2:13.0,Y. Ferrell misses 3-pt shot from 25 ft,,84-97,,
2:09.0,,,84-97,,Defensive rebound by T. Warren
1:53.0,,,84-97,,Turnover by D. Bender (bad pass; steal by D. Powell)
1:50.0,K. Collinsworth makes 2-pt shot at rim (assist by D. Smith),2,86-97,,
1:33.0,,,86-97,,D. Booker misses 2-pt shot from 21 ft
1:30.0,Defensive rebound by D. Powell,,86-97,,
1:16.0,Turnover by Y. Ferrell (bad pass; steal by D. Booker),,86-97,,
0:56.0,,,86-100,3,M. Chriss makes 3-pt shot from 22 ft (assist by D. Booker)
0:49.0,D. Smith makes 2-pt shot from 20 ft,2,88-100,,
0:27.0,,,88-102,2,M. Chriss makes 2-pt shot at rim (assist by D. Booker)
0:21.0,D. Smith misses 3-pt shot from 24 ft,,88-102,,
0:16.0,,,88-102,,Defensive rebound by M. Chriss
