time,Golden State,pts.away,score,pts.home,Chicago
4:21.0,P. McCaw misses 2-pt shot from 1 ft (block by N. Mirotic),,112-101,,
4:18.0,,,112-101,,Defensive rebound by K. Dunn
4:15.0,,,112-101,,K. Dunn misses 2-pt shot from 5 ft
4:13.0,,,112-101,,Offensive rebound by D. Nwaba
4:12.0,,,112-101,,N. Mirotic misses 3-pt shot from 26 ft
4:12.0,Defensive rebound by S. Curry,,112-101,,
4:02.0,Turnover by S. Curry (bad pass; steal by D. Nwaba),,112-101,,
3:59.0,,,112-103,2,D. Nwaba makes 2-pt shot from 1 ft
3:59.0,Golden State full timeout,,112-103,,
3:59.0,K. Thompson enters the game for D. West,,112-103,,
3:59.0,K. Looney enters the game for N. Young,,112-103,,
3:35.0,K. Thompson misses 2-pt shot from 1 ft,,112-103,,
3:33.0,,,112-103,,Defensive rebound by L. Markkanen
3:25.0,,,112-105,2,N. Mirotic makes 2-pt shot from 2 ft (assist by L. Markkanen)
2:59.0,Turnover by K. Thompson (lost ball; steal by K. Dunn),,112-105,,
2:55.0,,,112-107,2,K. Dunn makes 2-pt shot from 1 ft
2:52.0,,,112-107,,Personal take foul by L. Markkanen (drawn by K. Thompson)
2:52.0,,,112-107,,Chicago full timeout
2:52.0,,,112-107,,D. Valentine enters the game for K. Dunn
2:35.0,K. Thompson makes 2-pt shot from 1 ft (assist by K. Looney),2,114-107,,
2:16.0,,,114-107,,J. Holiday misses 3-pt shot from 25 ft
2:16.0,,,114-107,,Offensive rebound by L. Markkanen
2:14.0,,,114-107,,L. Markkanen misses 2-pt shot from 1 ft
2:14.0,Defensive rebound by P. McCaw,,114-107,,
1:57.0,K. Durant makes 2-pt shot from 5 ft,2,116-107,,
1:57.0,Shooting foul by D. Nwaba (drawn by K. Durant),,116-107,,
1:57.0,K. Durant makes free throw 1 of 1,1,117-107,,
1:36.0,,,117-110,3,L. Markkanen makes 3-pt shot from 25 ft (assist by D. Valentine)
1:13.0,K. Durant misses 2-pt shot from 18 ft,,117-110,,
1:10.0,,,117-110,,Defensive rebound by D. Valentine
1:06.0,,,117-110,,L. Markkanen misses 3-pt shot from 23 ft
1:03.0,,,117-110,,Offensive rebound by D. Nwaba
0:59.0,,,117-110,,D. Valentine misses 3-pt shot from 23 ft
0:59.0,,,117-110,,Offensive rebound by D. Valentine
0:50.0,,,117-110,,J. Holiday misses 3-pt shot from 22 ft
0:50.0,,,117-110,,Offensive rebound by N. Mirotic
0:50.0,,,117-112,2,N. Mirotic makes 2-pt shot at rim
0:28.0,Turnover by S. Curry (lost ball; steal by D. Nwaba),,117-112,,
0:24.0,,,117-112,,L. Markkanen misses 3-pt shot from 25 ft
0:21.0,Defensive rebound by Team,,117-112,,
0:21.0,Golden State full timeout,,117-112,,
0:21.0,S. Livingston enters the game for K. Looney,,117-112,,
0:17.0,,,117-112,,Personal foul by L. Markkanen (drawn by K. Thompson)
0:17.0,K. Thompson makes free throw 1 of 2,1,118-112,,
0:17.0,,,118-112,,R. Lopez enters the game for D. Valentine
0:17.0,K. Looney enters the game for S. Livingston,,118-112,,
0:17.0,K. Thompson makes free throw 2 of 2,1,119-112,,
0:17.0,,,119-112,,Chicago full timeout
0:17.0,,,119-112,,D. Valentine enters the game for R. Lopez
0:17.0,,,119-112,,J. Grant enters the game for D. Nwaba
0:16.0,Personal foul by K. Durant (drawn by L. Markkanen),,119-112,,
0:14.0,,,119-112,,L. Markkanen misses 3-pt shot from 25 ft
0:10.0,Defensive rebound by K. Durant,,119-112,,
