time,Toronto,pts.away,score,pts.home,Charlotte
0:00.0,Offensive rebound by Team,,62-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan),2,64-55,,
11:18.0,,,64-55,,Turnover by D. Howard (lost ball; steal by J. Valanciunas)
11:09.0,J. Valanciunas makes 3-pt shot from 25 ft (assist by D. DeRozan),3,67-55,,
10:51.0,,,67-57,2,M. Williams makes 2-pt shot from 11 ft
10:33.0,Shooting foul by M. Kidd-Gilchrist (drawn by J. Valanciunas),,67-57,,
10:33.0,J. Valanciunas misses free throw 1 of 2,,67-57,,
10:33.0,Offensive rebound by Team,,67-57,,
10:33.0,J. Valanciunas misses free throw 2 of 2,,67-57,,
10:30.0,,,67-57,,Defensive rebound by D. Howard
10:15.0,,,67-57,,N. Batum misses 2-pt shot from 17 ft
10:15.0,,,67-57,,Offensive rebound by M. Williams
10:15.0,,,67-57,,M. Williams misses 2-pt shot at rim
10:15.0,Defensive rebound by J. Valanciunas,,67-57,,
9:57.0,D. DeRozan makes 2-pt shot from 23 ft,2,69-57,,
9:38.0,,,69-57,,K. Walker misses 2-pt shot from 22 ft
9:36.0,Defensive rebound by J. Valanciunas,,69-57,,
9:31.0,J. Valanciunas makes 2-pt shot from 4 ft (assist by D. DeRozan),2,71-57,,
9:14.0,Personal foul by N. Powell (drawn by N. Batum),,71-57,,
9:03.0,,,71-57,,M. Kidd-Gilchrist misses 2-pt shot from 14 ft
9:01.0,Defensive rebound by N. Powell,,71-57,,
8:51.0,D. DeRozan misses 2-pt shot from 4 ft (block by K. Walker),,71-57,,
8:51.0,,,71-57,,Defensive rebound by K. Walker
8:51.0,Personal foul by N. Powell (drawn by K. Walker),,71-57,,
8:28.0,,,71-57,,K. Walker misses 2-pt shot from 9 ft (block by J. Valanciunas)
8:25.0,Defensive rebound by J. Valanciunas,,71-57,,
8:23.0,D. DeRozan misses 2-pt shot from 1 ft,,71-57,,
8:20.0,,,71-57,,Defensive rebound by N. Batum
8:14.0,Personal foul by S. Ibaka (drawn by M. Williams),,71-57,,
8:03.0,,,71-57,,Turnover by K. Walker (traveling)
7:51.0,S. Ibaka misses 3-pt shot from 26 ft,,71-57,,
7:50.0,Offensive rebound by Team,,71-57,,
7:50.0,,,71-57,,Loose ball foul by M. Williams (drawn by K. Lowry)
7:42.0,Offensive foul by D. DeRozan (drawn by M. Kidd-Gilchrist),,71-57,,
7:42.0,Turnover by D. DeRozan (offensive foul),,71-57,,
7:28.0,,,71-57,,N. Batum misses 2-pt shot from 21 ft
7:23.0,Defensive rebound by S. Ibaka,,71-57,,
7:14.0,J. Valanciunas misses 2-pt shot from 4 ft,,71-57,,
7:12.0,,,71-57,,Defensive rebound by M. Williams
7:01.0,,,71-57,,D. Howard misses 2-pt shot from 1 ft (block by S. Ibaka)
6:56.0,,,71-57,,Offensive rebound by N. Batum
6:56.0,,,71-57,,N. Batum misses 2-pt shot at rim
6:55.0,Defensive rebound by N. Powell,,71-57,,
6:54.0,Turnover by S. Ibaka (step out of bounds),,71-57,,
6:54.0,,,71-57,,Charlotte full timeout
6:45.0,,,71-57,,K. Walker misses 2-pt shot from 17 ft
6:42.0,,,71-57,,Offensive rebound by M. Williams
6:42.0,,,71-57,,K. Walker misses 3-pt shot from 25 ft
6:42.0,Defensive rebound by Team,,71-57,,
6:26.0,K. Lowry makes 3-pt shot from 24 ft (assist by D. DeRozan),3,74-57,,
6:05.0,,,74-57,,D. Howard misses 2-pt shot from 5 ft
6:03.0,Defensive rebound by J. Valanciunas,,74-57,,
5:58.0,J. Valanciunas makes 3-pt shot from 25 ft (assist by K. Lowry),3,77-57,,
5:42.0,,,77-57,,K. Walker misses 3-pt shot from 26 ft
5:42.0,Defensive rebound by Team,,77-57,,
5:42.0,,,77-57,,Loose ball foul by D. Howard (drawn by K. Lowry)
5:27.0,K. Lowry makes 3-pt shot from 27 ft (assist by D. DeRozan),3,80-57,,
5:26.0,,,80-57,,Charlotte full timeout
5:14.0,,,80-59,2,M. Kidd-Gilchrist makes 2-pt shot from 19 ft (assist by N. Batum)
4:55.0,J. Valanciunas misses 2-pt shot from 6 ft,,80-59,,
4:53.0,,,80-59,,Defensive rebound by M. Kidd-Gilchrist
4:40.0,,,80-59,,N. Batum misses 2-pt shot from 15 ft
4:38.0,Defensive rebound by S. Ibaka,,80-59,,
4:37.0,,,80-59,,Personal foul by N. Batum (drawn by K. Lowry)
4:29.0,Turnover by S. Ibaka (lost ball; steal by K. Walker),,80-59,,
4:17.0,,,80-61,2,M. Williams makes 2-pt shot from 10 ft (assist by K. Walker)
3:53.0,D. DeRozan makes 2-pt shot from 17 ft (assist by J. Valanciunas),2,82-61,,
3:40.0,,,82-63,2,D. Howard makes 2-pt shot at rim (assist by K. Walker)
3:27.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by D. DeRozan),2,84-63,,
3:13.0,,,84-63,,Shooting foul by J. Valanciunas (drawn by D. Howard)
3:13.0,,,84-64,1,D. Howard makes free throw 1 of 2
3:13.0,,,84-64,,F. Kaminsky enters the game for M. Williams
3:13.0,,,84-64,,J. Lamb enters the game for N. Batum
3:13.0,,,84-64,,D. Howard misses free throw 2 of 2
3:10.0,Defensive rebound by S. Ibaka,,84-64,,
2:55.0,S. Ibaka misses 3-pt shot from 22 ft,,84-64,,
2:52.0,Offensive rebound by K. Lowry,,84-64,,
2:52.0,D. DeRozan makes 3-pt shot from 25 ft (assist by K. Lowry),3,87-64,,
2:40.0,,,87-64,,Shooting foul by N. Powell (drawn by K. Walker)
2:40.0,,,87-65,1,K. Walker makes free throw 1 of 3
2:40.0,,,87-65,,K. Walker misses free throw 2 of 3
2:40.0,,,87-65,,Offensive rebound by Team
2:40.0,,,87-66,1,K. Walker makes free throw 3 of 3
2:24.0,K. Lowry misses 3-pt shot from 25 ft,,87-66,,
2:20.0,,,87-66,,Defensive rebound by D. Howard
2:12.0,,,87-68,2,D. Howard makes 2-pt shot from 2 ft (assist by K. Walker)
2:12.0,,,87-68,,Shooting foul by K. Lowry (drawn by D. Howard)
2:12.0,J. Poeltl enters the game for S. Ibaka,,87-68,,
2:12.0,P. Siakam enters the game for J. Valanciunas,,87-68,,
2:12.0,,,87-69,1,D. Howard makes free throw 1 of 1
1:47.0,D. DeRozan misses 3-pt shot from 24 ft,,87-69,,
1:43.0,,,87-69,,Defensive rebound by D. Howard
1:35.0,,,87-71,2,J. Lamb makes 2-pt shot from 13 ft (assist by K. Walker)
1:29.0,Toronto full timeout,,87-71,,
1:29.0,C. Miles enters the game for K. Lowry,,87-71,,
1:29.0,F. VanVleet enters the game for N. Powell,,87-71,,
1:15.0,J. Poeltl misses 2-pt shot from 12 ft,,87-71,,
1:11.0,,,87-71,,Defensive rebound by D. Howard
0:56.0,,,87-71,,F. Kaminsky misses 3-pt shot from 26 ft
0:56.0,Defensive rebound by Team,,87-71,,
0:40.0,D. DeRozan makes 3-pt shot from 29 ft,3,90-71,,
0:29.0,,,90-74,3,K. Walker makes 3-pt shot from 25 ft
0:08.0,C. Miles misses 3-pt shot from 26 ft,,90-74,,
0:00.0,Offensive rebound by J. Poeltl,,90-74,,
0:00.0,J. Poeltl misses 2-pt shot at rim (block by D. Howard),,90-74,,
0:00.0,,,90-74,,Defensive rebound by K. Walker
0:00.0,,,90-74,,K. Walker misses 2-pt shot from 1 ft (block by D. DeRozan)
0:00.0,Defensive rebound by F. VanVleet,,90-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,90-74,,C. Zeller misses 2-pt shot from 1 ft (block by J. Poeltl)
11:43.0,Defensive rebound by J. Poeltl,,90-74,,
11:40.0,J. Poeltl misses 2-pt shot from 1 ft (block by J. Lamb),,90-74,,
11:40.0,,,90-74,,Defensive rebound by M. Carter-Williams
11:28.0,,,90-74,,J. Lamb misses 3-pt shot from 29 ft
11:26.0,,,90-74,,Offensive rebound by Team
11:22.0,,,90-76,2,J. Lamb makes 2-pt shot at rim (assist by M. Carter-Williams)
11:09.0,,,90-76,,Personal foul by J. Lamb (drawn by D. Wright)
