time,Cleveland,pts.away,score,pts.home,Portland
1:04.0,Loose ball foul by J. Clarkson (drawn by E. Turner),,105-110,,
0:40.0,,,105-110,,C. McCollum misses 3-pt shot from 25 ft
0:38.0,Defensive rebound by L. James,,105-110,,
0:33.0,L. James misses 2-pt shot from 1 ft,,105-110,,
0:31.0,,,105-110,,Defensive rebound by A. Aminu
0:28.0,Personal take foul by G. Hill (drawn by D. Lillard),,105-110,,
0:28.0,,,105-111,1,D. Lillard makes free throw 1 of 2
0:28.0,,,105-112,1,D. Lillard makes technical free throw
0:28.0,,,105-113,1,D. Lillard makes free throw 2 of 2
0:20.0,G. Hill misses 3-pt shot from 23 ft,,105-113,,
0:19.0,,,105-113,,Defensive rebound by E. Turner
