time,Atlanta,pts.away,score,pts.home,Minnesota
3:36.0,,,104-113,1,K. Towns makes free throw 1 of 3
3:36.0,,,104-114,1,K. Towns makes free throw 2 of 3
3:36.0,,,104-115,1,K. Towns makes free throw 3 of 3
3:25.0,Shooting foul by K. Towns (drawn by I. Taylor),,104-115,,
3:25.0,I. Taylor makes free throw 1 of 2,1,105-115,,
3:25.0,,,105-115,,T. Jones enters the game for J. Crawford
3:25.0,I. Taylor makes free throw 2 of 2,1,106-115,,
3:10.0,,,106-115,,K. Towns misses 2-pt shot from 12 ft
3:07.0,Defensive rebound by T. Waller-Prince,,106-115,,
2:58.0,D. Dedmon makes 2-pt shot at rim (assist by T. Waller-Prince),2,108-115,,
2:45.0,,,108-117,2,K. Towns makes 2-pt shot from 2 ft (assist by J. Teague)
2:45.0,,,108-117,,Shooting foul by M. Muscala (drawn by K. Towns)
2:45.0,,,108-118,1,K. Towns makes free throw 1 of 1
2:30.0,T. Waller-Prince misses 3-pt shot from 25 ft,,108-118,,
2:27.0,Offensive rebound by I. Taylor,,108-118,,
2:26.0,D. Dedmon misses 2-pt shot from 17 ft,,108-118,,
2:23.0,,,108-118,,Defensive rebound by K. Towns
2:08.0,,,108-121,3,J. Teague makes 3-pt shot from 23 ft (assist by K. Towns)
2:07.0,Atlanta full timeout,,108-121,,
1:56.0,,,108-121,,Personal foul by J. Teague (drawn by I. Taylor)
1:56.0,I. Taylor misses free throw 1 of 2,,108-121,,
1:56.0,Offensive rebound by Team,,108-121,,
1:56.0,I. Taylor makes free throw 2 of 2,1,109-121,,
1:43.0,,,109-121,,J. Teague misses 3-pt shot from 24 ft
1:41.0,Defensive rebound by D. Dedmon,,109-121,,
1:35.0,,,109-121,,Personal foul by K. Towns (drawn by M. Muscala)
1:35.0,M. Muscala makes free throw 1 of 2,1,110-121,,
1:35.0,M. Muscala makes free throw 2 of 2,1,111-121,,
1:16.0,,,111-124,3,K. Towns makes 3-pt shot from 22 ft (assist by T. Jones)
1:02.0,T. Waller-Prince makes 3-pt shot from 22 ft (assist by I. Taylor),3,114-124,,
0:44.0,,,114-124,,Shooting foul by M. Muscala (drawn by K. Towns)
0:44.0,,,114-125,1,K. Towns makes free throw 1 of 2
0:44.0,,,114-126,1,K. Towns makes free throw 2 of 2
0:30.0,Turnover by T. Waller-Prince (bad pass),,114-126,,
0:23.0,,,114-126,,A. Wiggins misses 3-pt shot from 26 ft
0:20.0,Defensive rebound by D. Dedmon,,114-126,,
