time,Golden State,pts.away,score,pts.home,Indiana
3:59.0,,,94-119,,T. Booker enters the game for T. Young
3:55.0,Shooting foul by D. Sabonis (drawn by Z. Pachulia),,94-119,,
3:55.0,Z. Pachulia makes free throw 1 of 2,1,95-119,,
3:55.0,,,95-119,,G. Robinson enters the game for B. Bogdanovic
3:55.0,Z. Pachulia misses free throw 2 of 2,,95-119,,
3:55.0,,,95-119,,Defensive rebound by D. Sabonis
3:40.0,,,95-119,,T. Booker misses 2-pt shot from 10 ft
3:37.0,Defensive rebound by J. Bell,,95-119,,
3:32.0,,,95-119,,Personal foul by D. Sabonis (drawn by Z. Pachulia)
3:27.0,Q. Cook makes 2-pt shot from 1 ft (assist by J. Bell),2,97-119,,
3:06.0,,,97-119,,G. Robinson misses 3-pt shot from 25 ft
3:03.0,Defensive rebound by Z. Pachulia,,97-119,,
3:03.0,,,97-119,,T. Leaf enters the game for D. Sabonis
2:51.0,Q. Cook makes 3-pt shot from 25 ft,3,100-119,,
2:33.0,,,100-119,,J. Young misses 2-pt shot from 17 ft
2:31.0,,,100-119,,Offensive rebound by T. Booker
2:30.0,,,100-121,2,T. Booker makes 2-pt shot from 1 ft
2:26.0,,,100-121,,Personal foul by T. Booker (drawn by Z. Pachulia)
2:26.0,Z. Pachulia makes free throw 1 of 2,1,101-121,,
2:26.0,Z. Pachulia makes free throw 2 of 2,1,102-121,,
2:10.0,,,102-123,2,J. Young makes 2-pt shot at rim
1:53.0,Turnover by Q. Cook (bad pass; steal by G. Robinson),,102-123,,
1:36.0,,,102-123,,Offensive charge foul by J. Young (drawn by Z. Pachulia)
1:36.0,,,102-123,,Turnover by J. Young (offensive foul)
1:23.0,Z. Pachulia makes 2-pt shot from 6 ft,2,104-123,,
1:05.0,,,104-126,3,J. Young makes 3-pt shot from 27 ft (assist by G. Robinson)
0:52.0,Q. Cook makes 2-pt shot from 22 ft,2,106-126,,
0:29.0,,,106-126,,T. Booker misses 3-pt shot from 26 ft
0:25.0,Defensive rebound by N. Young,,106-126,,
0:17.0,Q. Cook misses 3-pt shot from 27 ft,,106-126,,
0:13.0,,,106-126,,Defensive rebound by T. Leaf
