time,Oklahoma City,pts.away,score,pts.home,Utah
10:55.0,Defensive rebound by R. Westbrook,,38-44,,
10:53.0,Shooting foul by D. Mitchell (drawn by R. Westbrook),,38-44,,
10:53.0,R. Westbrook misses free throw 1 of 2,,38-44,,
10:53.0,Offensive rebound by Team,,38-44,,
10:53.0,R. Westbrook misses free throw 2 of 2,,38-44,,
10:53.0,,,38-44,,Defensive rebound by R. Gobert
10:37.0,Def 3 sec tech foul by S. Adams,,38-44,,
10:37.0,,,38-45,1,R. Rubio makes technical free throw
10:29.0,,,38-45,,R. Rubio misses 2-pt shot from 15 ft
10:25.0,Defensive rebound by R. Westbrook,,38-45,,
10:21.0,P. George makes 3-pt shot from 24 ft (assist by R. Westbrook),3,41-45,,
9:55.0,,,41-48,3,R. Rubio makes 3-pt shot from 22 ft (assist by R. Gobert)
9:40.0,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook),3,44-48,,
9:24.0,,,44-51,3,J. Ingles makes 3-pt shot from 22 ft
9:13.0,P. George misses 3-pt shot from 25 ft,,44-51,,
9:10.0,,,44-51,,Defensive rebound by R. Gobert
9:04.0,,,44-51,,J. Ingles misses 3-pt shot from 28 ft
9:01.0,Defensive rebound by P. George,,44-51,,
8:50.0,Turnover by P. George (lost ball; steal by R. Gobert),,44-51,,
8:47.0,,,44-53,2,J. Ingles makes 2-pt shot from 1 ft (assist by D. Mitchell)
8:47.0,Oklahoma City full timeout,,44-53,,
8:47.0,Technical foul by S. Adams,,44-53,,
8:47.0,,,44-53,,A. Burks enters the game for D. Mitchell
8:47.0,,,44-54,1,R. Rubio makes technical free throw
8:34.0,R. Westbrook misses 2-pt shot from 17 ft,,44-54,,
8:31.0,,,44-54,,Defensive rebound by J. Ingles
8:17.0,,,44-56,2,R. Gobert makes 2-pt shot from 2 ft (assist by J. Ingles)
7:54.0,C. Anthony makes 3-pt shot from 25 ft (assist by P. George),3,47-56,,
7:32.0,,,47-58,2,A. Burks makes 2-pt shot from 17 ft
7:19.0,C. Anthony misses 3-pt shot from 25 ft,,47-58,,
7:17.0,,,47-58,,Defensive rebound by R. Rubio
7:08.0,,,47-58,,Turnover by R. Rubio (bad pass; steal by R. Westbrook)
6:51.0,C. Anthony misses 2-pt shot from 20 ft,,47-58,,
6:47.0,,,47-58,,Defensive rebound by R. Rubio
6:37.0,Personal foul by C. Anthony (drawn by R. Rubio),,47-58,,
6:37.0,A. Abrines enters the game for A. Roberson,,47-58,,
6:24.0,,,47-58,,R. Rubio misses 2-pt shot from 16 ft
6:21.0,,,47-58,,Offensive rebound by R. Gobert
6:15.0,Personal foul by C. Anthony (drawn by R. Gobert),,47-58,,
