time,Portland,pts.away,score,pts.home,Milwaukee
5:09.0,Defensive rebound by C. McCollum,,99-101,,
5:01.0,M. Harkless misses 2-pt shot from 1 ft,,99-101,,
4:58.0,,,99-101,,Defensive rebound by G. Antetokounmpo
4:49.0,,,99-103,2,G. Antetokounmpo makes 2-pt shot from 2 ft
4:49.0,,,99-103,,Shooting foul by E. Turner (drawn by G. Antetokounmpo)
4:49.0,,,99-104,1,G. Antetokounmpo makes free throw 1 of 1
4:31.0,C. McCollum misses 2-pt shot from 17 ft,,99-104,,
4:29.0,,,99-104,,Defensive rebound by J. Henson
4:25.0,,,99-104,,J. Henson misses 2-pt shot from 1 ft
4:21.0,Defensive rebound by E. Turner,,99-104,,
4:19.0,Turnover by E. Turner (bad pass; steal by T. Snell),,99-104,,
4:14.0,,,99-106,2,M. Brogdon makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
4:14.0,Portland full timeout,,99-106,,
4:02.0,J. Nurkic misses 2-pt shot from 3 ft (block by J. Henson),,99-106,,
3:57.0,,,99-106,,Defensive rebound by J. Henson
3:47.0,,,99-106,,J. Henson misses 2-pt shot from 1 ft (block by J. Nurkic)
3:42.0,,,99-106,,Offensive rebound by T. Snell
3:36.0,,,99-106,,D. Liggins misses 3-pt shot from 23 ft
3:32.0,Defensive rebound by E. Turner,,99-106,,
3:28.0,D. Lillard makes 2-pt shot from 1 ft,2,101-106,,
3:09.0,,,101-108,2,G. Antetokounmpo makes 2-pt shot from 17 ft (assist by M. Brogdon)
2:45.0,J. Nurkic makes 2-pt shot from 7 ft,2,103-108,,
2:30.0,,,103-108,,M. Brogdon misses 2-pt shot at rim
2:26.0,Defensive rebound by C. McCollum,,103-108,,
2:19.0,J. Nurkic makes 2-pt shot from 13 ft (assist by D. Lillard),2,105-108,,
2:02.0,,,105-108,,T. Snell misses 3-pt shot from 25 ft
2:00.0,,,105-108,,Offensive rebound by J. Henson
1:56.0,,,105-108,,Shooting foul by E. Turner (drawn by G. Antetokounmpo)
1:56.0,,,105-108,,G. Antetokounmpo misses free throw 1 of 2
1:56.0,,,105-108,,Offensive rebound by Team
1:56.0,,,105-108,,K. Middleton enters the game for D. Liggins
1:56.0,,,105-109,1,G. Antetokounmpo makes free throw 2 of 2
1:35.0,D. Lillard makes 3-pt shot from 27 ft,3,108-109,,
1:25.0,,,108-109,,K. Middleton misses 2-pt shot from 4 ft
1:23.0,,,108-109,,Offensive rebound by J. Henson
1:11.0,,,108-109,,M. Brogdon misses 2-pt shot from 17 ft
1:08.0,Defensive rebound by J. Nurkic,,108-109,,
0:57.0,Shooting foul by J. Henson (drawn by D. Lillard),,108-109,,
0:57.0,D. Lillard makes free throw 1 of 2,1,109-109,,
0:57.0,D. Lillard makes free throw 2 of 2,1,110-109,,
0:57.0,,,110-109,,Milwaukee full timeout
0:46.0,,,110-109,,K. Middleton misses 2-pt shot from 15 ft
0:43.0,Defensive rebound by J. Nurkic,,110-109,,
0:31.0,Turnover by D. Lillard (lost ball; steal by G. Antetokounmpo),,110-109,,
0:31.0,Personal foul by J. Nurkic (drawn by G. Antetokounmpo),,110-109,,
0:31.0,,,110-109,,G. Antetokounmpo misses free throw 1 of 2
0:31.0,,,110-109,,Offensive rebound by Team
0:31.0,,,110-109,,G. Antetokounmpo misses free throw 2 of 2
0:30.0,Defensive rebound by D. Lillard,,110-109,,
0:30.0,Portland full timeout,,110-109,,
0:12.0,Turnover by C. McCollum (lost ball; steal by G. Antetokounmpo),,110-109,,
0:11.0,,,110-111,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by M. Brogdon)
0:11.0,Portland full timeout,,110-111,,
0:11.0,P. Connaughton enters the game for M. Harkless,,110-111,,
0:04.0,J. Nurkic misses 2-pt shot from 5 ft,,110-111,,
0:03.0,,,110-111,,Defensive rebound by K. Middleton
0:03.0,Personal foul by D. Lillard (drawn by K. Middleton),,110-111,,
0:03.0,,,110-112,1,K. Middleton makes free throw 1 of 2
0:03.0,M. Harkless enters the game for P. Connaughton,,110-112,,
0:03.0,,,110-113,1,K. Middleton makes free throw 2 of 2
0:01.0,Turnover by J. Nurkic (bad pass; steal by M. Brogdon),,110-113,,
