time,Milwaukee,pts.away,score,pts.home,Phoenix
6:46.0,Personal foul by D. Liggins (drawn by G. Monroe),,86-89,,
6:46.0,,,86-89,,Phoenix full timeout
6:42.0,,,86-89,,T. Warren misses 2-pt shot from 10 ft
6:38.0,Defensive rebound by M. Brogdon,,86-89,,
6:35.0,M. Brogdon makes 2-pt shot at rim,2,88-89,,
6:19.0,,,88-92,3,T. Daniels makes 3-pt shot from 24 ft (assist by M. James)
6:02.0,E. Bledsoe misses 2-pt shot from 2 ft (block by G. Monroe),,88-92,,
6:02.0,Offensive rebound by Team,,88-92,,
6:02.0,,,88-92,,D. Booker enters the game for T. Daniels
5:51.0,Turnover by Team (shot clock),,88-92,,
5:43.0,,,88-92,,M. James misses 3-pt shot from 24 ft
5:39.0,Defensive rebound by T. Maker,,88-92,,
5:32.0,T. Maker makes 2-pt shot from 20 ft (assist by E. Bledsoe),2,90-92,,
5:08.0,,,90-92,,G. Monroe misses 2-pt shot from 16 ft
5:05.0,,,90-92,,Offensive rebound by T. Warren
5:01.0,,,90-94,2,T. Warren makes 2-pt shot at rim
4:57.0,M. Brogdon makes 2-pt shot at rim (assist by E. Bledsoe),2,92-94,,
4:38.0,,,92-94,,D. Booker misses 3-pt shot from 25 ft
4:35.0,,,92-94,,Offensive rebound by G. Monroe
4:34.0,,,92-94,,D. Bender misses 2-pt shot from 1 ft
4:34.0,,,92-94,,Offensive rebound by D. Booker
4:27.0,,,92-94,,Turnover by D. Bender (traveling)
4:07.0,T. Maker makes 2-pt shot from 20 ft (assist by M. Brogdon),2,94-94,,
3:46.0,,,94-94,,Shooting foul by M. Brogdon (drawn by G. Monroe)
3:46.0,,,94-95,1,G. Monroe makes free throw 1 of 2
3:46.0,,,94-95,,T. Ulis enters the game for M. James
3:46.0,,,94-96,1,G. Monroe makes free throw 2 of 2
3:24.0,Shooting foul by G. Monroe (drawn by K. Middleton),,94-96,,
3:24.0,K. Middleton makes free throw 1 of 2,1,95-96,,
3:24.0,,,95-96,,T. Chandler enters the game for G. Monroe
3:24.0,K. Middleton makes free throw 2 of 2,1,96-96,,
3:13.0,,,96-96,,T. Ulis misses 3-pt shot from 24 ft
3:09.0,,,96-96,,Offensive rebound by T. Warren
3:08.0,,,96-96,,T. Warren misses 2-pt shot from 1 ft
3:08.0,,,96-96,,Offensive rebound by T. Chandler
3:04.0,,,96-96,,T. Chandler misses 2-pt shot at rim
3:02.0,,,96-96,,Offensive rebound by T. Warren
3:02.0,,,96-96,,T. Warren misses 2-pt shot at rim
3:00.0,Defensive rebound by D. Liggins,,96-96,,
2:51.0,Shooting foul by T. Warren (drawn by E. Bledsoe),,96-96,,
2:51.0,Milwaukee full timeout,,96-96,,
2:51.0,E. Bledsoe misses free throw 1 of 2,,96-96,,
2:51.0,Offensive rebound by Team,,96-96,,
2:51.0,E. Bledsoe makes free throw 2 of 2,1,97-96,,
2:38.0,,,97-96,,D. Booker misses 2-pt shot from 21 ft
2:38.0,Defensive rebound by Team,,97-96,,
2:38.0,,,97-96,,Loose ball foul by D. Bender (drawn by M. Brogdon)
2:25.0,K. Middleton misses 2-pt shot from 8 ft,,97-96,,
2:23.0,,,97-96,,Defensive rebound by T. Chandler
2:07.0,,,97-98,2,D. Booker makes 2-pt shot from 1 ft (assist by D. Bender)
1:51.0,,,97-98,,Personal foul by T. Ulis (drawn by D. Liggins)
1:51.0,,,97-98,,G. Monroe enters the game for T. Chandler
1:48.0,Turnover by D. Liggins (bad pass; steal by D. Bender),,97-98,,
1:39.0,,,97-98,,D. Bender misses 2-pt shot from 1 ft
1:37.0,Defensive rebound by K. Middleton,,97-98,,
1:31.0,Turnover by E. Bledsoe (lost ball; steal by T. Warren),,97-98,,
1:29.0,,,97-98,,Shooting foul by K. Middleton (drawn by T. Warren)
1:29.0,,,97-99,1,T. Warren makes free throw 1 of 2
1:29.0,,,97-99,,T. Warren misses free throw 2 of 2
1:27.0,Defensive rebound by T. Maker,,97-99,,
1:12.0,T. Maker makes 2-pt shot from 15 ft (assist by M. Brogdon),2,99-99,,
0:56.0,,,99-99,,T. Chandler enters the game for G. Monroe
0:55.0,,,99-99,,Turnover by T. Ulis (bad pass)
0:42.0,K. Middleton makes 3-pt shot from 26 ft (assist by D. Liggins),3,102-99,,
0:42.0,,,102-99,,Phoenix full timeout
0:42.0,,,102-99,,G. Monroe enters the game for T. Chandler
0:39.0,,,102-99,,Turnover by T. Ulis (bad pass)
0:22.0,Turnover by E. Bledsoe (lost ball; steal by T. Ulis),,102-99,,
0:15.0,,,102-99,,Turnover by T. Ulis (bad pass; steal by D. Liggins)
0:10.0,Milwaukee full timeout,,102-99,,
0:08.0,,,102-99,,Personal take foul by T. Ulis (drawn by E. Bledsoe)
0:08.0,E. Bledsoe makes free throw 1 of 2,1,103-99,,
0:08.0,E. Bledsoe misses free throw 2 of 2,,103-99,,
0:08.0,,,103-99,,Defensive rebound by D. Bender
0:08.0,,,103-99,,Phoenix full timeout
0:08.0,,,103-99,,T. Daniels enters the game for T. Warren
0:05.0,,,103-99,,Shooting foul by T. Maker (drawn by T. Ulis)
0:05.0,J. Bolomboy enters the game for T. Maker,,103-99,,
0:05.0,,,103-100,1,T. Ulis makes free throw 1 of 3
0:05.0,,,103-101,1,T. Ulis makes free throw 2 of 3
0:05.0,,,103-101,,T. Warren enters the game for D. Bender
0:05.0,,,103-102,1,T. Ulis makes free throw 3 of 3
0:04.0,Milwaukee full timeout,,103-102,,
0:04.0,,,103-102,,M. Chriss enters the game for G. Monroe
0:04.0,,,103-102,,T. Chandler enters the game for T. Daniels
0:04.0,J. Terry enters the game for J. Bolomboy,,103-102,,
0:04.0,,,103-102,,Personal take foul by T. Ulis (drawn by E. Bledsoe)
0:04.0,E. Bledsoe makes free throw 1 of 2,1,104-102,,
0:04.0,J. Bolomboy enters the game for J. Terry,,104-102,,
0:04.0,E. Bledsoe makes free throw 2 of 2,1,105-102,,
0:01.0,,,105-105,3,D. Booker makes 3-pt shot from 28 ft (assist by T. Ulis)
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: G. Monroe vs. J. Bolomboy (K. Middleton gains possession),,,,Jump ball: G. Monroe vs. J. Bolomboy (K. Middleton gains possession)
4:50.0,E. Bledsoe makes 2-pt shot from 16 ft,2,107-105,,
4:28.0,,,107-105,,Turnover by D. Bender (bad pass; steal by E. Bledsoe)
4:14.0,E. Bledsoe misses 2-pt shot from 19 ft,,107-105,,
4:11.0,,,107-105,,Defensive rebound by G. Monroe
4:07.0,Personal foul by E. Bledsoe (drawn by D. Booker),,107-105,,
3:51.0,,,107-105,,Turnover by G. Monroe (lost ball; steal by J. Bolomboy)
3:35.0,K. Middleton misses 3-pt shot from 24 ft,,107-105,,
3:31.0,,,107-105,,Defensive rebound by G. Monroe
3:28.0,Personal foul by K. Middleton (drawn by D. Booker),,107-105,,
3:18.0,,,107-105,,Turnover by D. Bender (bad pass; steal by J. Bolomboy)
2:54.0,D. Liggins misses 3-pt shot from 27 ft,,107-105,,
2:52.0,,,107-105,,Defensive rebound by Team
2:39.0,,,107-105,,D. Booker misses 2-pt shot from 12 ft
2:36.0,Defensive rebound by K. Middleton,,107-105,,
2:26.0,Offensive foul by E. Bledsoe (drawn by T. Ulis),,107-105,,
2:26.0,Turnover by E. Bledsoe (offensive foul),,107-105,,
2:12.0,,,107-107,2,T. Warren makes 2-pt shot from 6 ft
1:54.0,M. Brogdon misses 3-pt shot from 25 ft,,107-107,,
1:51.0,Offensive rebound by J. Bolomboy,,107-107,,
1:28.0,D. Liggins makes 2-pt shot from 22 ft (assist by K. Middleton),2,109-107,,
1:22.0,,,109-107,,D. Booker misses 2-pt shot from 7 ft (block by D. Liggins)
1:19.0,,,109-107,,Offensive rebound by D. Booker
1:19.0,,,109-107,,D. Booker misses 2-pt shot from 2 ft
1:19.0,Defensive rebound by D. Liggins,,109-107,,
1:19.0,,,109-107,,Personal foul by D. Booker (drawn by D. Liggins)
1:08.0,Offensive foul by K. Middleton (drawn by T. Warren),,109-107,,
1:08.0,Turnover by K. Middleton (offensive foul),,109-107,,
0:55.0,,,109-107,,T. Warren misses 2-pt shot from 7 ft
0:53.0,Defensive rebound by K. Middleton,,109-107,,
0:36.0,K. Middleton misses 2-pt shot from 21 ft,,109-107,,
0:33.0,,,109-107,,Defensive rebound by D. Booker
0:29.0,,,109-107,,D. Booker misses 2-pt shot from 1 ft
0:27.0,Defensive rebound by D. Liggins,,109-107,,
0:27.0,Milwaukee full timeout,,109-107,,
0:14.0,E. Bledsoe misses 2-pt shot from 4 ft,,109-107,,
0:13.0,,,109-107,,Defensive rebound by T. Warren
0:13.0,,,109-107,,Phoenix full timeout
0:13.0,,,109-107,,T. Daniels enters the game for T. Ulis
0:07.0,,,109-107,,D. Booker misses 2-pt shot from 11 ft
0:06.0,Defensive rebound by K. Middleton,,109-107,,
0:06.0,,,109-107,,Personal take foul by T. Daniels (drawn by K. Middleton)
0:06.0,K. Middleton makes free throw 1 of 2,1,110-107,,
0:06.0,K. Middleton makes free throw 2 of 2,1,111-107,,
0:06.0,,,111-107,,Phoenix full timeout
0:05.0,,,111-107,,Turnover by D. Bender (bad pass)
0:02.0,,,111-107,,Personal foul by T. Warren (drawn by K. Middleton)
0:02.0,K. Middleton makes free throw 1 of 2,1,112-107,,
0:02.0,K. Middleton makes free throw 2 of 2,1,113-107,,
