time,LA Clippers,pts.away,score,pts.home,Atlanta
1:14.0,,,116-101,,M. Belinelli misses 3-pt shot from 25 ft
1:11.0,,,116-101,,Offensive rebound by J. Collins
1:11.0,,,116-103,2,J. Collins makes 2-pt shot from 2 ft
1:06.0,,,116-103,,Personal take foul by M. Belinelli (drawn by B. Griffin)
1:06.0,,,116-103,,T. Cavanaugh enters the game for M. Belinelli
1:06.0,,,116-103,,D. Bembry enters the game for D. Dedmon
1:06.0,,,116-103,,J. Magette enters the game for D. Schroder
0:51.0,W. Johnson misses 3-pt shot from 24 ft,,116-103,,
0:49.0,,,116-103,,Defensive rebound by D. Bembry
0:41.0,,,116-103,,Turnover by D. Bembry (out of bounds lost ball)
0:17.0,B. Griffin misses 3-pt shot from 25 ft,,116-103,,
0:15.0,,,116-103,,Defensive rebound by J. Collins
