time,Milwaukee,pts.away,score,pts.home,Cleveland
2:19.0,K. Middleton makes 2-pt shot from 19 ft,2,112-118,,
1:53.0,,,112-118,,J. Smith misses 2-pt shot from 12 ft
1:51.0,Defensive rebound by M. Brogdon,,112-118,,
1:37.0,J. Henson makes 2-pt shot from 4 ft (assist by K. Middleton),2,114-118,,
1:22.0,Personal foul by K. Middleton (drawn by L. James),,114-118,,
1:22.0,,,114-119,1,L. James makes free throw 1 of 2
1:22.0,,,114-120,1,L. James makes free throw 2 of 2
1:22.0,Milwaukee full timeout,,114-120,,
1:22.0,M. Teletovic enters the game for J. Henson,,114-120,,
1:12.0,Turnover by G. Antetokounmpo (lost ball; steal by K. Love),,114-120,,
0:51.0,,,114-122,2,L. James makes 2-pt shot from 13 ft
0:44.0,K. Middleton makes 3-pt shot from 25 ft,3,117-122,,
0:19.0,,,117-122,,J. Smith misses 2-pt shot from 11 ft
0:18.0,,,117-122,,Offensive rebound by K. Love
0:18.0,,,117-122,,K. Love misses 2-pt shot at rim
0:18.0,,,117-122,,Offensive rebound by Team
0:18.0,,,117-122,,K. Korver enters the game for I. Shumpert
0:18.0,J. Henson enters the game for M. Teletovic,,117-122,,
0:18.0,Personal foul by G. Antetokounmpo (drawn by J. Smith),,117-122,,
0:18.0,M. Teletovic enters the game for G. Antetokounmpo,,117-122,,
0:18.0,,,117-123,1,J. Smith makes free throw 1 of 2
0:18.0,,,117-123,,J. Crowder enters the game for K. Love
0:18.0,,,117-123,,I. Shumpert enters the game for K. Korver
0:18.0,,,117-123,,J. Smith misses free throw 2 of 2
0:18.0,Defensive rebound by Team,,117-123,,
0:11.0,K. Middleton misses 3-pt shot from 25 ft,,117-123,,
0:08.0,Offensive rebound by M. Brogdon,,117-123,,
0:07.0,M. Brogdon makes 2-pt shot from 1 ft,2,119-123,,
0:06.0,Personal foul by K. Middleton (drawn by L. James),,119-123,,
0:06.0,,,119-124,1,L. James makes free throw 1 of 2
0:06.0,,,119-124,,L. James misses free throw 2 of 2
0:03.0,,,119-124,,Offensive rebound by L. James
