time,Utah,pts.away,score,pts.home,Toronto
4:49.0,,,83-86,,D. DeRozan misses 2-pt shot from 17 ft
4:45.0,,,83-86,,Offensive rebound by J. Valanciunas
4:45.0,,,83-86,,J. Valanciunas misses 2-pt shot at rim
4:44.0,,,83-86,,Offensive rebound by D. DeRozan
4:32.0,,,83-86,,K. Lowry misses 2-pt shot from 3 ft
4:32.0,,,83-86,,Offensive rebound by Team
4:32.0,Loose ball foul by J. Jerebko (drawn by J. Valanciunas),,83-86,,
4:26.0,,,83-86,,Offensive foul by J. Valanciunas (drawn by R. Gobert)
4:26.0,,,83-86,,Turnover by J. Valanciunas (offensive foul)
4:10.0,J. Ingles misses 3-pt shot from 24 ft,,83-86,,
4:08.0,Offensive rebound by Team,,83-86,,
4:01.0,Turnover by J. Ingles (bad pass; steal by D. DeRozan),,83-86,,
4:00.0,,,83-86,,Turnover by K. Lowry (bad pass)
3:43.0,R. Gobert makes 2-pt shot from 1 ft (assist by R. Rubio),2,85-86,,
3:34.0,,,85-86,,Toronto full timeout
3:24.0,,,85-86,,D. DeRozan misses 2-pt shot from 20 ft
3:20.0,,,85-86,,Offensive rebound by J. Valanciunas
3:20.0,,,85-88,2,J. Valanciunas makes 2-pt shot at rim
3:05.0,D. Mitchell misses 2-pt shot from 13 ft,,85-88,,
3:03.0,,,85-88,,Defensive rebound by D. Wright
2:47.0,,,85-90,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. DeRozan)
2:28.0,J. Jerebko misses 2-pt shot from 20 ft,,85-90,,
2:26.0,,,85-90,,Defensive rebound by J. Valanciunas
2:24.0,,,85-90,,Shooting foul by J. Ingles (drawn by K. Lowry)
2:24.0,,,85-90,,K. Lowry misses free throw 1 of 2
2:24.0,,,85-90,,Offensive rebound by Team
2:24.0,D. Favors enters the game for J. Jerebko,,85-90,,
2:24.0,,,85-91,1,K. Lowry makes free throw 2 of 2
2:09.0,D. Favors misses 2-pt shot from 1 ft (block by J. Valanciunas),,85-91,,
2:06.0,Offensive rebound by D. Favors,,85-91,,
2:05.0,D. Favors makes 2-pt shot at rim,2,87-91,,
1:42.0,,,87-91,,K. Lowry misses 3-pt shot from 31 ft
1:40.0,Defensive rebound by R. Rubio,,87-91,,
1:25.0,J. Ingles makes 3-pt shot from 25 ft (assist by R. Rubio),3,90-91,,
1:20.0,,,90-91,,Toronto full timeout
1:20.0,,,90-91,,C. Miles enters the game for D. Wright
1:17.0,Personal foul by J. Ingles (drawn by J. Valanciunas),,90-91,,
1:17.0,,,90-92,1,J. Valanciunas makes free throw 1 of 2
1:17.0,,,90-92,,D. Wright enters the game for C. Miles
1:17.0,J. Johnson enters the game for D. Favors,,90-92,,
1:17.0,,,90-93,1,J. Valanciunas makes free throw 2 of 2
1:08.0,D. Mitchell misses 2-pt shot from 5 ft (block by K. Lowry),,90-93,,
1:04.0,,,90-93,,Defensive rebound by D. Wright
0:45.0,,,90-93,,K. Lowry misses 2-pt shot from 11 ft
0:43.0,Defensive rebound by D. Mitchell,,90-93,,
0:40.0,Shooting foul by K. Lowry (drawn by D. Mitchell),,90-93,,
0:40.0,D. Mitchell makes free throw 1 of 2,1,91-93,,
0:40.0,D. Mitchell makes free throw 2 of 2,1,92-93,,
0:23.0,,,92-93,,D. DeRozan misses 2-pt shot from 12 ft
0:19.0,Defensive rebound by J. Ingles,,92-93,,
0:05.0,R. Rubio makes 3-pt shot from 25 ft (assist by D. Mitchell),3,95-93,,
0:04.0,,,95-93,,Toronto full timeout
0:04.0,,,95-93,,C. Miles enters the game for J. Valanciunas
0:04.0,R. O'Neale enters the game for J. Johnson,,95-93,,
0:02.0,,,95-93,,D. DeRozan misses 2-pt shot from 13 ft
0:01.0,Defensive rebound by R. O'Neale,,95-93,,
0:01.0,,,95-93,,Personal take foul by K. Lowry (drawn by R. O'Neale)
0:01.0,R. O'Neale makes free throw 1 of 2,1,96-93,,
0:01.0,,,96-93,,J. Valanciunas enters the game for S. Ibaka
0:01.0,R. O'Neale makes free throw 2 of 2,1,97-93,,
0:00.0,,,97-93,,Turnover by K. Lowry (bad pass; steal by R. Gobert)
