time,Boston,pts.away,score,pts.home,Houston
10:25.0,A. Baynes makes 2-pt shot at rim,2,68-62,,
10:02.0,,,68-62,,C. Paul misses 3-pt shot from 23 ft
9:59.0,,,68-62,,Offensive rebound by T. Ariza
9:36.0,,,68-62,,C. Paul misses 2-pt shot from 15 ft
9:36.0,,,68-62,,Offensive rebound by Team
9:36.0,,,68-62,,Turnover by Team (shot clock)
9:20.0,K. Irving misses 2-pt shot at rim,,68-62,,
9:20.0,Offensive rebound by A. Baynes,,68-62,,
9:20.0,Shooting foul by C. Paul (drawn by A. Baynes),,68-62,,
9:20.0,A. Baynes makes free throw 1 of 2,1,69-62,,
9:20.0,A. Baynes makes free throw 2 of 2,1,70-62,,
9:08.0,,,70-65,3,P. Tucker makes 3-pt shot from 23 ft (assist by C. Paul)
8:52.0,,,70-65,,Personal foul by P. Tucker (drawn by A. Horford)
8:38.0,A. Horford misses 2-pt shot from 14 ft,,70-65,,
8:35.0,,,70-65,,Defensive rebound by P. Tucker
8:20.0,,,70-65,,Shooting foul by A. Baynes (drawn by C. Capela)
8:20.0,,,70-66,1,C. Capela makes free throw 1 of 2
8:20.0,M. Smart enters the game for J. Brown,,70-66,,
8:20.0,,,70-67,1,C. Capela makes free throw 2 of 2
8:10.0,K. Irving makes 2-pt shot from 15 ft,2,72-67,,
7:53.0,,,72-67,,C. Paul misses 3-pt shot from 24 ft
7:52.0,Defensive rebound by J. Tatum,,72-67,,
7:41.0,J. Tatum makes 2-pt shot from 18 ft,2,74-67,,
7:34.0,Personal foul by M. Smart (drawn by J. Harden),,74-67,,
7:22.0,,,74-67,,Offensive charge foul by J. Harden (drawn by A. Baynes)
7:22.0,,,74-67,,Turnover by J. Harden (offensive foul)
7:22.0,,,74-67,,E. Gordon enters the game for C. Paul
7:06.0,A. Baynes misses 2-pt shot from 10 ft,,74-67,,
7:04.0,,,74-67,,Defensive rebound by C. Capela
6:59.0,,,74-67,,T. Ariza misses 3-pt shot from 23 ft
6:56.0,Defensive rebound by A. Horford,,74-67,,
6:52.0,,,74-67,,Houston full timeout
6:52.0,,,74-67,,L. Mbah a Moute enters the game for P. Tucker
6:40.0,M. Smart misses 3-pt shot from 23 ft,,74-67,,
6:37.0,Offensive rebound by A. Horford,,74-67,,
6:33.0,J. Tatum misses 2-pt shot from 17 ft,,74-67,,
6:31.0,,,74-67,,Defensive rebound by J. Harden
6:22.0,,,74-70,3,E. Gordon makes 3-pt shot from 24 ft (assist by L. Mbah a Moute)
5:57.0,Turnover by A. Horford (bad pass; steal by J. Harden),,74-70,,
5:53.0,,,74-73,3,T. Ariza makes 3-pt shot from 22 ft (assist by E. Gordon)
5:51.0,Boston full timeout,,74-73,,
5:51.0,M. Morris enters the game for J. Tatum,,74-73,,
5:51.0,J. Brown enters the game for A. Baynes,,74-73,,
5:28.0,J. Brown misses 3-pt shot from 24 ft,,74-73,,
5:25.0,,,74-73,,Defensive rebound by J. Harden
5:17.0,,,74-73,,J. Harden misses 2-pt shot from 15 ft
5:14.0,Defensive rebound by M. Morris,,74-73,,
5:06.0,J. Brown misses 2-pt shot from 3 ft (block by J. Harden),,74-73,,
5:04.0,,,74-73,,Defensive rebound by J. Harden
5:02.0,,,74-73,,Turnover by J. Harden (bad pass; steal by K. Irving)
4:58.0,K. Irving misses 2-pt shot from 1 ft (block by L. Mbah a Moute),,74-73,,
4:57.0,Offensive rebound by M. Smart,,74-73,,
4:57.0,M. Smart misses 2-pt shot from 1 ft,,74-73,,
4:57.0,Offensive rebound by Team,,74-73,,
4:41.0,M. Smart misses 2-pt shot from 10 ft,,74-73,,
4:41.0,,,74-73,,Defensive rebound by C. Capela
4:37.0,,,74-73,,Shooting foul by M. Morris (drawn by L. Mbah a Moute)
4:37.0,Technical foul by M. Morris,,74-73,,
4:37.0,,,74-74,1,J. Harden makes technical free throw
4:37.0,,,74-75,1,L. Mbah a Moute makes free throw 1 of 2
4:37.0,,,74-75,,N. Hilario enters the game for C. Capela
4:37.0,G. Monroe enters the game for A. Horford,,74-75,,
4:37.0,,,74-76,1,L. Mbah a Moute makes free throw 2 of 2
4:27.0,K. Irving misses 3-pt shot from 23 ft,,74-76,,
4:25.0,,,74-76,,Defensive rebound by E. Gordon
4:17.0,,,74-76,,N. Hilario misses 2-pt shot from 13 ft
4:15.0,Defensive rebound by G. Monroe,,74-76,,
4:07.0,G. Monroe makes 2-pt shot at rim (assist by K. Irving),2,76-76,,
3:50.0,,,76-79,3,E. Gordon makes 3-pt shot from 25 ft
3:28.0,K. Irving makes 3-pt shot from 26 ft,3,79-79,,
3:08.0,,,79-79,,Turnover by L. Mbah a Moute (bad pass)
3:08.0,,,79-79,,J. Johnson enters the game for T. Ariza
2:52.0,K. Irving misses 2-pt shot from 4 ft,,79-79,,
2:51.0,,,79-79,,Defensive rebound by N. Hilario
2:46.0,,,79-81,2,J. Harden makes 2-pt shot at rim
2:26.0,M. Smart makes 2-pt shot from 9 ft,2,81-81,,
2:25.0,,,81-82,1,J. Harden makes technical free throw
2:25.0,,,81-82,,C. Paul enters the game for J. Harden
2:07.0,,,81-82,,J. Johnson misses 2-pt shot from 17 ft
2:05.0,,,81-82,,Offensive rebound by N. Hilario
2:03.0,,,81-82,,L. Mbah a Moute misses 2-pt shot from 17 ft
2:00.0,Defensive rebound by K. Irving,,81-82,,
1:48.0,M. Smart misses 2-pt shot at rim,,81-82,,
1:46.0,,,81-82,,Defensive rebound by N. Hilario
1:36.0,,,81-84,2,N. Hilario makes 2-pt shot from 3 ft (assist by J. Johnson)
1:26.0,M. Smart makes 2-pt shot at rim (assist by K. Irving),2,83-84,,
1:15.0,Violation by G. Monroe (kicked ball),,83-84,,
1:15.0,T. Rozier enters the game for K. Irving,,83-84,,
1:09.0,,,83-84,,N. Hilario misses 2-pt shot from 1 ft
1:07.0,,,83-84,,Offensive rebound by N. Hilario
1:06.0,,,83-86,2,N. Hilario makes 2-pt shot at rim
0:51.0,G. Monroe makes 2-pt shot from 1 ft (assist by M. Smart),2,85-86,,
0:35.0,,,85-86,,Turnover by C. Paul (bad pass; steal by J. Brown)
0:31.0,M. Smart makes 2-pt shot at rim (assist by J. Brown),2,87-86,,
