time,Washington,pts.away,score,pts.home,Charlotte
4:54.0,,,99-120,1,M. Carter-Williams makes free throw 1 of 2
4:54.0,,,99-121,1,M. Carter-Williams makes free throw 2 of 2
4:41.0,C. McCullough misses 2-pt shot from 15 ft,,99-121,,
4:38.0,,,99-121,,Defensive rebound by F. Kaminsky
4:25.0,,,99-123,2,J. Lamb makes 2-pt shot from 12 ft
4:16.0,J. Meeks misses 3-pt shot from 26 ft (block by J. Lamb),,99-123,,
4:08.0,Offensive rebound by J. Meeks,,99-123,,
4:00.0,C. McCullough makes 2-pt shot from 2 ft (assist by T. Frazier),2,101-123,,
4:00.0,Personal foul by J. Smith (drawn by M. Carter-Williams),,101-123,,
4:00.0,,,101-124,1,D. Howard makes free throw 2 of 2
4:00.0,,,101-125,1,D. Howard makes free throw 1 of 2
4:00.0,,,101-125,,D. Howard enters the game for M. Carter-Williams
4:00.0,T. Satoransky enters the game for T. Frazier,,101-125,,
3:59.0,,,101-125,,D. Bacon enters the game for J. Lamb
3:59.0,,,101-125,,M. Monk enters the game for D. Howard
3:59.0,,,101-125,,Personal foul by T. Graham (drawn by T. Satoransky)
3:59.0,T. Satoransky makes free throw 1 of 2,1,102-125,,
3:59.0,T. Satoransky makes free throw 2 of 2,1,103-125,,
3:47.0,,,103-125,,M. Monk misses 2-pt shot from 16 ft
3:45.0,Defensive rebound by J. Smith,,103-125,,
3:36.0,J. Smith makes 2-pt shot from 14 ft (assist by T. Satoransky),2,105-125,,
3:18.0,,,105-125,,M. Monk misses 3-pt shot from 27 ft
3:14.0,Defensive rebound by C. McCullough,,105-125,,
3:08.0,C. McCullough misses 3-pt shot from 26 ft,,105-125,,
3:02.0,Offensive rebound by T. Satoransky,,105-125,,
3:00.0,K. Oubre misses 3-pt shot from 27 ft,,105-125,,
2:58.0,,,105-125,,Defensive rebound by M. Monk
2:48.0,,,105-125,,D. Bacon misses 3-pt shot from 23 ft
2:46.0,,,105-125,,Offensive rebound by Team
2:46.0,Washington full timeout,,105-125,,
2:46.0,,,105-125,,J. Stone enters the game for F. Kaminsky
2:34.0,,,105-128,3,J. O'Bryant makes 3-pt shot from 25 ft (assist by M. Monk)
2:31.0,Offensive foul by J. Smith (drawn by J. Stone),,105-128,,
2:31.0,Turnover by J. Smith (offensive foul),,105-128,,
2:08.0,,,105-128,,J. O'Bryant misses 2-pt shot from 8 ft
2:03.0,,,105-128,,Offensive rebound by T. Graham
2:03.0,,,105-128,,T. Graham misses 2-pt shot at rim
2:02.0,Defensive rebound by J. Smith,,105-128,,
1:53.0,J. Smith misses 2-pt shot from 19 ft,,105-128,,
1:51.0,,,105-128,,Defensive rebound by J. Stone
1:49.0,,,105-130,2,J. O'Bryant makes 2-pt shot from 1 ft (assist by J. Stone)
1:42.0,Turnover by J. Meeks (bad pass; steal by M. Monk),,105-130,,
1:37.0,,,105-130,,M. Monk misses 2-pt shot at rim (block by C. McCullough)
1:37.0,,,105-130,,Offensive rebound by Team
1:33.0,,,105-130,,M. Monk misses 3-pt shot from 25 ft
1:33.0,Defensive rebound by J. Meeks,,105-130,,
1:22.0,J. Smith misses 2-pt shot from 8 ft,,105-130,,
1:19.0,,,105-130,,Defensive rebound by J. Stone
1:09.0,,,105-130,,J. O'Bryant misses 2-pt shot from 8 ft
1:06.0,Defensive rebound by J. Meeks,,105-130,,
1:02.0,Shooting foul by J. Stone (drawn by J. Smith),,105-130,,
1:02.0,J. Smith makes free throw 1 of 2,1,106-130,,
1:02.0,J. Smith makes free throw 2 of 2,1,107-130,,
0:49.0,,,107-130,,D. Bacon misses 2-pt shot from 19 ft
0:45.0,,,107-130,,Offensive rebound by J. O'Bryant
0:37.0,,,107-133,3,M. Monk makes 3-pt shot from 26 ft
0:26.0,J. Smith makes 2-pt shot from 18 ft (assist by T. Satoransky),2,109-133,,
0:01.0,,,109-133,,Turnover by Team (shot clock)
