time,Washington,pts.away,score,pts.home,LA Lakers
3:51.0,,,85-83,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by L. Ball)
3:33.0,J. Wall misses 2-pt shot from 18 ft,,85-83,,
3:30.0,,,85-83,,Defensive rebound by B. Ingram
3:28.0,,,85-85,2,B. Ingram makes 2-pt shot from 17 ft
3:26.0,Washington full timeout,,85-85,,
3:26.0,O. Porter enters the game for M. Scott,,85-85,,
3:13.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,87-85,,
2:57.0,,,87-85,,J. Randle misses 2-pt shot from 2 ft
2:53.0,Defensive rebound by M. Gortat,,87-85,,
2:51.0,K. Oubre makes 2-pt shot from 1 ft (assist by J. Wall),2,89-85,,
2:40.0,,,89-85,,K. Kuzma misses 3-pt shot from 25 ft
2:33.0,Defensive rebound by J. Wall,,89-85,,
2:23.0,J. Wall misses 2-pt shot at rim (block by J. Randle),,89-85,,
2:18.0,,,89-85,,Defensive rebound by K. Caldwell-Pope
2:18.0,,,89-85,,L. Ball misses 2-pt shot from 2 ft (block by B. Beal)
2:18.0,,,89-85,,Offensive rebound by Team
2:08.0,,,89-85,,Turnover by K. Kuzma (traveling)
1:48.0,B. Beal makes 2-pt shot from 1 ft,2,91-85,,
1:35.0,,,91-87,2,B. Ingram makes 2-pt shot from 15 ft
1:13.0,J. Wall misses 2-pt shot from 11 ft,,91-87,,
1:09.0,,,91-87,,Defensive rebound by L. Ball
0:49.0,,,91-87,,K. Kuzma misses 3-pt shot from 26 ft
0:49.0,Defensive rebound by M. Gortat,,91-87,,
0:29.0,B. Beal misses 2-pt shot from 20 ft,,91-87,,
0:23.0,,,91-87,,Defensive rebound by L. Ball
0:20.0,,,91-90,3,J. Randle makes 3-pt shot from 26 ft (assist by L. Ball)
0:14.0,,,91-90,,Personal foul by J. Randle (drawn by J. Wall)
0:14.0,Washington full timeout,,91-90,,
0:12.0,,,91-90,,Personal foul by B. Ingram (drawn by B. Beal)
0:12.0,M. Scott enters the game for M. Gortat,,91-90,,
0:12.0,B. Beal misses free throw 2 of 2,,91-90,,
0:12.0,,,91-90,,Defensive rebound by J. Randle
0:12.0,B. Beal makes free throw 1 of 2,1,92-90,,
0:12.0,,,92-90,,LA Lakers full timeout
0:12.0,,,92-90,,B. Lopez enters the game for J. Randle
0:08.0,Personal foul by K. Oubre (drawn by B. Ingram),,92-90,,
0:01.0,B. Beal misses 3-pt shot from 23 ft,,92-90,,
0:01.0,Offensive rebound by Team,,92-90,,
0:00.0,,,92-90,,B. Ingram misses 2-pt shot at rim
0:00.0,,,92-90,,Offensive rebound by B. Ingram
0:00.0,,,92-92,2,B. Ingram makes 2-pt shot at rim
0:00.0,Washington full timeout,,92-92,,
0:00.0,M. Gortat enters the game for M. Scott,,92-92,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:55.0,Jump ball: J. Randle vs. M. Gortat (J. Wall gains possession),,,,Jump ball: J. Randle vs. M. Gortat (J. Wall gains possession)
4:48.0,,,92-92,,Personal foul by B. Ingram (drawn by M. Gortat)
4:42.0,B. Beal makes 2-pt shot from 2 ft,2,94-92,,
4:29.0,,,94-92,,L. Ball misses 3-pt shot from 25 ft
4:22.0,Defensive rebound by M. Gortat,,94-92,,
4:05.0,J. Wall misses 3-pt shot from 26 ft,,94-92,,
4:01.0,,,94-92,,Defensive rebound by J. Randle
3:55.0,,,94-92,,Turnover by J. Randle (lost ball; steal by B. Beal)
3:44.0,Shooting foul by J. Randle (drawn by M. Gortat),,94-92,,
3:44.0,M. Gortat misses free throw 1 of 2,,94-92,,
3:44.0,Offensive rebound by Team,,94-92,,
3:44.0,M. Gortat misses free throw 2 of 2,,94-92,,
3:41.0,,,94-92,,Defensive rebound by J. Randle
3:19.0,,,94-94,2,L. Ball makes 2-pt shot from 2 ft (assist by J. Randle)
2:54.0,Turnover by Team (shot clock),,94-94,,
2:52.0,J. Wall misses 2-pt shot from 13 ft (block by J. Randle),,94-94,,
2:52.0,Offensive rebound by Team,,94-94,,
2:40.0,,,94-94,,K. Caldwell-Pope misses 3-pt shot from 26 ft
2:35.0,Defensive rebound by B. Beal,,94-94,,
2:27.0,Shooting foul by K. Caldwell-Pope (drawn by B. Beal),,94-94,,
2:27.0,B. Beal misses free throw 1 of 2,,94-94,,
2:27.0,Offensive rebound by Team,,94-94,,
2:27.0,B. Beal makes free throw 2 of 2,1,95-94,,
2:13.0,,,95-97,3,K. Kuzma makes 3-pt shot from 25 ft (assist by L. Ball)
2:00.0,B. Beal makes 2-pt shot from 2 ft,2,97-97,,
1:45.0,,,97-97,,L. Ball misses 3-pt shot from 26 ft
1:45.0,,,97-97,,Offensive rebound by Team
1:45.0,Loose ball foul by O. Porter (drawn by K. Kuzma),,97-97,,
1:45.0,,,97-97,,LA Lakers full timeout
1:45.0,J. Meeks enters the game for O. Porter,,97-97,,
1:27.0,,,97-97,,Turnover by K. Kuzma (offensive goaltending)
1:08.0,J. Wall makes 2-pt shot from 2 ft,2,99-97,,
0:58.0,,,99-100,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by L. Ball)
0:38.0,B. Beal misses 3-pt shot from 24 ft,,99-100,,
0:35.0,,,99-100,,Defensive rebound by L. Ball
0:16.0,,,99-100,,K. Kuzma misses 3-pt shot from 24 ft
0:16.0,Defensive rebound by B. Beal,,99-100,,
0:15.0,Washington full timeout,,99-100,,
0:11.0,J. Wall misses 2-pt shot from 2 ft (block by J. Randle),,99-100,,
0:11.0,,,99-100,,Defensive rebound by Team
0:11.0,M. Scott enters the game for M. Gortat,,99-100,,
0:04.0,,,99-102,2,J. Randle makes 2-pt shot from 2 ft (assist by B. Ingram)
0:04.0,Washington full timeout,,99-102,,
0:01.0,J. Wall misses 3-pt shot from 26 ft,,99-102,,
0:01.0,Offensive rebound by Team,,99-102,,
