time,Dallas,pts.away,score,pts.home,Brooklyn
2:40.0,,,99-109,,Turnover by D. Russell (bad pass; steal by J. Jones)
2:35.0,J. Jones misses 2-pt shot from 1 ft,,99-109,,
2:31.0,Offensive rebound by Y. Ferrell,,99-109,,
2:29.0,Y. Ferrell makes 2-pt shot from 1 ft,2,101-109,,
2:14.0,Personal foul by Y. Ferrell (drawn by J. Allen),,101-109,,
2:14.0,,,101-110,1,J. Allen makes free throw 1 of 2
2:14.0,,,101-110,,C. LeVert enters the game for D. Russell
2:14.0,,,101-110,,J. Allen misses free throw 2 of 2
2:10.0,Defensive rebound by Y. Ferrell,,101-110,,
2:03.0,Y. Ferrell makes 3-pt shot from 24 ft,3,104-110,,
1:41.0,,,104-110,,Offensive charge foul by R. Hollis-Jefferson (drawn by J. Jones)
1:41.0,,,104-110,,Turnover by R. Hollis-Jefferson (offensive foul)
1:35.0,Y. Ferrell misses 2-pt shot from 12 ft,,104-110,,
1:31.0,,,104-110,,Defensive rebound by R. Hollis-Jefferson
1:08.0,,,104-110,,D. Carroll misses 2-pt shot from 22 ft
1:06.0,Defensive rebound by M. Kleber,,104-110,,
1:01.0,J. Jones misses 2-pt shot at rim,,104-110,,
1:00.0,Offensive rebound by J. Jones,,104-110,,
1:00.0,J. Jones misses 2-pt shot at rim,,104-110,,
1:00.0,,,104-110,,Defensive rebound by Team
0:37.0,,,104-112,2,S. Dinwiddie makes 2-pt shot from 18 ft
0:37.0,Dallas full timeout,,104-112,,
0:37.0,D. Powell enters the game for J. Motley,,104-112,,
0:26.0,D. McDermott makes 2-pt shot from 1 ft (assist by Y. Ferrell),2,106-112,,
0:25.0,Personal take foul by D. Powell (drawn by R. Hollis-Jefferson),,106-112,,
0:25.0,,,106-113,1,R. Hollis-Jefferson makes free throw 1 of 2
0:25.0,,,106-114,1,R. Hollis-Jefferson makes free throw 2 of 2
0:22.0,Y. Ferrell misses 3-pt shot from 27 ft,,106-114,,
0:19.0,,,106-114,,Defensive rebound by D. Carroll
