time,Milwaukee,pts.away,score,pts.home,Washington
4:48.0,,,94-96,1,K. Oubre makes free throw 2 of 2
4:38.0,Turnover by E. Bledsoe (bad pass),,94-96,,
4:29.0,,,94-96,,J. Wall misses 2-pt shot from 3 ft
4:25.0,Defensive rebound by J. Henson,,94-96,,
4:08.0,M. Brogdon makes 2-pt shot at rim (assist by E. Bledsoe),2,96-96,,
3:55.0,,,96-96,,Shooting foul by K. Middleton (drawn by M. Morris)
3:55.0,,,96-97,1,M. Morris makes free throw 1 of 2
3:55.0,,,96-97,,M. Morris misses free throw 2 of 2
3:52.0,Defensive rebound by J. Henson,,96-97,,
3:35.0,M. Brogdon misses 2-pt shot from 9 ft,,96-97,,
3:34.0,,,96-97,,Defensive rebound by K. Oubre
3:18.0,,,96-97,,J. Wall misses 2-pt shot from 16 ft
3:14.0,Defensive rebound by E. Bledsoe,,96-97,,
3:07.0,K. Middleton misses 2-pt shot from 2 ft (block by M. Gortat),,96-97,,
3:04.0,,,96-97,,Defensive rebound by M. Morris
3:01.0,,,96-99,2,M. Morris makes 2-pt shot from 2 ft (assist by J. Wall)
3:01.0,Milwaukee full timeout,,96-99,,
3:01.0,G. Antetokounmpo enters the game for M. Brogdon,,96-99,,
2:57.0,,,96-99,,Personal foul by K. Oubre (drawn by E. Bledsoe)
2:57.0,E. Bledsoe makes free throw 1 of 2,1,97-99,,
2:57.0,E. Bledsoe makes free throw 2 of 2,1,98-99,,
2:34.0,,,98-99,,M. Gortat misses 2-pt shot from 14 ft
2:30.0,Defensive rebound by E. Bledsoe,,98-99,,
2:26.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,100-99,,
2:07.0,,,100-99,,B. Beal misses 3-pt shot from 25 ft
2:05.0,Defensive rebound by G. Antetokounmpo,,100-99,,
1:44.0,G. Antetokounmpo makes 2-pt shot from 17 ft,2,102-99,,
1:34.0,Personal foul by T. Snell (drawn by B. Beal),,102-99,,
1:34.0,,,102-100,1,B. Beal makes free throw 1 of 2
1:34.0,,,102-101,1,B. Beal makes free throw 2 of 2
1:17.0,E. Bledsoe makes 3-pt shot from 25 ft,3,105-101,,
1:17.0,,,105-101,,Washington full timeout
1:10.0,,,105-101,,J. Wall misses 2-pt shot from 2 ft
1:10.0,Defensive rebound by Team,,105-101,,
1:10.0,,,105-101,,Loose ball foul by M. Morris (drawn by E. Bledsoe)
1:10.0,E. Bledsoe misses free throw 1 of 2,,105-101,,
1:10.0,Offensive rebound by Team,,105-101,,
1:10.0,E. Bledsoe makes free throw 2 of 2,1,106-101,,
0:59.0,,,106-103,2,B. Beal makes 2-pt shot from 1 ft
0:36.0,G. Antetokounmpo makes 2-pt shot from 20 ft,2,108-103,,
0:28.0,,,108-103,,B. Beal misses 3-pt shot from 26 ft (block by T. Snell)
0:24.0,Defensive rebound by K. Middleton,,108-103,,
0:22.0,,,108-103,,Personal foul by B. Beal (drawn by K. Middleton)
0:22.0,K. Middleton makes free throw 1 of 2,1,109-103,,
0:22.0,K. Middleton makes free throw 2 of 2,1,110-103,,
0:16.0,,,110-103,,Turnover by J. Wall (lost ball; steal by E. Bledsoe)
